scene,seed,rep,arm,seconds,cost,target
ladybug-49,60,0,fine,0.0,120473.38607710932,2543.9985518089643
ladybug-49,60,0,fine,0.06684168986976147,6222.901881883251,2543.9985518089643
ladybug-49,60,0,fine,0.12401085626333952,4874.215245034943,2543.9985518089643
ladybug-49,60,0,fine,0.17637892020866275,4273.23703657779,2543.9985518089643
ladybug-49,60,0,fine,0.22826225403696299,3825.6603294478023,2543.9985518089643
ladybug-49,60,0,fine,0.27957144705578685,3484.673284569078,2543.9985518089643
ladybug-49,60,0,fine,0.3320331322029233,3200.9373927651386,2543.9985518089643
ladybug-49,60,0,fine,0.3881838070228696,2942.590824488799,2543.9985518089643
ladybug-49,60,0,fine,0.44052874110639095,2721.7749923070587,2543.9985518089643
ladybug-49,60,0,fine,0.49692071694880724,2576.569094848826,2543.9985518089643
ladybug-49,60,0,fine,0.5484739299863577,2502.422686165491,2543.9985518089643
ladybug-49,60,1,fine,0.0,120473.38607710932,2543.9985518089643
ladybug-49,60,1,fine,0.06492251949384809,6222.901881883251,2543.9985518089643
ladybug-49,60,1,fine,0.12308809580281377,4874.215245034943,2543.9985518089643
ladybug-49,60,1,fine,0.17608912056311965,4273.23703657779,2543.9985518089643
ladybug-49,60,1,fine,0.2279734038747847,3825.6603294478023,2543.9985518089643
ladybug-49,60,1,fine,0.279670147690922,3484.673284569078,2543.9985518089643
ladybug-49,60,1,fine,0.3328339518047869,3200.9373927651386,2543.9985518089643
ladybug-49,60,1,fine,0.38802614668384194,2942.590824488799,2543.9985518089643
ladybug-49,60,1,fine,0.4411653117276728,2721.7749923070587,2543.9985518089643
ladybug-49,60,1,fine,0.49779793759807944,2576.569094848826,2543.9985518089643
ladybug-49,60,1,fine,0.5509936916641891,2502.422686165491,2543.9985518089643
ladybug-49,60,2,fine,0.0,120473.38607710932,2543.9985518089643
ladybug-49,60,2,fine,0.06504382053390145,6222.901881883251,2543.9985518089643
ladybug-49,60,2,fine,0.12274663662537932,4874.215245034943,2543.9985518089643
ladybug-49,60,2,fine,0.17604408133774996,4273.23703657779,2543.9985518089643
ladybug-49,60,2,fine,0.22777768457308412,3825.6603294478023,2543.9985518089643
ladybug-49,60,2,fine,0.2792199687100947,3484.673284569078,2543.9985518089643
ladybug-49,60,2,fine,0.331975482404232,3200.9373927651386,2543.9985518089643
ladybug-49,60,2,fine,0.38918968848884106,2942.590824488799,2543.9985518089643
ladybug-49,60,2,fine,0.44190904265269637,2721.7749923070587,2543.9985518089643
ladybug-49,60,2,fine,0.4953218176960945,2576.569094848826,2543.9985518089643
ladybug-49,60,2,fine,0.5509245623834431,2502.422686165491,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.0,120473.38607710932,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.05497932527214289,107579.17244206711,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.06367541896179318,107500.97899606507,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.07057949202135205,107500.91219188254,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.07747968612238765,107500.91213906292,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.08431264897808433,107500.91213903917,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.09831959521397948,107500.91213903905,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.1051522484049201,107500.91213903899,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.16239725379273295,6785.486013656855,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.21932361088693142,5165.237285518987,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.2731828447431326,4409.508661787012,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.33649500412866473,3901.970788712967,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.38893135776743293,3514.2685470991146,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.44501394405961037,3189.54234166426,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.49643296701833606,2910.3364202666094,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.5529155428521335,2691.5095749063885,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.6051404466852546,2556.171813420614,2543.9985518089643
ladybug-49,60,0,nonlinear8,0.6612635217607021,2488.228160083304,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.0,120473.38607710932,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.055763584561645985,107579.17244206711,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.06438300851732492,107500.97899606507,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.07117632171139121,107500.91219188254,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.07801219448447227,107500.91213906292,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.084834607783705,107500.91213903917,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.0984289338812232,107500.91213903905,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.10522556770592928,107500.91213903899,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.16381568415090442,6785.486013656855,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.2215170613490045,5165.237285518987,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.27392347529530525,4409.508661787012,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.32571679819375277,3901.970788712967,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.37744571221992373,3514.2685470991146,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.4297411763109267,3189.54234166426,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.48529452132061124,2910.3364202666094,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.5376572152599692,2691.5095749063885,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.5917001003399491,2556.171813420614,2543.9985518089643
ladybug-49,60,1,nonlinear8,0.6432240945287049,2488.228160083304,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.0,120473.38607710932,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.05650152591988444,107579.17244206711,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.06518557853996754,107500.97899606507,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.07204556278884411,107500.91219188254,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.07886854559183121,107500.91213906292,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.08564346889033914,107500.91213903917,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.09923896472901106,107500.91213903905,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.10610579792410135,107500.91213903899,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.16461396496742964,6785.486013656855,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.2219326812773943,5165.237285518987,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.2741780448704958,4409.508661787012,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.32555984798818827,3901.970788712967,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.37651223223656416,3514.2685470991146,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.42809367505833507,3189.54234166426,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.48360407119616866,2910.3364202666094,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.5357664152979851,2691.5095749063885,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.5895051988773048,2556.171813420614,2543.9985518089643
ladybug-49,60,2,nonlinear8,0.6408992921933532,2488.228160083304,2543.9985518089643
ladybug-49,60,0,bridge8,0.0,120473.38607710932,2543.9985518089643
ladybug-49,60,0,bridge8,0.04861240182071924,107579.17244206675,2543.9985518089643
ladybug-49,60,0,bridge8,0.05123046366497874,107500.97899606438,2543.9985518089643
ladybug-49,60,0,bridge8,0.053424674086272717,107500.91219188165,2543.9985518089643
ladybug-49,60,0,bridge8,0.05560149485245347,107500.91213906188,2543.9985518089643
ladybug-49,60,0,bridge8,0.05799200665205717,107500.91213903733,2543.9985518089643
ladybug-49,60,0,bridge8,0.06017312780022621,107500.9121390373,2543.9985518089643
ladybug-49,60,0,bridge8,0.06520531000569463,107500.91213903889,2543.9985518089643
ladybug-49,60,0,bridge8,0.128992629237473,6785.485993449065,2543.9985518089643
ladybug-49,60,0,bridge8,0.18645676551386714,5165.237278606379,2543.9985518089643
ladybug-49,60,0,bridge8,0.2401983505114913,4409.50865867616,2543.9985518089643
ladybug-49,60,0,bridge8,0.3029676484875381,3901.9707863921717,2543.9985518089643
ladybug-49,60,0,bridge8,0.3543354324065149,3514.2685459072063,2543.9985518089643
ladybug-49,60,0,bridge8,0.4110524985007942,3189.542341903912,2543.9985518089643
ladybug-49,60,0,bridge8,0.4643188025802374,2910.3364213623317,2543.9985518089643
ladybug-49,60,0,bridge8,0.5158053762279451,2691.5095759477394,2543.9985518089643
ladybug-49,60,0,bridge8,0.5669755996204913,2556.171814041392,2543.9985518089643
ladybug-49,60,0,bridge8,0.6190919536165893,2488.2281604489585,2543.9985518089643
ladybug-49,60,1,bridge8,0.0,120473.38607710932,2543.9985518089643
ladybug-49,60,1,bridge8,0.04963669320568442,107579.17244206675,2543.9985518089643
ladybug-49,60,1,bridge8,0.05224625440314412,107500.97899606438,2543.9985518089643
ladybug-49,60,1,bridge8,0.05445608543232083,107500.91219188165,2543.9985518089643
ladybug-49,60,1,bridge8,0.056664666160941124,107500.91213906188,2543.9985518089643
ladybug-49,60,1,bridge8,0.059061887208372355,107500.91213903733,2543.9985518089643
ladybug-49,60,1,bridge8,0.06124488823115826,107500.9121390373,2543.9985518089643
