phase,scene,arm,runs,valid,hits,median,range,costs,seconds,rejects,rebuilds,cap_hits
q1.005,ladybug-539,champion,3,3,3,0.109626965,"[0.10117869, 0.110532446]","[164531.79335748972, 164531.79435980637, 164531.79335758212]","[0.11828, 0.113443, 0.117613]","[0, 0, 0]","[0, 0, 0]",0
q1.005,ladybug-539,caspar32,3,3,3,0.304898661,"[0.271935991, 0.330648796]","[164640.95941701534, 164618.45946832793, 164664.0567928519]","[0.304898661, 0.271935991, 0.330648796]","[14, 10, 15]","[0, 0, 0]",0
q1.005,ladybug-539,caspar64,3,3,3,0.369286858,"[0.369183869, 0.37154608]","[164571.77218748405, 164571.77212067222, 164571.77226077483]","[0.369286858, 0.369183869, 0.37154608]","[0, 0, 0]","[0, 0, 0]",0
q1.005,ladybug-539,ceres_lm,3,3,3,1.600401978,"[1.591191911, 1.644516263]","[164758.36942326443, 164756.43245729638, 164758.4460288915]","[1.600401978, 1.644516263, 1.591191911]","[1, 1, 1]","[0, 0, 0]",0
q1.005,ladybug-539,ceres_dogleg,3,3,3,3.507557966,"[3.442477377, 3.562986679]","[164579.95174337988, 164579.95171638217, 164579.9517648968]","[3.442477377, 3.507557966, 3.562986679]","[0, 0, 0]","[0, 0, 0]",0
q1.01,ladybug-539,champion,3,3,3,0.080846438,"[0.080530997, 0.082118509]","[165514.08261311558, 165514.0826131162, 165514.08261311665]","[0.085001, 0.083678, 0.094826]","[0, 0, 0]","[0, 0, 0]",0
q1.01,ladybug-539,caspar32,3,3,3,0.136040901,"[0.128395536, 0.142606464]","[165419.6245464414, 165459.9761351126, 165447.46651291067]","[0.128395536, 0.142606464, 0.136040901]","[1, 2, 0]","[0, 0, 0]",0
q1.01,ladybug-539,caspar64,3,3,3,0.255691682,"[0.255471982, 0.276652643]","[165512.7768501187, 165512.77685009578, 165512.77685010192]","[0.255691682, 0.255471982, 0.276652643]","[0, 0, 0]","[0, 0, 0]",0
q1.01,ladybug-539,ceres_lm,3,3,3,1.651703008,"[1.638224369, 1.660923023]","[164756.43240774045, 164756.93212640443, 164758.54466005575]","[1.660923023, 1.638224369, 1.651703008]","[1, 1, 1]","[0, 0, 0]",0
q1.01,ladybug-539,ceres_dogleg,3,3,3,2.910999643,"[2.89032623, 2.989000049]","[165079.0876068544, 165079.08764210987, 165079.087665274]","[2.989000049, 2.89032623, 2.910999643]","[0, 0, 0]","[0, 0, 0]",0
q1.01,ladybug-539,off,3,3,3,0.082901189,"[0.080445867, 0.08456757]","[165514.08261311625, 165514.08261311636, 165514.082613116]","[0.087562, 0.08583, 0.083415]","[0, 0, 0]","[0, 0, 0]",0
q1.01,ladybug-539,x4_floor,3,3,3,0.080399238,"[0.078348716, 0.082814689]","[165514.08261311566, 165514.08261311395, 165514.0826131234]","[0.085869, 0.081145, 0.083344]","[0, 0, 0]","[0, 0, 0]",0
q1.02,ladybug-539,champion,3,3,3,0.080369288,"[0.073607873, 0.082207349]","[165514.08261312832, 165514.08261311759, 165514.08261311587]","[0.076351, 0.085087, 0.08327]","[0, 0, 0]","[0, 0, 0]",0
q1.02,ladybug-539,caspar32,3,3,3,0.10176071,"[0.093037366, 0.104399922]","[166614.82000034014, 166615.17536624812, 166615.06415097942]","[0.093037366, 0.10176071, 0.104399922]","[0, 0, 0]","[0, 0, 0]",0
q1.02,ladybug-539,caspar64,3,3,3,0.187951441,"[0.180425146, 0.200967509]","[167154.97686693544, 167154.97686693544, 167154.97686693535]","[0.200967509, 0.180425146, 0.187951441]","[0, 0, 0]","[0, 0, 0]",0
q1.02,ladybug-539,ceres_lm,3,3,3,1.697372575,"[1.619738379, 1.748181575]","[164756.60215253357, 164756.68269096344, 164756.43274651]","[1.748181575, 1.619738379, 1.697372575]","[1, 1, 1]","[0, 0, 0]",0
q1.02,ladybug-539,ceres_dogleg,3,3,3,2.983557476,"[2.885996328, 3.00885155]","[165079.08752632714, 165079.08780558914, 165079.08756682364]","[2.885996328, 2.983557476, 3.00885155]","[0, 0, 0]","[0, 0, 0]",0
q1.005,trafalgar-138,caspar32,3,3,0,,,"[104946.48765036992, 104931.43495758547, 104895.32779202587]","[3.104230717, 3.09274161, 3.101607495]","[252, 248, 241]","[0, 0, 0]",3
q1.005,trafalgar-138,caspar64,3,3,0,,,"[103919.83171432615, 103949.97087884457, 103920.56808804988]","[5.005593932, 5.004713211, 5.004495171]","[8, 2, 4]","[0, 0, 0]",3
q1.005,trafalgar-138,ceres_lm,3,3,3,3.039339219,"[3.030326713, 3.116738304]","[102899.25662554958, 102899.34160412839, 102901.97574366457]","[3.039339219, 3.030326713, 3.116738304]","[0, 0, 0]","[0, 0, 0]",0
q1.005,trafalgar-138,ceres_dogleg,3,3,3,3.167779105,"[3.023656029, 3.216159053]","[102851.19233262747, 102736.70646243788, 102842.35261141282]","[3.023656029, 3.216159053, 3.167779105]","[16, 16, 16]","[0, 0, 0]",0
q1.005,trafalgar-138,champion,3,3,3,0.330512656,"[0.327243823, 0.332612057]","[102905.07732091802, 102905.18527718824, 102905.115638159]","[0.332864, 0.32952, 0.334894]","[0, 0, 0]","[0, 0, 0]",0
q1.01,trafalgar-138,caspar32,3,3,0,,,"[104940.01873819495, 104918.41617432641, 104899.8030720011]","[3.098992763, 3.082129654, 3.089667279]","[250, 244, 244]","[0, 0, 0]",3
q1.01,trafalgar-138,caspar64,3,3,0,,,"[104002.00297870845, 103941.87759306884, 103953.92603840864]","[5.000108479, 5.008271504, 5.012098066]","[10, 9, 2]","[0, 0, 0]",3
q1.01,trafalgar-138,ceres_lm,3,3,3,3.049857354,"[2.666775368, 3.112452092]","[102932.2627322647, 103250.12510195073, 102924.00021342059]","[3.049857354, 2.666775368, 3.112452092]","[0, 0, 0]","[0, 0, 0]",0
q1.01,trafalgar-138,ceres_dogleg,3,3,3,2.919042087,"[2.819258228, 3.266541323]","[102936.41548915008, 103401.43995407771, 102910.99027116496]","[2.919042087, 3.266541323, 2.819258228]","[17, 16, 17]","[0, 0, 0]",0
