operator,rep,pAp,quotient
stored_repeat,0,-20.453842163090027,-2.5715218250919663e-09
stored_repeat,1,-20.453842163089764,-2.5715218250919333e-09
stored_repeat,2,-20.453842163088861,-2.5715218250918199e-09
stored_repeat,3,-20.453842163089202,-2.5715218250918625e-09
stored_repeat,4,-20.453842163088733,-2.5715218250918038e-09
stored,0,-20.453842163089195,-2.5715218250918617e-09
W32_R32qr,0,-20.453842163089462,-2.5715218250918952e-09
W64_Rstored,0,326.32113669595105,4.1026126940430307e-08
W32_R64qr,0,-20.542539613249229,-2.5826731494786379e-09
W64_R64qr,0,326.32158556073523,4.1026183373132772e-08
