# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357392,0.0000
1,2170136.3176783472,0.0121
2,869806.2790742536,0.0245
3,567418.6040721694,0.0412
4,400594.1646215609,0.0503
5,371447.4905176155,0.0652
6,362562.8273437780,0.0743
7,360836.3565806347,0.1027
8,359914.3520955621,0.1273
9,359383.7952730117,0.1390
10,359238.0168389645,0.1507
11,359181.2582005179,0.1625
12,359163.9802604134,0.1742
13,358998.8410038654,0.1832
14,358972.3905541888,0.1922
15,358960.3402330639,0.2039
16,358958.1941754373,0.2159
17,358951.8458347408,0.2330
18,358949.6565447482,0.2420
19,358949.0475972197,0.2537
20,358948.7049210696,0.2655
21,358948.4099607705,0.2772
22,358948.1244580070,0.2890
23,358947.8455589756,0.3007
24,358947.5804211848,0.3124
25,358947.3203994685,0.3241
26,358947.0037130203,0.3383
27,358946.6895140531,0.3474
28,358946.3772412866,0.3564
29,358946.0641548508,0.3654
30,358945.7523302908,0.3743
31,358945.4383687537,0.3834
32,358945.1268655506,0.3924
33,358944.8120644493,0.4014
