# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783491,0.0119
2,869806.2790742543,0.0244
3,567418.6040721693,0.0412
4,400594.1646215616,0.0502
5,371447.4905176014,0.0651
6,362562.8273450708,0.0741
7,360836.3600147644,0.1024
8,359914.8821633392,0.1270
9,359384.4565502849,0.1386
10,359238.8541886248,0.1503
11,359182.1019272829,0.1620
12,359164.8631931617,0.1737
13,358998.5287181002,0.1827
14,358973.4727518545,0.1917
15,358961.5159016743,0.2034
16,358959.3730139736,0.2154
17,358953.0736550447,0.2325
18,358950.8777893945,0.2415
19,358950.2620132184,0.2532
20,358949.9173556861,0.2649
21,358949.6217957967,0.2766
22,358949.3349691893,0.2883
23,358949.0609806393,0.3001
24,358948.7957649677,0.3118
25,358948.5348936240,0.3235
26,358948.2155233825,0.3325
27,358947.9006915865,0.3415
28,358947.5873391284,0.3504
29,358947.2753234621,0.3595
30,358946.9615920883,0.3684
31,358946.6483678514,0.3775
32,358946.3356623202,0.3865
33,358946.0214961118,0.3955
