# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322483,0.0394
2,3723398.1420859979,0.0889
3,2649101.3772305516,0.1538
4,2222822.2595807328,0.1909
5,2043410.2361690321,0.2416
6,2002349.5288586030,0.3104
7,1973741.6633784012,0.3725
8,1973400.3796191202,0.4240
9,1950413.9561819441,0.5101
10,1940023.5085906587,0.5635
11,1929576.1396847451,0.6170
12,1927629.3794903758,0.6792
13,1927343.9188713529,0.7655
14,1927109.2194071091,0.8304
15,1915950.9836855412,0.9444
16,1903942.8735566267,1.0093
17,1901200.3813219087,1.1002
18,1893825.7443112552,1.1614
19,1884733.0586159560,1.2215
20,1880259.8462245089,1.2701
21,1879827.3610333924,1.3216
22,1879741.1106199080,1.4106
23,1874313.2409678800,1.4631
24,1869491.3632250077,1.5298
25,1864791.4364111226,1.5948
26,1854668.2934760796,1.6559
27,1849511.7961260036,1.7650
28,1844849.8262827746,1.8261
29,1838323.2153392099,1.8872
30,1835828.4427922259,1.9368
31,1835613.6048817714,1.9883
32,1835229.6970015191,2.0408
33,1834796.4379342827,2.0944
34,1833440.7716818713,2.1459
35,1833318.5119832635,2.1974
36,1832592.1966384277,2.2489
37,1832095.5739423283,2.3014
38,1831788.8921042972,2.3540
39,1831589.0513433586,2.4449
40,1831457.2402618001,2.4983
41,1831312.4472363151,2.5518
42,1831217.2046997484,2.6427
43,1831122.9827566033,2.6961
44,1831025.2945314718,2.7497
45,1830891.8975369700,2.8031
46,1830855.3133386252,2.8566
47,1830790.7440701632,2.9100
48,1830682.9772195606,2.9634
49,1830628.3342451928,3.0168
50,1830563.0508419459,3.0703
51,1830474.6765243281,3.1237
52,1830420.9868830990,3.1772
53,1830365.5126503082,3.2306
54,1830302.2777892873,3.2841
55,1830211.2329154685,3.3375
56,1830153.5701109760,3.3909
57,1830088.3192769373,3.4443
58,1829984.6216935071,3.4978
59,1829934.8449622451,3.5513
60,1829870.0053765557,3.6049
61,1829759.6860132520,3.6583
62,1829708.9357229173,3.7117
63,1829644.2188678326,3.7652
64,1829544.8952084736,3.8186
65,1829489.9582428369,3.8721
66,1829423.0096585716,3.9255
67,1829323.7180245642,3.9789
68,1829280.2884482727,4.0323
69,1829115.2464186833,4.0857
70,1814650.7599772094,4.1363
71,1785559.5551508146,4.1701
72,1784022.9104408722,4.2037
73,1783549.3118728115,4.2376
74,1783383.4391885751,4.2843
75,1783296.0938602136,4.3310
76,1783182.2878634969,4.3776
77,1783122.8169833678,4.4244
78,1783052.9623677251,4.4710
79,1782944.5342623608,4.5178
80,1782834.9112027260,4.5645
81,1782724.0826436635,4.6112
82,1782612.2577089784,4.6579
83,1782499.3497860173,4.7046
84,1782385.4472387400,4.7513
85,1782270.6689442401,4.7980
86,1782155.1161204521,4.8447
87,1782038.8311952385,4.8914
88,1781921.9616510053,4.9380
89,1781804.5813303599,4.9847
90,1781686.7532482727,5.0314
91,1781568.5713651706,5.0781
92,1781409.5829086634,5.1248
93,1781241.3308603191,5.1715
94,1781203.8146047590,5.2229
95,1780912.6434298996,5.2567
96,1780723.7388225412,5.2904
97,1780243.4050510461,5.3503
98,1779793.3453172899,5.3985
99,1779211.7759250614,5.4465
100,1777861.5541467224,5.4946
101,1775461.1480061752,5.5427
102,1772041.9773478326,5.5909
103,1771574.7522600037,5.6376
104,1771168.9193332004,5.6853
105,1770054.8123870778,5.7497
106,1769051.8184907357,5.7834
107,1767970.1485876411,5.8172
108,1766862.7855698031,5.8510
109,1760544.1035394131,5.9366
110,1753014.5261984444,6.0135
111,1747904.5660251891,6.1035
112,1745870.5259722890,6.1684
113,1743327.1687162723,6.2022
