# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322520,0.0388
2,3723398.1420859960,0.0869
3,2649101.3772308095,0.1503
4,2222822.2595995017,0.1864
5,2043410.2440560090,0.2380
6,2002352.9289410983,0.3068
7,1975286.6500026244,0.3690
8,1974781.6425515492,0.4559
9,1974530.6037682875,0.5093
10,1958776.3476796076,0.6001
11,1956488.2279721636,0.6910
12,1955323.4303430053,0.7446
13,1954508.1003731627,0.7970
14,1953787.7712726486,0.8485
15,1953009.1040817897,0.9001
16,1952227.9504809077,0.9516
17,1951868.5507687260,1.0424
18,1951557.9833898835,1.0958
19,1951239.6997040617,1.1483
20,1950922.4142771254,1.2007
21,1950523.8762312052,1.2532
22,1950426.2909998037,1.3441
23,1950298.8501055210,1.3975
24,1950148.0399285981,1.4509
25,1949973.7157082690,1.5043
26,1949771.6964675477,1.5576
27,1949706.3214596338,1.6111
28,1947402.5216048216,1.6753
29,1944726.6090893832,1.7258
30,1939373.5047169821,1.7793
31,1929101.5079372658,1.8318
32,1911123.3882939441,1.8843
33,1899095.7364526310,1.9445
34,1895224.7385782546,1.9921
35,1877718.1133036905,2.0388
36,1863101.8962661363,2.1094
37,1855748.5694444708,2.1840
38,1843394.7371577471,2.2596
39,1840837.7208532528,2.3657
40,1815390.2868414132,2.4623
41,1793091.9393891590,2.5762
42,1786598.1902697873,2.6352
43,1781476.7606285159,2.6925
44,1780016.9421018567,2.7517
45,1775972.4567850824,2.8532
46,1761400.6912548321,2.9595
47,1760808.2747586926,3.1061
48,1760694.5586089466,3.2660
49,1760649.9156777968,3.6428
50,1760450.9731266338,3.6914
51,1760321.7429598961,3.7410
52,1760229.1782670578,3.7936
53,1760224.8519146135,3.8835
54,1760202.6842623616,3.9715
55,1759787.4423479619,4.0250
56,1759555.6475816474,4.0803
57,1759554.9902484473,4.1712
58,1759552.8335466823,4.2208
59,1759548.1670526045,4.3058
60,1759545.2015856679,4.3534
61,1759528.0090800954,4.4059
62,1759503.5760590569,4.4593
63,1759473.1966153730,4.5128
64,1759441.8765441021,4.5663
65,1759372.8196075663,4.6197
66,1759247.0473736229,4.6733
67,1759137.7901234229,5.0893
68,1759049.9292425413,5.2262
69,1758984.8573355568,5.3832
70,1758984.7840245373,5.5524
71,1758984.0371955342,5.6021
72,1758983.6462264175,5.6558
73,1758983.5018768187,5.7442
74,1758983.1131041134,5.7979
75,1758981.8653584563,5.8834
76,1722026.9475795801,5.9172
