# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783472,0.0122
2,869806.2790742533,0.0247
3,567418.6040721692,0.0415
4,400594.1646215610,0.0505
5,371447.4905174670,0.0655
6,362562.8273576955,0.0745
7,360836.3575374431,0.1028
8,359914.2860478034,0.1273
9,359383.7838900302,0.1390
10,359238.0681086062,0.1508
11,359181.3131173170,0.2163
12,359164.0490647560,0.2282
13,359000.2464156533,0.2372
14,358972.8351311671,0.2462
15,358960.5795284905,0.2580
16,358958.4047811924,0.2700
17,358952.0473723800,0.2871
18,358949.8335143047,0.2961
19,358949.2152200678,0.3079
20,358948.8711415225,0.3196
21,358948.5760536144,0.3314
22,358948.2893817921,0.3432
23,358948.0183878998,0.3549
24,358947.7527002178,0.3667
25,358947.4917272846,0.3784
26,358947.1753690236,0.3926
27,358946.8681272502,0.4017
28,358946.5566564954,0.4107
29,358946.2427747614,0.4198
30,358945.9214796346,0.4289
31,358945.6087961553,0.4379
32,358945.2956903497,0.4470
33,358944.9826672029,0.4560
34,358944.9826672029,0.4667
