# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357318,0.0000
1,2170136.3176783482,0.0120
2,869806.2790742533,0.0245
3,567418.6040721693,0.0414
4,400594.1646215612,0.0504
5,371447.4905175295,0.0654
6,362562.8273577892,0.0744
7,360836.3574802919,0.1028
8,359914.2746141936,0.1273
9,359383.7925629248,0.1390
10,359238.0546204866,0.1508
11,359181.3008295984,0.2165
12,359164.0305888704,0.2283
13,359001.3291107652,0.2373
14,358972.6681698475,0.2464
15,358960.5208778784,0.2581
16,358958.3423138599,0.2701
17,358951.9644184823,0.2871
18,358949.8054984126,0.2961
19,358949.1862924718,0.3078
20,358948.8417943360,0.3196
21,358948.5468428580,0.3313
22,358948.2593909540,0.3430
23,358947.9933783785,0.3548
24,358947.7251461159,0.3665
25,358947.4646074082,0.3782
26,358947.1505206345,0.3873
27,358946.8362764483,0.3963
28,358946.5195836043,0.4053
29,358946.2049304494,0.4143
30,358945.8915918043,0.4233
31,358945.5805286764,0.4324
32,358945.2751442983,0.4414
33,358944.9628981117,0.4504
