# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357392,0.0000
1,2170136.3176783519,0.0121
2,869806.2790742526,0.0249
3,567418.6040721697,0.0436
4,400594.1646215618,0.0536
5,371447.4905173619,0.0706
6,362562.8273433644,0.0807
7,360836.3578997739,0.1124
8,359914.3494353214,0.1400
9,359383.8220032191,0.1531
10,359238.0682191623,0.1663
11,359181.3142111470,0.1795
12,359164.0479962447,0.1927
13,358998.9861850520,0.2029
14,358972.5099150396,0.2130
15,358960.3692451318,0.2257
16,358958.2246812527,0.2378
17,358951.9583182937,0.2549
18,358949.7497238340,0.2641
19,358949.1258043650,0.2758
20,358948.7810044400,0.2877
21,358948.4857074533,0.2994
22,358948.2019088629,0.3112
23,358947.9550979270,0.3230
24,358947.6201419862,0.3347
25,358947.3378673207,0.3438
26,358947.1265875965,0.3528
27,358946.8718668773,0.3722
28,358946.8120202275,0.3812
29,358946.6989927411,0.3903
30,358946.4958405251,0.3993
31,358946.1817836507,0.4085
32,358945.8681032149,0.4175
33,358945.5548299322,0.4266
