# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783537,0.0120
2,869806.2790742534,0.0244
3,567418.6040721691,0.0411
4,400594.1646215601,0.0501
5,371447.4905174257,0.0652
6,362562.8273582483,0.0742
7,360836.3580093578,0.1027
8,359914.7435849938,0.1273
9,359384.1613950081,0.1391
10,359238.4885165341,0.1508
11,359181.7294769586,0.1625
12,359164.4732006228,0.1743
13,358999.4533124423,0.1833
14,358973.0863142823,0.1923
15,358960.9822113193,0.2040
16,358958.8255524799,0.2159
17,358952.5063071341,0.2330
18,358950.3034072121,0.2420
19,358949.6885630759,0.2537
20,358949.3447214390,0.2654
21,358949.0493505265,0.2771
22,358948.7631117382,0.2888
23,358948.5136404547,0.3005
24,358948.2529263915,0.3095
25,358947.9248699300,0.3186
26,358947.7262955626,0.3327
27,358947.5687568384,0.3417
28,358947.4356163862,0.3507
29,358947.2011225710,0.3597
30,358947.0704288820,0.3687
31,358946.8346971722,0.3777
32,358946.6071863200,0.3867
33,358946.4527219008,0.3958
