# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357392,0.0000
1,2170136.3176783472,0.0121
2,869806.2790742536,0.0246
3,567418.6040721695,0.0413
4,400594.1646215608,0.0504
5,371447.4905175269,0.0653
6,362562.8273449737,0.0744
7,360836.3599448296,0.1027
8,359915.1346563560,0.1272
9,359384.3996214129,0.1390
10,359238.6134662668,0.1508
11,359181.8514990940,0.1625
12,359164.5897156387,0.1742
13,359000.3701588222,0.1833
14,358972.4488198192,0.1924
15,358960.6139895110,0.2041
16,358958.5023257519,0.2161
17,358952.2380905777,0.2332
18,358950.0865699837,0.2422
19,358949.4687016175,0.2539
20,358949.1241700846,0.2657
21,358948.8287800172,0.2775
22,358948.5447931249,0.2892
23,358948.2718036321,0.3009
24,358948.0080289185,0.3127
25,358947.7412567573,0.3217
26,358947.4323652824,0.3307
27,358947.1316758344,0.3397
28,358946.8019107344,0.3487
29,358946.4855634819,0.3577
30,358946.1785401173,0.3668
31,358945.8600740447,0.3758
32,358945.5487007856,0.3848
33,358945.2390235095,0.3938
34,358945.2390235095,0.4575
