# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-1197.txt
iter,cost,wall_s
0,45428699.3295261487,0.0000
1,8169774.8087535808,0.0148
2,2054200.9555377071,0.0311
3,706463.2020795320,0.0571
4,452516.5346475697,0.0734
5,395197.8676288435,0.0936
6,380349.1907434450,0.1111
7,378639.5676687954,0.1412
8,375835.6158077050,0.1607
9,371500.9092564227,0.1823
10,370300.6508703491,0.2135
11,369175.1492523333,0.2309
12,368991.9692458514,0.2450
13,368548.4535133555,0.2634
14,368123.2661737015,0.3200
15,368038.1653021583,0.3331
16,367599.0780532773,0.4353
17,367419.1665746711,0.5365
18,367229.7753786704,0.6503
19,367086.8646919355,0.7533
20,366976.2839287997,0.8727
21,366885.2714484040,1.0245
22,366781.6592082958,1.1754
23,366628.4296486289,1.2490
24,366605.8102849837,1.2748
25,366567.5109293098,1.3450
26,366542.0965729724,1.4980
27,366511.5594730340,1.5749
28,366500.0797004991,1.7259
29,366482.9356912516,1.8015
30,366472.0833630756,1.9524
31,366463.3819315862,2.0249
32,366455.2066444106,2.1756
33,366449.6466698798,2.2056
34,366442.0296164200,2.3562
35,366436.0753000230,2.3851
36,366432.9523817200,2.4502
37,366431.5827591651,2.4877
38,366422.7175362597,2.6384
39,366416.3526509554,2.7841
40,366402.6811189679,2.8153
41,366401.9624916498,2.8389
42,366401.5950714521,2.8624
43,366401.4690533368,2.8775
44,366394.2124067284,3.0230
45,366394.0138632384,3.0382
46,366393.7175836379,3.0523
47,366393.4295663840,3.0644
48,366390.2854935591,3.1866
49,366389.9514552247,3.2122
50,366389.9212115076,3.2275
51,366389.8421279087,3.2417
52,366389.7976896691,3.2546
53,366389.7739230578,3.2698
54,366389.7280681468,3.2829
55,366389.0605879589,3.4285
56,366387.8671712562,3.5742
57,366385.5760132847,3.7197
58,366381.0862569201,3.8654
59,366372.6214872341,4.0109
60,366358.1313589269,4.1566
61,366355.9527150391,4.2079
62,366355.7575857189,4.2318
63,366355.7257064878,4.2471
64,366355.6838762689,4.2697
65,366355.6643485003,4.2849
66,366355.6406638342,4.3076
67,366355.6226298262,4.3228
68,366355.6111657745,4.3379
69,366355.0348086623,4.8915
70,366355.0221047650,4.9067
71,366354.9966892055,4.9198
72,366354.9803112273,4.9330
73,366354.7087242646,5.0786
74,366354.1980346545,5.2246
75,366353.2151712344,5.3703
76,366351.3481420508,5.5161
