# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-1197.txt
iter,cost,wall_s
0,45428699.3295261487,0.0000
1,8169774.8087535789,0.0148
2,2054200.9555375911,0.0310
3,706463.2020789775,0.0569
4,452516.5346532920,0.0730
5,395197.8659030233,0.0933
6,380349.1894388909,0.1107
7,378639.5562773903,0.1409
8,375824.6209288571,0.1603
9,371507.6294386877,0.1818
10,370285.0690027215,0.2128
11,369166.7991740329,0.2302
12,368859.0807804749,0.2493
13,368562.8739977935,0.2676
14,368495.3099315746,0.2817
15,368314.2560446936,0.2950
16,368200.3712461501,0.4359
17,367947.2082575924,0.5269
18,367668.5973638428,0.6152
19,367218.7808164272,0.7394
20,367044.9059182068,0.9592
21,366866.8579402243,1.0813
22,366753.8580538391,1.2086
23,366604.2017023754,1.2375
24,366600.9670220801,1.2495
25,366543.2450249449,1.3998
26,366504.3215038270,1.5479
27,366465.2210925140,1.5674
28,366460.5945136062,1.7129
29,366425.4058777941,1.7377
30,366419.0241518097,1.8831
31,366403.7609415964,1.9395
32,366394.0753551854,2.0847
33,366383.3996465875,2.1412
34,366382.7614970095,2.1681
35,366372.9788605081,2.3182
36,366370.5939000488,2.4682
37,366356.3073897244,2.4865
38,366350.1869113542,2.6317
39,366348.9050908621,2.6607
40,366348.7708426184,2.6727
41,366345.9867782142,2.8179
42,366331.4555795882,2.8479
43,366331.3422625985,2.8600
44,366324.9347354406,3.0053
45,366324.2539346431,3.0476
46,366324.1769543191,3.0606
47,366318.6180695231,3.2061
48,366317.3914484190,3.2246
49,366313.3807405923,3.3149
50,366313.2905754403,3.3281
51,366313.1860572041,3.3466
52,366313.1558462061,3.3586
53,366303.9027954728,3.5038
54,366301.2298268430,3.5202
55,366294.1141256785,3.6390
56,366293.8926525504,3.6532
57,366293.6446174967,3.6853
58,366293.6276973682,3.6996
59,366293.5578239240,3.7223
60,366293.5360658985,3.7427
61,366290.7172398767,3.8884
62,366290.6927471836,3.9006
63,366284.7118886216,4.0462
64,366274.4306560195,4.1917
65,366273.9209961101,4.2619
66,366273.7922882280,4.2853
67,366270.3615541164,4.4306
68,366270.2220873504,4.4479
69,366270.1705716083,4.4812
70,366269.1749998898,4.6267
71,366267.5896396677,4.7722
72,366265.2124995720,4.9176
73,366259.4540879154,5.0631
74,366259.4070048350,5.0784
75,366248.5419546441,5.2238
76,366247.8502426587,5.2539
77,366247.7796493841,5.2670
78,366243.3362503810,5.4124
79,366242.2770725719,5.4297
80,366241.0324786053,5.4585
81,366240.9091647960,5.4736
82,366240.8563914526,5.4878
83,366239.6056164935,5.5474
84,366239.5531245687,5.5604
85,366239.5225958891,5.5734
86,366239.5148296740,5.5982
