# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-1197.txt
iter,cost,wall_s
0,45428699.3295261338,0.0000
1,8169774.8087535771,0.0151
2,2054200.9555375606,0.0313
3,706463.2020788288,0.0572
4,452516.5346516111,0.0735
5,395197.8659014688,0.0939
6,380349.1894478559,0.1114
7,378639.5571716920,0.1416
8,375827.3396954058,0.1610
9,371499.6920760984,0.1826
10,370283.4137904863,0.2137
11,369152.4766610533,0.2310
12,368812.0445070982,0.2536
13,368424.3738819383,0.2794
14,368214.0445651989,0.2946
15,367978.9384558222,0.3763
16,367762.8635360523,0.4530
17,367568.5297407525,0.5574
18,367380.6345938771,0.6730
19,366990.9052932777,0.7986
20,366841.9976073685,0.9226
21,366777.4140211833,1.0418
22,366598.7766517880,1.0538
23,366548.4623405355,1.1739
24,366520.7191438090,1.2955
25,366487.1395625226,1.3432
26,366469.7858556920,1.4938
27,366448.2873373743,1.5588
28,366446.0956204566,1.7209
29,366438.4486144887,1.8666
30,366422.3972051492,2.0122
31,366403.0058024647,2.0370
32,366399.0540563974,2.1825
33,366384.1529278744,2.2296
34,366376.7158130684,2.3754
35,366375.1907191513,2.4023
36,366366.3446964814,2.5480
37,366360.2798089863,2.6215
38,366359.7433487949,2.6409
39,366359.6922109989,2.6561
40,366359.5144437925,2.6764
41,366350.5957932134,2.8229
42,366348.9128038923,2.8594
43,366348.8117439218,2.8714
44,366343.7321589594,3.0171
45,366342.4317712397,3.0344
46,366340.2514160916,3.0867
47,366340.1132530873,3.0987
48,366335.6506262229,3.2444
49,366333.3582044888,3.2617
50,366333.1732982209,3.2768
51,366332.0542832097,3.3122
52,366331.5181917726,3.3315
53,366331.0792967227,3.3584
54,366330.8492705313,3.3777
55,366330.7861583984,3.3907
56,366325.9296803787,3.5367
57,366325.2028299146,3.5499
58,366320.5391934823,3.6953
59,366319.9318952655,3.7127
60,366319.8332443431,3.7278
61,366316.1233843961,3.8733
62,366315.5497716837,3.8875
63,366312.6015336143,4.0333
64,366311.2457923133,4.0622
65,366311.1029481564,4.0752
66,366311.0332231104,4.0883
67,366306.9762475184,4.2339
68,366306.5003059501,4.2490
69,366306.4414556281,4.2622
70,366306.2334047670,4.2824
71,366302.0474567581,4.4281
72,366301.7138733771,4.4401
73,366298.8635014705,4.5859
74,366298.3221111727,4.5981
75,366294.7998537366,4.7435
76,366294.3099740979,4.7555
77,366292.3152348029,4.9013
78,366291.2802344667,4.9188
79,366291.1483384834,4.9391
80,366287.7724873485,5.0848
81,366287.3189351195,5.0969
82,366285.3060086146,5.2425
83,366284.3502596446,5.2599
84,366284.2342855309,5.2933
85,366284.1655236430,5.3160
86,366284.1135821780,5.3313
87,366283.8024056387,5.4769
