# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-1197.txt
iter,cost,wall_s
0,45428699.3295261413,0.0000
1,8169774.8087535752,0.0150
2,2054200.9555376128,0.0312
3,706463.2020789332,0.0570
4,452516.5346512026,0.0732
5,395197.8658987567,0.0935
6,380349.1894550566,0.1109
7,378639.5571981605,0.1409
8,375829.6744590537,0.1604
9,371504.2977042861,0.1820
10,370309.5135903186,0.2130
11,369217.3804886880,0.2302
12,368993.6812728440,0.2444
13,368525.0554762871,0.2627
14,368118.6223405817,0.3659
15,368071.2070979974,0.3792
16,367608.3900883050,0.4534
17,367355.2618087139,0.5361
18,367144.3730217481,0.6471
19,366969.8955091767,0.7771
20,366820.1016275538,0.9004
21,366761.0524238192,1.0264
22,366590.0827896135,1.0416
23,366549.0529961016,1.1917
24,366530.2528219168,1.3413
25,366481.5190984628,1.3891
26,366462.6629185881,1.5389
27,366451.2730042870,1.5922
28,366443.3963754709,1.6347
29,366433.2528096379,1.7842
30,366425.2143265435,1.9346
31,366413.0362785205,1.9909
32,366412.2910069691,2.1509
33,366405.1956536848,2.3004
34,366397.8352896326,2.4507
35,366392.3845695580,2.6004
36,366388.5206455871,2.6706
37,366383.6360157199,2.8210
38,366381.5787910402,2.9659
39,366375.8618504799,2.9895
40,366375.6625616447,3.0015
41,366371.8787986690,3.0874
42,366371.6470685517,3.1102
43,366371.5393684705,3.1274
44,366371.4860272075,3.1572
45,366366.1929003862,3.3022
46,366364.8817285310,3.3259
47,366364.7546903024,3.3444
48,366364.7415183710,3.3595
49,366364.6693023356,3.3798
50,366361.4501021648,3.5250
51,366361.1316756222,3.5476
52,366356.1240919525,3.6925
53,366352.8661125544,3.7879
54,366352.7161779463,3.8125
55,366348.4910314011,3.9574
56,366346.6060327881,3.9916
57,366346.3823186998,4.0047
58,366343.6122186459,4.1359
59,366343.4333310252,4.1531
60,366343.3374083191,4.1723
61,366340.1360509170,4.3174
62,366339.8207957467,4.3315
63,366339.0687786476,4.4017
64,366338.4916624602,4.4190
65,366338.3610677685,4.4522
66,366338.2108111662,4.4653
67,366337.6215643372,4.6028
68,366337.4350770181,4.6286
69,366336.6978732908,4.7735
70,366336.4727834425,4.8088
71,366336.4496033477,4.8208
