# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-1197.txt
iter,cost,wall_s
0,45428699.3295261413,0.0000
1,8169774.8087535892,0.0148
2,2054200.9555375068,0.0312
3,706463.2020785584,0.0569
4,452516.5346572578,0.0732
5,395197.8659031261,0.0936
6,380349.1894022104,0.1110
7,378639.5588107928,0.1411
8,375824.1703541928,0.1605
9,371508.0492962165,0.1820
10,370326.9257033292,0.2130
11,369135.0911124350,0.2304
12,369016.0467781853,0.2445
13,368542.5175439591,0.2599
14,368219.7617118807,0.3175
15,367993.7736836711,0.3686
16,367735.5304854450,0.4261
17,367497.7923731297,0.5055
18,367172.6014344816,0.5343
19,367035.3147093761,0.6516
20,366950.5199482177,0.7671
21,366691.8107047725,0.7803
22,366644.5473145235,0.9257
23,366585.9350421507,1.0712
24,366549.6285542483,1.2213
25,366520.1784104260,1.3667
26,366477.2712960466,1.4009
27,366461.4500401942,1.5537
28,366452.1501203155,1.5975
29,366446.9946656409,1.7480
30,366429.0647887625,1.8001
31,366427.6409565189,1.8259
32,366420.6694491311,2.1159
33,366409.5139686434,2.2614
34,366406.9593272444,2.3211
35,366406.1808254384,2.3554
36,366399.2162171814,2.5054
37,366393.2658287549,2.6559
38,366382.7571520096,2.6805
39,366382.7094183977,2.6958
40,366382.5704812334,2.7163
41,366382.4476815144,2.7365
42,366380.6938220434,2.8818
43,366377.7087644117,3.0271
44,366368.4252377444,3.1722
45,366358.8000946561,3.3175
46,366354.5405900149,3.3380
47,366353.8651893729,3.3583
48,366345.6777749287,3.5035
49,366345.3846278869,3.5168
50,366342.8657315239,3.6619
51,366339.9619234976,3.6782
52,366339.8463771638,3.6923
53,366339.4012410207,3.7125
54,366333.5536021535,3.8577
55,366333.3363262533,3.8698
56,366333.1863104759,3.9178
57,366332.6529956011,3.9351
58,366332.5664921262,3.9534
59,366332.4050487027,4.0076
60,366332.0847381332,4.0430
61,366332.0616651148,4.0550
62,366329.3627864567,4.2003
63,366322.9053063404,4.3457
64,366314.7272116158,4.4910
65,366313.3391946838,4.5104
66,366313.1096609982,4.5447
67,366310.8489534417,4.6054
68,366308.9205011289,4.6851
69,366308.8959256847,4.6992
70,366308.8392380382,4.7229
71,366308.8179311528,4.7456
72,366308.6714914234,4.8325
73,366308.4375585554,5.3848
74,366308.1014445953,5.5302
75,366307.4295520992,5.6753
76,366306.0618533166,5.8207
77,366303.2172732334,5.9661
78,366296.8508106049,6.1113
79,366285.5973463139,6.2569
80,366280.6913430775,6.4021
81,366280.3395664544,6.4152
82,366279.3796503831,6.5183
83,366278.8729480247,6.5356
84,366277.7783913042,6.5878
85,366277.7190392931,6.6009
86,366277.6264505449,6.6256
87,366277.5317937534,6.6503
88,366277.4624962652,6.6677
