# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776605,0.0121
2,1506203.5600746700,0.0248
3,1127133.1806397107,0.0393
4,820037.3684095168,0.0528
5,497540.1090254699,0.0691
6,373473.4895041922,0.0863
7,312813.0371550314,0.1124
8,285659.2010544784,0.1286
9,271070.7811856033,0.1406
10,265559.9086055691,0.1535
11,262360.0740310441,0.1663
12,258725.3548778058,0.1779
13,257433.6704899622,0.1895
14,255129.2597641455,0.1985
15,253914.7933329145,0.2074
16,253203.9867695237,0.2163
17,252795.8878896989,0.2253
18,252186.3761241091,0.2342
19,251721.0440988700,0.2432
20,251342.3429174297,0.2521
21,251032.7289551981,0.2611
22,250775.3108367407,0.2701
23,250558.1863998755,0.2790
24,250372.7460213297,0.2879
25,250212.6051657256,0.2969
26,250072.9101574989,0.3058
27,249949.8843626711,0.3147
28,249840.6850323381,0.3237
29,249743.0929196079,0.3326
30,249358.6267061236,0.3416
31,249197.4596873043,0.3505
32,249057.5125339964,0.3594
33,248935.0776869892,0.3684
34,248826.7650926602,0.3773
35,248729.9342584707,0.3863
36,248642.5180090750,0.3952
37,248562.8867043548,0.4041
38,248419.7504501856,0.4140
39,248405.3724062823,0.4266
40,248402.0003258006,0.4613
41,248377.5784942901,0.4702
42,248354.6867673358,0.4792
43,248332.4369025495,0.4881
44,248310.7891232606,0.4971
45,248289.7069322513,0.5061
46,248269.1558828379,0.5151
47,248249.1034812734,0.5240
48,248229.5184397912,0.5330
49,248210.3695324796,0.5419
50,248175.0234679168,0.5518
51,248168.4315412326,0.5643
52,247968.5545858337,0.5776
53,247341.1025424156,0.5875
54,247228.4034564264,0.5983
55,246816.6639566216,0.6072
56,246638.4192730001,0.6834
57,246544.8278774249,0.6961
58,246524.1710158869,0.7077
59,246508.3356987267,0.7193
60,246494.5747513079,0.7309
61,246482.4333929767,0.7424
62,246471.7692592614,0.7540
63,246462.4256586722,0.7657
64,246454.2205038741,0.7773
65,246446.9747223697,0.7889
66,246440.5297661243,0.8005
67,246434.7527857755,0.8121
68,246429.5355302475,0.8237
69,246424.7908678099,0.8353
70,246418.2696568776,0.8495
71,246387.7486794031,0.8852
72,246385.5107611481,0.8968
73,246383.6842572519,0.9110
74,246377.3519808764,1.0030
75,246376.2317329375,1.0120
76,246373.7884139278,1.0209
77,246370.6802057900,1.0299
78,246367.4846457614,1.0389
79,246364.3783285110,1.0478
80,246361.2923134165,1.0567
81,246358.4915936770,1.0656
82,246355.9686278455,1.0745
83,246353.6884801037,1.0835
84,246351.6178894211,1.0925
85,246349.7288308408,1.1014
86,246347.9980120311,1.1103
87,246346.4059484297,1.1193
88,246344.9361883902,1.1282
89,246343.5747314621,1.1372
90,246342.3095892557,1.1461
91,246341.1304501543,1.1551
92,246340.0284137188,1.1640
93,246338.9957693761,1.1729
94,246338.0258116867,1.1819
95,246337.1126864051,1.1908
96,246336.2512607479,1.1997
97,246335.4370131987,1.2087
98,246334.6659441570,1.2176
