# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624737,0.0000
1,2274695.1544776564,0.0121
2,1506203.5600746712,0.0247
3,1127133.1806397119,0.0392
4,820037.3684094278,0.0527
5,497540.1090292739,0.0690
6,373473.4894422827,0.0861
7,312813.0364556808,0.1123
8,285659.1144992988,0.1285
9,271070.7328494971,0.1405
10,265559.8398746852,0.1535
11,262360.0594597980,0.1662
12,258725.3791788162,0.1778
13,257432.8144565616,0.1895
14,255127.6506083583,0.1984
15,253914.7944677472,0.2074
16,253204.6270768627,0.2163
17,252795.9882190308,0.2253
18,252186.4464211807,0.2343
19,251721.1142346929,0.2432
20,251342.4131310962,0.2522
21,251032.7995292730,0.2611
22,250775.3824128414,0.2701
23,250558.2594627872,0.2791
24,250372.8205431234,0.2880
25,250212.6818080245,0.2970
26,250072.9893848783,0.3059
27,249949.9664242194,0.3149
28,249840.7694783747,0.3238
29,249743.1782466375,0.3327
30,249358.7137567847,0.3417
31,249197.5441610818,0.3507
32,249057.5933671901,0.3596
33,248935.1538738800,0.3686
34,248826.8359879025,0.3776
35,248729.9995718817,0.3865
36,248642.5775483974,0.3955
37,248562.9405484183,0.4045
38,248419.7909461814,0.4144
39,248405.4089461535,0.4270
40,248402.0502542986,0.4397
41,248377.6258798242,0.4487
42,248354.7324764960,0.4577
43,248332.4811834635,0.4667
44,248310.8322658410,0.4757
45,248289.7493984220,0.4846
46,248269.1985354417,0.4936
47,248249.1477895385,0.5025
48,248229.5672025725,0.5115
49,248210.4287887629,0.5204
50,248175.1313715707,0.5303
51,248168.6937238427,0.5428
52,248064.8820791679,0.5561
53,247545.3172880374,0.5660
54,247530.0928332357,0.5776
55,247325.2185454974,0.5865
56,247061.0299959586,0.6038
57,246859.8753078719,0.6164
58,246852.3477150000,0.6282
59,246844.6662234249,0.6401
60,246836.4153448019,0.6519
61,246827.4358737302,0.6637
62,246817.7280404700,0.6756
63,246807.3827557848,0.6874
64,246796.5333072729,0.6992
65,246785.0693280594,0.7112
66,246773.2588043026,0.7230
67,246761.4726118992,0.7348
68,246749.9094939784,0.7467
69,246738.6400025852,0.7585
70,246727.6093561940,0.7703
71,246686.7483145269,0.7872
72,246585.3454873362,0.8008
73,246504.4765051151,0.8144
74,246485.3074270729,0.8260
75,246470.2945894375,0.8376
76,246458.1397999298,0.8493
77,246447.9847224756,0.8609
78,246439.3839282760,0.8724
79,246432.0457871370,0.8841
80,246425.7434441694,0.8956
81,246420.2904725536,0.9072
82,246415.5327322402,0.9188
83,246411.3444014429,0.9304
84,246407.6244893948,0.9420
85,246404.2930340072,0.9536
86,246401.2868284843,0.9653
87,246398.5558050873,0.9768
88,246396.0599643087,0.9885
89,246393.7670232501,1.0001
90,246391.6506793950,1.0117
91,246389.6892710036,1.0233
92,246387.8647984066,1.0349
93,246386.1621488627,1.0465
94,246384.5685449597,1.0581
95,246383.0730890581,1.0697
96,246381.6664326830,1.0813
97,246379.5083522128,1.0955
98,246346.9812275306,1.1248
99,246346.2142052674,1.1364
100,246345.5684242553,1.1481
101,246344.8781487193,1.1623
102,246330.5896578394,1.2294
103,246330.4006396874,1.2384
104,246329.2771953668,1.2474
105,246327.4231777432,1.3414
106,246327.0192387479,1.3504
107,246326.5677380443,1.3594
108,246326.0638852630,1.3684
109,246325.5375750005,1.3774
110,246325.0081925939,1.3863
111,246324.4845768839,1.3953
112,246323.9701535218,1.4042
113,246323.4660141461,1.4132
114,246322.9723374459,1.4222
115,246322.4889947473,1.4311
116,246322.0158018541,1.4401
117,246321.5526324736,1.4490
118,246321.0994774208,1.4580
