dataset                 Caspar        mine    champion |    Δqual |    mine→T  champ→T  speedup   hits
--------------------------------------------------------------------------------------------------------
dubrovnik-135       4.7480e+05  4.7860e+05  4.7491e+05 |   -0.77% |     never    never        -    0/0
dubrovnik-173       3.7898e+05  3.7778e+05  3.7728e+05 |   -0.13% |     2.83s    0.17s    16.2x    3/3
dubrovnik-88        3.5756e+05  3.5898e+05  3.5894e+05 |   -0.01% |     never    never        -    0/0
final-1936          5.0521e+06  5.0501e+06  5.0496e+06 |   -0.01% |    18.91s    1.56s    12.1x    3/3
final-3068          2.6351e+06  2.1496e+06  1.6610e+06 |  -22.73% |     0.52s    0.19s     2.8x    3/3
final-4585          1.1035e+07  7.4925e+06  6.6389e+06 |  -11.39% |     5.63s    1.16s     4.8x    3/3
final-93            1.5843e+05  1.5837e+05  1.5836e+05 |   -0.00% |     0.66s    0.10s     6.4x    3/3
insta360-3086       1.0833e+06  1.0831e+06  1.0834e+06 |    0.04% |    10.36s    1.74s     6.0x    3/2
ladybug-1197        4.5532e+05  3.6776e+05  3.6629e+05 |   -0.40% |     0.23s    0.09s     2.6x    3/3
ladybug-1469        6.7672e+05  4.2709e+05  4.2518e+05 |   -0.45% |     0.12s    0.11s     1.1x    3/3
ladybug-1723        6.5345e+05  4.5758e+05  4.4871e+05 |   -1.94% |     0.29s    0.11s     2.7x    3/3
ladybug-49          1.3619e+04  1.3674e+04  1.3578e+04 |   -0.70% |     never    0.05s        -    0/3
ladybug-598         1.8281e+05  1.8009e+05  1.8035e+05 |    0.14% |     0.35s    0.09s     4.1x    3/3
ladybug-810         2.2436e+05  2.2375e+05  2.2339e+05 |   -0.16% |     1.08s    0.15s     7.4x    3/3
muellcontainer-90   2.9752e+05  2.9693e+05  2.9691e+05 |   -0.01% |     0.94s    0.13s     7.2x    3/3
trafalgar-126       1.0669e+05  1.0546e+05  1.0396e+05 |   -1.42% |     0.58s    0.11s     5.4x    3/3
trafalgar-201       1.1387e+05  1.1259e+05  1.0906e+05 |   -3.14% |     0.85s    0.14s     5.9x    3/3
trafalgar-257       1.2038e+05  1.1833e+05  1.1563e+05 |   -2.28% |     0.78s    0.15s     5.3x    3/3
venice-1672         2.4197e+06  2.2415e+06  2.1043e+06 |   -6.12% |    12.37s    2.94s     4.2x    3/3
venice-1778         2.1214e+06  2.0358e+06  1.9773e+06 |   -2.87% |     7.50s    1.65s     4.6x    3/3
venice-52           2.8136e+05  2.4445e+05  2.4632e+05 |    0.77% |     0.85s    0.15s     5.6x    3/3
venice-52-noisy     1.2848e+06  1.2465e+06  1.2546e+06 |    0.65% |     0.79s    0.16s     4.9x    3/3
venice-89           3.1059e+05  3.0515e+05  3.0332e+05 |   -0.60% |     1.15s    0.13s     9.1x    3/3

quality (champion vs my multi-shift): median -0.45%; champion better on 19/23
time-to-identical-target: champion median 5.36x faster (n=20), range 1.14-16.21x
