arm,rep,cost,secs,hit
base,1,2148962.6942388890,19.936364,0
base,2,2148860.7948573106,12.270440,0
base,3,2149000.7116169753,8.893701,0
base,4,2148004.0743108275,13.328276,0
base,5,2150348.4810844809,4.843511,0
base,6,2149226.4680232941,8.729081,0
base,7,2148656.8840607335,8.122276,0
base,8,2149740.4184828037,6.125893,0
base,9,2148505.6871502753,13.121691,0
base,10,2150283.1522562304,7.471649,0
deep,1,1708999.6662961289,15.693669,1
deep,2,1703217.8619455914,16.499705,1
deep,3,2139692.2350650541,8.640690,0
deep,4,2144397.6972552985,9.605207,0
deep,5,2142892.6113713942,16.676384,0
deep,6,2140046.2725545932,7.206307,0
deep,7,1709467.5380786879,14.971012,1
deep,8,2140009.3505555694,11.333578,0
deep,9,1708131.5737559372,15.573497,1
deep,10,1710944.7458263782,15.710204,1
TARGET3068_DONE
