# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322567,0.0395
2,3723398.1420859960,0.0889
3,2649101.3772307802,0.1497
4,2222822.2595940861,0.1835
5,2043410.2450359836,0.2331
6,2002353.5246731155,0.3019
7,1977107.5474312443,0.3640
8,1976839.1070881917,0.4155
9,1975644.9934100572,0.4660
10,1950484.7096150299,0.5166
11,1940218.1007111671,0.5700
12,1929799.3537863891,0.6227
13,1927735.1244755608,0.6838
14,1915717.8639627672,0.7449
15,1854353.6078426684,0.7877
16,1846924.0103943117,0.8331
17,1839083.1369921723,0.8784
18,1830705.7760113813,0.9366
19,1826918.5725010752,1.0170
20,1819325.2405013763,1.0779
21,1818210.3826534986,1.1390
22,1814103.3265663146,1.1728
23,1809138.6297820061,1.2152
24,1808814.0569609527,1.2628
25,1808720.1404975753,1.3116
26,1808104.5692835201,1.4034
27,1807266.2412573632,1.4544
28,1806051.2183563570,1.5056
29,1804308.5790119902,1.5567
30,1801034.6064394873,1.6273
31,1800954.7696223038,1.6769
32,1800880.4273505935,1.7265
33,1800810.0923200143,1.7761
34,1800742.4751222616,1.8258
35,1800676.4729087325,1.8754
36,1800611.1023663671,1.9249
37,1800545.5126860533,1.9746
38,1800478.9171088121,2.0242
39,1800410.6453609536,2.0738
40,1800340.0782872196,2.1234
41,1800266.6572306647,2.1730
42,1800189.9076390497,2.2226
43,1800109.3872814982,2.2722
44,1800024.7322470474,2.3218
45,1799935.6281878671,2.3714
46,1799841.8455745757,2.4209
47,1799743.1718214839,2.4705
48,1799639.4716548834,2.5201
49,1799530.6413943621,2.5697
50,1799416.6238693590,2.6193
51,1799297.4116601923,2.6690
52,1799173.0438149581,2.7185
53,1798509.2276685671,2.7979
54,1798371.4367242274,2.8446
55,1797670.3285341477,2.8783
56,1797347.4901647645,2.9121
57,1796978.2067495254,2.9459
58,1796564.9032670150,2.9797
59,1796107.7292995371,3.0133
60,1795606.2559923739,3.0470
61,1793984.2472546571,3.1039
62,1791663.4434708138,3.1608
63,1787669.2072195890,3.2176
64,1782286.0740485766,3.2744
65,1780796.4804440851,3.3211
66,1780084.7364755103,3.3679
67,1778963.5684894451,3.4146
68,1777661.9364264791,3.4483
69,1774007.3300591954,3.4821
70,1765834.9699169397,3.5619
71,1761398.4905926681,3.6259
72,1755577.6511708836,3.6735
73,1752310.5923608188,3.7386
74,1747399.3883053123,3.7910
75,1744321.1379503540,3.8248
