# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776591,0.0131
2,1506203.5600746698,0.0272
3,1127133.1806397084,0.0435
4,820037.3684095122,0.0586
5,497540.1090255044,0.0769
6,373473.4895053940,0.0962
7,312813.0366588694,0.1255
8,285659.1995441240,0.1436
9,271070.7856529098,0.1571
10,265559.8877675668,0.1716
11,262360.0510842827,0.1847
12,258725.3422584085,0.1962
13,257433.1243702936,0.2078
14,255128.3570877276,0.2167
15,253915.0243796157,0.2256
16,253204.3888981576,0.2344
17,252796.0105985269,0.2434
18,252186.4132382619,0.2523
19,251721.0808104838,0.2611
20,251342.3794529183,0.2700
21,251032.7652620267,0.2789
22,250775.3469531655,0.2878
23,250558.2225966653,0.2967
24,250372.7824951579,0.3056
25,250212.6418526377,0.3145
26,250072.9476441082,0.3233
27,249949.9227693483,0.3322
28,249840.7236120689,0.3411
29,249743.1313531886,0.3500
30,249358.6684509207,0.3588
31,249197.5004614688,0.3677
32,249057.5518257144,0.3766
33,248935.1149370335,0.3854
34,248826.8001923743,0.3944
35,248729.9670382126,0.4032
36,248642.5481629192,0.4121
37,248562.9143666762,0.4210
38,248419.7715478257,0.4308
39,248405.3984477877,0.4432
40,248402.0302400864,0.4559
41,248377.6041000382,0.4647
42,248354.7083459210,0.4736
43,248332.4543381895,0.4825
44,248310.8023203433,0.4914
45,248289.7159866316,0.5003
46,248269.1613084276,0.5091
47,248249.1063372642,0.5180
48,248229.5212561998,0.5268
49,248210.3778595204,0.5357
50,248174.9968039728,0.5455
51,248168.5514548896,0.5579
52,248161.7393974655,0.5757
53,248154.9712067234,0.5845
54,248145.9844903191,0.5943
55,248128.6738756261,0.6041
56,248120.5744590844,0.6139
57,248091.7292287737,0.6238
58,248084.8377641955,0.6336
59,248079.8837735194,0.6434
60,248075.2267440337,0.6531
61,248070.8226461007,0.6629
62,248066.6647754766,0.6727
63,248062.7455635488,0.6825
64,248059.0575171006,0.6923
65,248055.5916111619,0.7021
66,248039.3590705992,0.7110
67,248029.5019136981,0.7199
68,248026.1199460061,0.7297
69,248009.7896563234,0.7386
70,248000.1052271491,0.7474
71,247996.7672834735,0.7572
72,247980.3578908091,0.7661
73,247970.8457319349,0.7750
74,247967.5305754977,0.7848
75,247951.0615596565,0.7937
76,247941.7208982781,0.8025
77,247938.4031672650,0.8123
78,247921.8941741790,0.8212
79,247912.7238966471,0.8301
80,247909.3737622676,0.8399
81,247892.8443881879,0.8488
82,247883.8430532441,0.8577
83,247880.4292561087,0.8675
84,247878.4166846140,0.8764
85,247861.3757550983,0.8853
86,247852.3545626141,0.8941
87,247850.6548601046,0.9030
88,247833.7906453146,0.9119
89,247825.0002951378,0.9208
90,247820.9881179463,0.9306
91,247819.5753906026,0.9395
92,247802.2363763615,0.9483
93,247793.4119026476,0.9572
94,247792.2499635488,0.9661
95,247775.1390266519,0.9749
96,247766.5417458812,0.9838
97,247761.6348707253,0.9936
98,247744.6831919239,1.0077
99,247736.2803008544,1.0166
100,247731.0488313770,1.0264
101,247714.2716185793,1.0405
102,247706.0625597832,1.0494
103,247700.4520201996,1.0591
104,247683.8690600572,1.0732
105,247675.8528220960,1.0821
106,247669.8058323990,1.0919
107,247653.4368402922,1.1061
108,247645.6128666401,1.1149
109,247639.0702238981,1.1247
110,247622.9349810086,1.1389
111,247615.3031912803,1.1477
112,247608.2077197535,1.1575
113,247606.1256793864,1.1690
114,247605.6697913442,1.1815
115,247603.4730284366,1.1904
116,247601.5397526251,1.2002
117,247600.6459042066,1.2091
118,247599.7540152696,1.2180
119,247598.8639252050,1.2268
120,247597.9751118150,1.2357
121,247597.0871672201,1.2446
122,247596.1996661804,1.2535
123,247595.3121896495,1.2624
124,247594.4243171720,1.2712
125,247593.5356281666,1.2801
126,247592.6457040778,1.2889
127,247591.7541254300,1.2978
128,247590.8604731369,1.3067
129,247589.9643287970,1.3156
130,247589.0652751313,1.3245
131,247588.1628930385,1.3334
132,247587.2567652664,1.3424
133,247586.3464747671,1.3513
134,247585.4316036652,1.3602
135,247584.5117368061,1.3691
136,247583.5864581401,1.3780
137,247582.6553519372,1.3869
138,247581.7180042978,1.3959
139,247580.7740023869,1.4048
140,247579.8229340878,1.4137
141,247578.8643872194,1.4226
142,247577.8979543542,1.4316
143,247576.9232281217,1.4405
144,247575.9398039441,1.4494
145,247574.9472827342,1.4584
146,247573.9452664169,1.4673
147,247572.9333677979,1.4764
148,247571.9112054677,1.4853
149,247570.8784018379,1.4943
150,247569.8345814069,1.5032
151,247568.7793717395,1.5121
152,247567.7123899519,1.5210
153,247566.6332711873,1.5299
154,247565.5416357165,1.5389
155,247564.4371097321,1.5478
156,247563.3192802093,1.5567
157,247562.1877824717,1.5656
158,247561.0422418065,1.5745
159,247559.8822810675,1.5834
160,247558.7075350750,1.5924
161,247557.5176251121,1.6013
162,247556.3122208347,1.6102
163,247555.0909296550,1.6191
164,247553.8533987511,1.6280
165,247552.5992618293,1.6370
166,247551.3281457911,1.6459
167,247550.0397210748,1.6548
168,247548.7336067524,1.6637
169,247547.4095760392,1.6726
170,247546.0672304282,1.6815
171,247544.7063497866,1.6904
172,247543.3268040567,1.6993
173,247541.9281306224,1.7083
174,247540.5099715636,1.7172
175,247539.0719983409,1.7261
176,247537.6141534771,1.7350
177,247536.1359901570,1.7440
178,247534.6373447786,1.7529
179,247533.1179194191,1.7618
180,247531.5775497134,1.7707
181,247530.0159776943,1.7796
182,247528.4325976506,1.7885
183,247526.8274581786,1.7974
184,247525.2004441160,1.8063
185,247523.5512416399,1.8153
186,247521.8795727788,1.8242
187,247520.1851680445,1.8331
188,247518.4676855308,1.8420
189,247516.7273341602,1.8509
190,247514.9637351100,1.8599
191,247513.1767257220,1.8688
192,247511.3663758810,1.8777
193,247509.5323573694,1.8866
194,247507.6745412176,1.8955
195,247505.7922314130,1.9044
196,247503.8859739800,1.9133
197,247501.9557251832,1.9221
198,247500.0010037790,1.9310
199,247498.0218120258,1.9399
200,247496.0179747405,1.9488
