# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2104980.2502044514,0.0130
2,1505506.1974062903,0.0357
3,1136477.0194274767,0.0639
4,828883.6000256093,0.0929
5,501210.7236902438,0.1349
6,368825.9331626074,0.1685
7,327666.4409212039,0.1968
8,311485.7508891206,0.2248
9,308297.6094524548,0.2425
10,304797.0392106287,0.2696
11,296013.2598832970,0.2831
12,292236.0669894625,0.2966
13,289690.3755434551,0.3092
14,286825.6629608436,0.3218
15,284202.8196989897,0.3344
16,282055.1587083630,0.3470
17,280127.1225252887,0.3595
18,278274.5751524370,0.3721
19,276536.8163173637,0.3848
20,274893.0754370653,0.3974
21,273355.4279582683,0.4109
22,272111.5732048400,0.4225
23,270588.2212715984,0.4378
24,269838.1257134918,0.4504
25,267996.1864574484,0.4630
26,266719.2578447025,0.4756
27,265516.7636699521,0.4845
28,264616.9641771899,0.4969
29,263773.1350471073,0.5059
30,262927.5263645063,0.5185
31,262337.5656676362,0.5275
32,261685.8164337019,0.5401
33,261276.2350765438,0.5490
34,260923.4203012517,0.5580
35,260498.6522321491,0.5706
36,260011.8937624931,0.5804
37,259285.6933209914,0.5902
38,258758.5622247552,0.6001
39,258507.6403963622,0.6126
40,258306.2602042441,0.6225
41,258163.5428078262,0.6342
42,258131.3995902047,0.6431
43,257927.7227591769,0.6547
44,257920.1018547099,0.7698
45,257913.4121206468,0.7925
46,257909.5350997346,0.8115
47,257908.0506543206,0.8223
48,257896.3278907271,0.8312
49,257891.0628491080,0.8465
50,257889.6589252321,0.8573
51,257881.0892996372,0.8662
52,257876.9437946954,0.8815
53,257875.3526331421,0.8913
54,257868.3059827610,0.9002
55,257864.8130029328,0.9164
56,257863.2797206592,0.9263
57,257857.0413949561,0.9352
58,257854.0172084379,0.9514
59,257852.5741036173,0.9613
60,257846.8629467789,0.9702
61,257844.1743581924,0.9873
62,257842.7014018522,0.9971
63,257841.3005272652,1.0070
64,257831.8647840346,1.0159
65,257829.2702586252,1.0349
66,257828.2772789295,1.0447
67,257822.9569680036,1.0537
68,257820.7870789598,1.0754
69,257818.0903947035,1.0853
70,257814.7464239311,1.0978
71,257813.9838018187,1.1130
72,257811.7151301534,1.1228
73,257810.0184435539,1.1353
74,257808.8846648369,1.1550
75,257808.0383567262,1.1649
76,257807.2986766853,1.1747
77,257806.5956854332,1.1846
78,257805.9179857317,1.1944
79,257805.2606459454,1.2043
80,257804.6207523490,1.2141
81,257803.9963129594,1.2240
82,257803.3858461741,1.2338
83,257802.7881761458,1.2437
84,257802.2023254738,1.2535
85,257801.6274542993,1.2633
86,257801.0628183791,1.2731
87,257800.5077447741,1.2829
88,257799.9616166034,1.2927
89,257799.4238604497,1.3026
90,257798.8939365576,1.3125
91,257798.3713373165,1.3223
92,257797.8555762107,1.3322
93,257797.3461896293,1.3420
94,257796.8427349191,1.3518
95,257796.3447854197,1.3616
96,257795.8519319483,1.3715
97,257795.3637777050,1.3813
98,257794.8799423427,1.3911
99,257794.4000570324,1.4010
100,257793.9237673373,1.4109
101,257793.4507294479,1.4207
102,257792.9806153224,1.4305
103,257792.5131037815,1.4403
104,257792.0478880024,1.4501
105,257791.5846729412,1.4600
106,257791.1231723579,1.4698
107,257790.6631152314,1.4797
108,257790.2042394468,1.4896
109,257789.7462938149,1.4994
110,257789.2890403561,1.5092
111,257788.8322499572,1.5191
112,257788.3757051805,1.5289
113,257787.9192006743,1.5429
114,257787.4625422021,1.5527
115,257787.0055461205,1.5626
116,257786.5480402196,1.5724
117,257786.0898628813,1.5822
118,257785.6308658162,1.5921
119,257785.1709082996,1.6019
120,257784.7098641330,1.6117
121,257784.2476170535,1.6216
122,257783.7840601370,1.6314
123,257783.3191004428,1.6412
124,257782.8526536493,1.6510
125,257782.3846471942,1.6608
126,257781.9150195142,1.6707
127,257781.4437189893,1.6805
128,257780.9707035521,1.6904
129,257780.4959444307,1.7002
130,257780.0194195721,1.7101
131,257779.5411190261,1.7199
132,257779.0610417792,1.7297
133,257778.5791977823,1.7396
134,257778.0956051776,1.7494
135,257777.6102913466,1.7593
136,257777.1232933291,1.7691
137,257776.6346556920,1.7789
138,257776.1444329543,1.7887
139,257775.6526871266,1.7986
140,257775.1594874266,1.8084
141,257774.6649128318,1.8185
142,257774.1690481449,1.8284
143,257773.6719850549,1.8382
144,257773.1738226436,1.8481
145,257772.6746649283,1.8579
146,257772.1746236906,1.8677
147,257771.6738157435,1.8776
148,257771.1723626910,1.8874
149,257770.6703922670,1.8973
150,257770.1680369487,1.9071
151,257769.6654310445,1.9169
152,257769.1627144750,1.9268
153,257768.6600304890,1.9366
154,257768.1575272475,1.9464
155,257767.6553525311,1.9562
156,257767.1536571737,1.9661
157,257766.6525957563,1.9759
158,257766.1523239442,1.9858
159,257765.6529974803,1.9956
160,257765.1547740439,2.0054
161,257764.6578111754,2.0153
162,257764.1622671418,2.0251
163,257763.6683000683,2.0350
164,257763.1760677965,2.0448
165,257762.6857243876,2.0546
166,257762.1974286052,2.0644
167,257761.7113300625,2.0743
168,257761.2275838882,2.0841
169,257760.7463382360,2.0939
170,257760.2677422433,2.1038
171,257759.7919391700,2.1136
172,257759.3190726365,2.1234
173,257758.8492791115,2.1333
174,257758.3826944278,2.1431
175,257757.9194506685,2.1529
176,257757.4596764797,2.1628
177,257757.0034927708,2.1726
178,257756.5510186017,2.1824
179,257756.1023695542,2.1922
180,257755.6576555303,2.2020
181,257755.2169816348,2.2119
182,257754.7804489707,2.2217
183,257754.3481538632,2.2315
184,257753.9201835781,2.2414
185,257753.4966267199,2.2512
186,257753.0775607175,2.2611
187,257752.6630604087,2.2709
188,257752.2531951611,2.2808
189,257751.8480296253,2.2906
190,257751.4476217141,2.3004
191,257751.0520245448,2.3103
192,257750.6612866071,2.3200
193,257750.2754501987,2.3299
194,257749.8945515743,2.3397
195,257749.5186233034,2.3496
196,257749.1476928427,2.3594
197,257748.7817814506,2.3692
198,257748.4209057811,2.3790
199,257748.0650790656,2.3888
200,257747.7143071065,2.3987
201,257747.3685931426,2.4085
202,257747.0279346819,2.4184
203,257746.6923248084,2.4282
204,257746.3617524760,2.4380
205,257746.0362055049,2.4479
206,257745.7156631582,2.4577
207,257745.4001027038,2.4675
208,257745.0894980576,2.4774
209,257744.7838186991,2.4872
210,257744.4830329978,2.4971
211,257744.1871035843,2.5069
212,257743.8959922321,2.5168
213,257743.6096559154,2.5266
214,257743.3280496474,2.5364
215,257743.0511266972,2.5463
216,257742.7788380150,2.5561
217,257742.5111301756,2.5660
218,257742.2479513998,2.5758
219,257741.9892450604,2.5856
220,257741.7349536316,2.5954
221,257741.4850190657,2.6053
222,257741.2393801619,2.6151
223,257740.9979774194,2.6249
224,257740.7607468182,2.6348
225,257740.5276257690,2.6446
226,257740.2985494242,2.6545
227,257740.0734542427,2.6643
228,257739.8522747438,2.6741
229,257739.6349457669,2.6840
230,257739.4214001804,2.6938
231,257739.2115729020,2.7036
232,257739.0053980571,2.7135
233,257738.8028087601,2.7233
234,257738.6037398376,2.7332
235,257738.4081258430,2.7430
236,257738.2159012442,2.7529
237,257738.0270011248,2.7627
238,257737.8413611450,2.7725
239,257737.6589174722,2.7823
240,257737.4796069611,2.7922
241,257737.3033666422,2.8020
242,257737.1301356456,2.8119
243,257736.9598521423,2.8217
244,257736.7924562899,2.8316
245,257736.6278882811,2.8414
246,257736.4660904845,2.8512
247,257736.3070051560,2.8611
248,257736.1505748355,2.8709
249,257735.9967454028,2.8808
250,257735.8454613246,2.8906
251,257735.6966692868,2.9004
252,257735.5503171123,2.9103
253,257735.4063530991,2.9201
254,257735.2647273098,2.9300
255,257735.1253901287,2.9398
256,257734.9882932453,2.9497
257,257734.8533894124,2.9595
258,257734.7206328608,2.9693
259,257734.5899784208,2.9792
260,257734.4613821323,2.9890
261,257734.3348008796,2.9989
262,257734.2101927125,3.0087
263,257734.0875164610,3.0186
264,257733.9667328811,3.0284
265,257733.8478028167,3.0382
266,257733.7306884789,3.0480
267,257733.6153525820,3.0579
268,257733.5017592013,3.0677
269,257733.3898735196,3.0776
270,257733.2796611557,3.0875
271,257733.1710893300,3.0973
272,257733.0641248085,3.1071
273,257732.9587364625,3.1170
274,257732.8548938987,3.1268
275,257732.7525666080,3.1366
276,257732.6517259586,3.1465
277,257732.5523432879,3.1563
278,257732.4543913468,3.1661
279,257732.3669179065,3.1769
280,257732.2713524033,3.1867
281,257732.1771145670,3.1965
282,257732.0841946061,3.2063
283,257731.9925735919,3.2162
284,257731.9022330368,3.2260
285,257731.8131537683,3.2358
286,257731.7253167742,3.2457
287,257731.6387030003,3.2555
288,257731.5532934849,3.2654
289,257731.4690689130,3.2752
290,257731.3860108571,3.2850
291,257731.3040999423,3.2948
292,257731.2233183974,3.3047
293,257731.1436473338,3.3145
294,257731.0650686733,3.3244
295,257730.9875648090,3.3342
296,257730.9111178744,3.3441
297,257730.8424330547,3.3548
298,257730.7676048202,3.3646
299,257730.6937795422,3.3745
300,257730.6209540464,3.3843
301,257730.5491151532,3.3941
302,257730.4782493257,3.4040
303,257730.4083429603,3.4138
304,257730.3393823491,3.4237
305,257730.2713535235,3.4335
306,257730.2042423640,3.4434
307,257730.1380346554,3.4532
308,257730.0727165409,3.4630
309,257730.0138290566,3.4738
310,257729.9497200680,3.4837
311,257729.8864863881,3.4935
312,257729.8241227346,3.5033
313,257729.7626132293,3.5132
314,257729.7019428866,3.5230
315,257729.6420973380,3.5329
316,257729.5830623767,3.5427
317,257729.5248238886,3.5525
318,257729.4569024026,3.5669
319,257729.4006903472,3.5767
320,257729.3451094503,3.5866
321,257729.2901887276,3.5964
322,257729.2359323659,3.6062
323,257729.1823425794,3.6160
324,257729.1294189252,3.6259
325,257729.0771592921,3.6357
326,257729.0255599137,3.6456
327,257728.9746157106,3.6554
328,257728.9243206132,3.6652
329,257728.8746676026,3.6750
330,257728.8256493646,3.6849
