# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776564,0.0119
2,1506203.5600746719,0.0245
3,1127133.1806397133,0.0390
4,820037.3684094213,0.0527
5,497540.1090292669,0.0690
6,373473.4894422320,0.0862
7,312813.0364577926,0.1125
8,285659.1204017132,0.1287
9,271070.7360854416,0.1408
10,265559.8540963875,0.1537
11,262360.0494644025,0.1664
12,258725.3645975615,0.1780
13,257432.8241230964,0.1897
14,255127.9352370407,0.1986
15,253913.2133772433,0.2076
16,253204.1561135724,0.2165
17,252795.9766693883,0.2254
18,252186.4306763893,0.2344
19,251721.0996975819,0.2433
20,251342.4004148107,0.2523
21,251032.7884750761,0.2612
22,250775.3730376063,0.2701
23,250558.2519367698,0.2791
24,250372.8149857839,0.2880
25,250212.6776876293,0.2970
26,250072.9872792170,0.3060
27,249949.9659375581,0.3149
28,249840.7701169420,0.3238
29,249743.1793614274,0.3328
30,249358.7166041183,0.3417
31,249197.5468880352,0.3507
32,249057.5958959890,0.3596
33,248935.1561838667,0.3685
34,248826.8381878167,0.3775
35,248730.0015852577,0.3864
36,248642.5792354990,0.3954
37,248562.9417600833,0.4043
38,248419.7977717176,0.4142
39,248405.4173006364,0.4268
40,248402.0198622657,0.4395
41,248377.6032701543,0.4484
42,248354.7125355859,0.4574
43,248332.4624117857,0.4663
44,248310.8123736863,0.4752
45,248289.7243539997,0.4842
46,248269.1601393168,0.4931
47,248249.0759591662,0.5020
48,248229.3985778730,0.5110
49,248209.8605497250,0.5199
50,248171.1351215823,0.5298
51,248150.6573127305,0.5397
52,248141.2222026400,0.5523
53,248121.4817324208,0.5656
54,248101.3429495744,0.5747
55,248080.4825168662,0.5836
56,248058.8849915330,0.5925
57,248036.5547925384,0.6015
58,248013.5054143704,0.6104
59,247989.7590237599,0.6193
60,247965.3463853310,0.6283
61,247940.3058424969,0.6372
62,247914.6819714636,0.6462
63,247888.5257002667,0.6551
64,247861.8921341148,0.6641
65,247834.8408002568,0.6730
66,247807.4337153947,0.6819
67,247779.7329255607,0.6909
68,247751.8013093796,0.6998
69,247723.7014371098,0.7088
70,247695.4931698958,0.7177
71,247667.2339573814,0.7267
72,247638.9786419493,0.7356
73,247610.7765946494,0.7446
74,247582.6731855792,0.7535
75,247554.7078135002,0.7625
76,247526.9171825446,0.7714
77,247499.3302695718,0.7804
78,247180.7155162534,0.7902
79,246800.0145798907,0.8001
80,246739.1478137509,0.8136
81,246655.0727234971,0.8307
82,246551.7168339711,0.8703
83,246503.3413026007,0.8839
84,246499.2556802347,0.8957
85,246495.8702890642,0.9074
86,246492.8896591480,0.9192
87,246490.1417665097,0.9310
88,246487.5283305414,0.9428
89,246484.9919157524,0.9546
90,246482.4992560392,0.9664
91,246480.0317035509,0.9783
92,246477.5791517663,0.9901
93,246475.1361367262,1.0019
94,246472.7007559015,1.0137
95,246470.2724115078,1.0255
96,246467.8519760633,1.0373
97,246465.4413769309,1.0491
98,246463.0424621149,1.0609
99,246460.6572640461,1.0728
100,246431.3141606901,1.0870
101,246395.0091689072,1.1675
102,246370.6670478731,1.1820
103,246370.2017784831,1.1938
104,246369.7510995857,1.2056
105,246369.2882305246,1.2173
106,246360.3556723495,1.2262
107,246342.4324968888,1.2584
108,246331.6657410894,1.2730
109,246331.4523717758,1.2848
110,246326.7319038030,1.2938
111,246314.0036041436,1.3695
112,246311.0603880458,1.3831
113,246310.7294068791,1.3947
114,246306.8127535197,1.4037
115,246295.2222517806,1.4955
116,246295.0022210494,1.5069
117,246294.9085910388,1.5183
118,246293.4910729902,1.5272
119,246290.3311006389,1.6151
120,246290.1979656139,1.6266
121,246289.4054658616,1.6356
122,246289.0102075849,1.7283
123,246288.7580025007,1.7373
124,246288.6055260870,1.7462
125,246288.4926491639,1.7551
126,246287.4371819813,1.7640
127,246287.1846651779,1.7730
128,246286.9903169145,1.7819
129,246286.9140044244,1.7908
130,246286.0862412175,1.7998
131,246285.7268902870,1.8115
132,246285.6223804957,1.8204
133,246285.2216139274,1.8345
134,246284.9414795859,1.8528
135,246284.8415535351,1.8618
