# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2274695.1544776587,0.0119
2,1506203.5600746709,0.0246
3,1127133.1806397100,0.0391
4,820037.3684095177,0.0527
5,497540.1090228925,0.0691
6,373473.4894737478,0.0863
7,312813.0364713289,0.1125
8,285659.2336629558,0.1287
9,271070.8089410242,0.1408
10,265559.8901843328,0.1537
11,262360.0416028294,0.1664
12,258725.3267354291,0.1781
13,257433.1990894270,0.1897
14,255128.1806600683,0.1986
15,253914.9266479731,0.2076
16,253204.2987634637,0.2165
17,252796.0174228543,0.2254
18,252186.4168959724,0.2343
19,251721.0846280385,0.2433
20,251342.3833903268,0.2522
21,251032.7690085503,0.2611
22,250775.3508406102,0.2701
23,250558.2263780541,0.2790
24,250372.7860299058,0.2879
25,250212.6453666860,0.2968
26,250072.9505977695,0.3058
27,249949.9255562117,0.3147
28,249840.7264131758,0.3237
29,249743.1340895689,0.3326
30,249358.6709828319,0.3416
31,249197.5028768179,0.3505
32,249057.5542656797,0.3594
33,248935.1174573582,0.3684
34,248826.8026146112,0.3773
35,248729.9692139609,0.3863
36,248642.5502658138,0.3952
37,248562.9163588782,0.4042
38,248419.7720079642,0.4141
39,248405.3921784097,0.4266
40,248402.0301798062,0.4394
41,248377.6081144999,0.4483
42,248354.7164345642,0.4572
43,248332.4668182804,0.4662
44,248310.8196189335,0.4752
45,248289.7385362215,0.4841
46,248269.1895350730,0.4930
47,248249.1407701292,0.5020
48,248229.5624615224,0.5109
49,248210.4266193286,0.5198
50,248175.1377866231,0.5297
51,248168.7031311835,0.5423
52,248161.3271068114,0.5601
53,248154.3338882340,0.5717
54,248147.3705606056,0.5833
55,248140.2941869195,0.5949
56,248131.5980770587,0.6065
57,248107.9926295318,0.6164
58,248047.4491297486,0.6306
59,248022.8157612578,0.6396
60,247957.8171764043,0.6494
61,247912.8433735838,0.6646
62,247849.3412245149,0.6744
63,247733.2967110875,0.6905
64,247675.9544015522,0.7004
65,247669.1692769798,0.7129
66,247666.8159871137,0.7245
67,247635.5268522131,0.7335
68,247572.2257117397,0.7433
69,247570.5936224465,0.7549
70,247543.5407633208,0.7639
71,247477.0873863585,0.7737
72,247475.9823601158,0.7853
73,247385.1183232787,0.7952
74,247377.2673463778,0.8042
75,247369.4040494786,0.8131
76,247361.5017741366,0.8220
77,247289.2637703276,0.8319
78,247214.5308485312,0.8497
79,247208.8820667535,0.8586
80,247203.1856150258,0.8676
81,247197.4157911737,0.8765
82,247191.5704613607,0.8855
83,247185.6496766123,0.8944
84,247179.6541688934,0.9033
85,247097.7463352203,0.9132
86,247039.4605661751,0.9311
87,247035.3366620831,0.9400
88,247031.1318637290,0.9490
89,247026.8466159515,0.9580
90,247022.4784389120,0.9669
91,246992.3554441023,0.9777
92,246991.4270298772,0.9895
93,246990.5024756257,1.0013
94,246989.5804882373,1.0131
95,246988.6597808561,1.0249
96,246987.7400989725,1.0367
97,246986.8206897026,1.0485
98,246985.9007854543,1.0603
99,246984.9800292963,1.0721
100,246984.0582170451,1.0839
101,246983.1347765093,1.0957
102,246982.2090935910,1.1075
103,246981.2808993045,1.1194
104,246980.3497789422,1.1312
105,246979.4148724145,1.1430
