accepts,arm,audit_relative_error,cap,cap_hit,compressed_state_sha256,cost,exit_reason,hit,iterations_cap,matvecs,native_cost,native_seconds,outers,process_seconds,rejects,rep,returncode,scene,setup_seconds,solver,source,stage,state_sha256,stop_reason,target,target_gap,target_seconds,valid
41,dogleg-10000,4.0433176848871673e-16,,False,,1727521.7665245144,0,,,,,2003.140477307,87,,46,1,,final-3068,1.228664069,ceres,evidence/ceres-storm/final-3068-ceres-dogleg-10000-600-1.json,ceres-storm,,CONVERGENCE (Parameter tolerance reached. Relative step_norm: 6.527087e-09 <= 1.000000e-08.),,,,True
22,dogleg-10000,1.3647572790739807e-16,,False,,1706022.3618067133,0,,,,,1089.69743942,45,,23,2,,final-3068,1.21801901,ceres,evidence/ceres-storm/final-3068-ceres-dogleg-10000-600-2.json,ceres-storm,,CONVERGENCE (Parameter tolerance reached. Relative step_norm: 6.781680e-09 <= 1.000000e-08.),,,,True
3,lm-10000,5.971942998806133e-15,,False,,2183295.461330301,0,,,,,11.277016801,9,,6,1,,final-3068,1.228763958,ceres,evidence/ceres-storm/final-3068-ceres-lm-10000-600-1.json,ceres-storm,,CONVERGENCE (Parameter tolerance reached. Relative step_norm: 7.222421e-09 <= 1.000000e-08.),,,,True
113,champion,4.725445924250399e-16,60,False,4e57cb502c7a14b1abf7bd9d813c193b18695b901051745a138e46322bea34b2,246358.38329988267,,False,600,301,246358.3832998828,1.24327,113,1.919443474151194,1,0,0,venice-52,,eta2,evidence/venice/venice-52-champion-0,venice,6aee87fa017790a8d1e37a53c76aaa5ab9bfe7fbdcf698efd904906cd7c184d3,ftol,243740.27,0.010741406415454735,,True
128,champion,4.702045634083915e-16,60,False,557961ddc9599153e65552a78907ff4152521ae4e575c9305f125943ed85c6e7,247584.4151385308,,False,600,349,247584.4151385307,1.31155,128,1.868452011141926,6,1,0,venice-52,,eta2,evidence/venice/venice-52-champion-1,venice,867a6642939e42a6ce6453719d2eec30b69d9835aa9eec28072d07892560210d,ftol,243740.27,0.015771481415569166,,True
127,champion,3.526586122227759e-16,60,False,e07ebe08356e5573dc5edff7ecd7f754827e72021af28a8ad29dbba26dfcd8c3,247580.7717267545,,False,600,343,247580.7717267544,1.311628,127,1.9185923328623176,6,2,0,venice-52,,eta2,evidence/venice/venice-52-champion-2,venice,87cc2e11a55a930af7c7fe2f00d5949a5da59a4255f49f05b2427ece4408131b,ftol,243740.27,0.015756533488514357,,True
135,champion,9.453713926736284e-16,60,False,24b18cbbf82f1cf5e5cf6c6c9e2992cba5fc7a2eb96079b5465221d69705c62f,246284.84155353534,,False,600,839,246284.8415535351,1.89395,135,2.470821989234537,4,3,0,venice-52,,eta2,evidence/venice/venice-52-champion-3,venice,690990cdbacff3a7e2269eb5489789a415389b49f2aea072561aee96ee805e36,ftol,243740.27,0.010439684642736147,,True
195,champion,3.5486735925028604e-16,60,False,26b75206aafb2f3f38c2d305a4991af598d27046dc05dccdf196d9aee5c04470,246039.79231750302,,False,600,707,246039.7923175031,2.418691,195,2.9720104918815196,9,4,0,venice-52,,eta2,evidence/venice/venice-52-champion-4,venice,197bc833ccc5cb52bd8e694d08302200e6e408124be06b2458045c14c7d0c11e,ftol,243740.27,0.009434314311307812,,True
128,champion,4.70192988390378e-16,60,False,6acac1c4cb049c2b2945fa5b3e225c3e05956946dcae382a6f1959a100cf319d,247590.51007005002,,False,600,349,247590.5100700499,1.313343,128,1.9193429700098932,7,5,0,venice-52,,eta2,evidence/venice/venice-52-champion-5,venice,9e3cf1ba585913be13a515c1df3d855b0a4366718d9dd185b3c7550b9d9f90b1,ftol,243740.27,0.015796487261009462,,True
125,champion,5.939683738407111e-16,60,False,9c37fac5824779196db7847725ac24af98dedde5c9f74eed176b2bd39fa19bb2,244994.78203311455,,False,600,352,244994.7820331147,1.384923,125,1.96940349182114,4,6,0,venice-52,,eta2,evidence/venice/venice-52-champion-6,venice,bd733e01563d178cd31cb16f8eac88a82a602cdc031ac6319ee082d6bf2eb72b,ftol,243740.27,0.005146921487838574,,True
