arm,binary_sha256,cost,endpoint_audit,evidence,hit,host,input_sha256,native_seconds,native_trace_min,rep,scene,source,target,target_seconds,timing_kind,valid
Ceres dogleg-10000,,1727521.7665245144,local FP64,fresh,True,Codex,,2003.140477307,,1,final-3068,evidence/ceres-storm/final-3068-ceres-dogleg-10000-600-1.json,1744796.9841897595,1918.991148949,accepted crossing,True
Ceres dogleg-10000,,1706022.3618067133,local FP64,fresh,True,Codex,,1089.69743942,,2,final-3068,evidence/ceres-storm/final-3068-ceres-dogleg-10000-600-2.json,1744796.9841897595,686.494044065,accepted crossing,True
Ceres dogleg-10000,,1775095.8840517984,local FP64,fresh,False,Codex,,1131.099964262,,3,final-3068,evidence/ceres-storm/final-3068-ceres-dogleg-10000-600-3.json,1744796.9841897595,,accepted crossing,True
Ceres lm-10000,,2183295.461330301,local FP64,fresh,False,Codex,,11.277016801,,1,final-3068,evidence/ceres-storm/final-3068-ceres-lm-10000-600-1.json,1744796.9841897595,,accepted crossing,True
Ceres lm-10000,,2183295.456640646,local FP64,fresh,False,Codex,,10.714959835,,2,final-3068,evidence/ceres-storm/final-3068-ceres-lm-10000-600-2.json,1744796.9841897595,,accepted crossing,True
Ceres lm-10000,,2183295.4650463057,local FP64,fresh,False,Codex,,9.930692556,,3,final-3068,evidence/ceres-storm/final-3068-ceres-lm-10000-600-3.json,1744796.9841897595,,accepted crossing,True
Ceres dogleg-10000,,8305618.802505394,local FP64,fresh,,Codex,,2440.845055706,,1,final-4585,evidence/ceres-storm/final-4585-ceres-dogleg-10000-600-1.json,,,accepted crossing,True
Ceres dogleg-10000,,7690492.465608838,local FP64,fresh,,Codex,,2425.713548452,,2,final-4585,evidence/ceres-storm/final-4585-ceres-dogleg-10000-600-2.json,,,accepted crossing,True
Ceres lm-10000,,8040781.916687378,local FP64,fresh,,Codex,,67.989756184,,1,final-4585,evidence/ceres-storm/final-4585-ceres-lm-10000-600-1.json,,,accepted crossing,True
Eta2 champion,,1726448.5709105195,local FP64,fresh,True,Codex,,3.81713,,0,final-3068,evidence/storm/final-3068-champion-0,1744796.9841897595,3.809067334,accepted crossing,True
Eta2 champion,,1814787.8180844896,local FP64,fresh,False,Codex,,5.665188,,1,final-3068,evidence/storm/final-3068-champion-1,1744796.9841897595,,accepted crossing,True
Eta2 champion,,1822013.3892352863,local FP64,fresh,False,Codex,,3.761815,,2,final-3068,evidence/storm/final-3068-champion-2,1744796.9841897595,,accepted crossing,True
Eta2 champion,,1744321.1379504073,local FP64,fresh,True,Codex,,3.869276,,3,final-3068,evidence/storm/final-3068-champion-3,1744796.9841897595,3.861307168,accepted crossing,True
Eta2 champion,,1743513.7830610792,local FP64,fresh,True,Codex,,3.323774,,4,final-3068,evidence/storm/final-3068-champion-4,1744796.9841897595,3.300874327,accepted crossing,True
Eta2 champion,,1741051.273592351,local FP64,fresh,True,Codex,,3.583666,,5,final-3068,evidence/storm/final-3068-champion-5,1744796.9841897595,3.57539745,accepted crossing,True
Eta2 champion,,1738696.5177352575,local FP64,fresh,True,Codex,,4.094118,,6,final-3068,evidence/storm/final-3068-champion-6,1744796.9841897595,4.084474208,accepted crossing,True
Eta2 champion,,1740692.858678435,local FP64,fresh,True,Codex,,4.277939,,7,final-3068,evidence/storm/final-3068-champion-7,1744796.9841897595,4.269963151,accepted crossing,True
Eta2 champion,,1742322.8582487693,local FP64,fresh,True,Codex,,2.967105,,8,final-3068,evidence/storm/final-3068-champion-8,1744796.9841897595,2.959124694,accepted crossing,True
Eta2 champion,,1744794.894348446,local FP64,fresh,True,Codex,,2.889723,,9,final-3068,evidence/storm/final-3068-champion-9,1744796.9841897595,2.88178699,accepted crossing,True
Caspar32 default / 200,84e16ac1872115faaac9b3847101c3a59373dab5ad08f1dc1349c2248c1615c6,2646874.7321209363,banked driver FP64,banked,False,Codex,f6bd559b2e0316e177742ebf73bd5311766e8a40ccca2628bfe29cd5989de481,0.831559276,2633887.25,1,final-3068,banked/caspar32/final-3068-caspar32-default-200-1.json,1744796.9841897595,,endpoint only; native trace is FP32,True
Caspar32 default / 200,84e16ac1872115faaac9b3847101c3a59373dab5ad08f1dc1349c2248c1615c6,2636053.334214752,banked driver FP64,banked,False,Codex,f6bd559b2e0316e177742ebf73bd5311766e8a40ccca2628bfe29cd5989de481,2.350073152,2632472.5,2,final-3068,banked/caspar32/final-3068-caspar32-default-200-2.json,1744796.9841897595,,endpoint only; native trace is FP32,True
Caspar32 default / 200,84e16ac1872115faaac9b3847101c3a59373dab5ad08f1dc1349c2248c1615c6,2649434.549579981,banked driver FP64,banked,False,Codex,f6bd559b2e0316e177742ebf73bd5311766e8a40ccca2628bfe29cd5989de481,0.670086686,2635119.0,3,final-3068,banked/caspar32/final-3068-caspar32-default-200-3.json,1744796.9841897595,,endpoint only; native trace is FP32,True
Caspar32 default / 2000,84e16ac1872115faaac9b3847101c3a59373dab5ad08f1dc1349c2248c1615c6,2646054.180120489,banked driver FP64,banked,False,Codex,f6bd559b2e0316e177742ebf73bd5311766e8a40ccca2628bfe29cd5989de481,0.719633353,2634073.5,1,final-3068,banked/caspar32/final-3068-caspar32-default-2000-1.json,1744796.9841897595,,endpoint only; native trace is FP32,True
