# algo=mfree_shifted_cg problem=/workspace/bal/final-4585.txt
iter,cost,wall_s
0,602872963.4893308878,0.0000
1,34818548.0048702657,0.1946
2,14580801.3346814364,0.4635
3,11930814.5335129350,0.8914
4,9235229.9636973105,1.1426
5,7848799.8991436036,1.4034
6,7396330.6697675688,1.6795
7,7390243.3864045106,1.9515
8,7293802.3085286282,2.2177
9,7200966.9861744270,2.6069
10,7181769.7542840755,2.9848
11,7158475.3701222669,3.3937
12,7145142.3441018378,3.7219
13,7135633.4702272695,4.1306
14,7120485.9322518194,4.6106
15,7047628.5172074186,4.9139
16,6906193.3348612506,5.2185
17,6893598.4642932992,5.5235
18,6886274.2243497893,6.0074
19,6877661.0054010749,6.3412
20,6868204.7749159588,7.4376
21,6860298.3736279616,7.7805
22,6857484.0001975875,8.1141
23,6852759.4006116064,8.5819
24,6849311.6642309502,8.9197
25,6843735.9886055887,9.3434
26,6840931.1134542041,9.8085
27,6830371.3211314362,10.4921
28,6826225.1269461848,10.8907
29,6824890.5930946171,11.2846
30,6823966.9840293918,11.7244
31,6823742.4503153739,12.1185
32,6823569.1065883664,12.9824
33,6823370.4084008858,13.3309
34,6822997.6198858581,13.7446
35,6821231.0855592834,14.1791
36,6820881.8019481469,14.5736
