# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776582,0.0120
2,1506203.5600746709,0.0246
3,1127133.1806397159,0.0391
4,820037.3684094378,0.0526
5,497540.1090283176,0.0689
6,373473.4894683523,0.0861
7,312813.0364813815,0.1122
8,285659.0631339685,0.1284
9,271070.6856223661,0.1404
10,265559.8337595521,0.1533
11,262360.0380113514,0.1660
12,258725.3521114700,0.1778
13,257432.3767255267,0.1895
14,255127.6237932394,0.1984
15,253915.7646169112,0.2074
16,253204.5869864838,0.2163
17,252795.9786533438,0.2252
18,252186.4543484598,0.2342
19,251721.1248586885,0.2431
20,251342.4271890696,0.2521
21,251032.8171727764,0.2610
22,250775.4038415783,0.2700
23,250558.2850229533,0.2789
24,250372.8506143138,0.2878
25,250212.7161916032,0.2967
26,250073.0286347892,0.3057
27,249950.0104959063,0.3146
28,249840.8173029897,0.3235
29,249743.2284980979,0.3325
30,249358.7655871368,0.3414
31,249197.5942901387,0.3504
32,249057.6410676540,0.3594
33,248935.1986215558,0.3683
34,248826.8774585627,0.3772
35,248730.0373194177,0.3862
