# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,3557494.9463957134,0.0399
2,1504348.3837972342,0.0625
3,1185282.8139595757,0.1893
4,992932.8844167399,0.3162
5,764725.2422475808,0.4430
6,571125.9497894462,0.5696
7,369678.8260082056,0.6963
8,349770.9888023966,0.7142
9,344661.9952357630,0.7346
10,342654.2198606621,0.7529
11,310018.9133437328,0.8830
12,293204.9941384806,0.9019
13,288328.2560377283,1.0316
14,273968.8243016817,1.0516
15,269086.9073786151,1.1809
16,267721.9606714415,1.2283
17,265937.8506486114,1.3554
18,264418.8177941683,1.4822
19,263777.4492437664,1.6147
20,263037.1704871578,1.7417
21,261966.0655942161,1.8684
22,261958.9248599510,1.8831
23,260387.6560483970,2.0098
24,260332.2481390654,2.0245
25,258751.1448894513,2.1513
26,258463.9404085804,2.1660
27,257251.4934585573,2.2928
28,257063.4410222530,2.3074
29,256108.4054588881,2.4341
30,255999.7651626423,2.4488
31,255235.1639506605,2.5755
32,255187.9816524179,2.5902
33,254555.3074394823,2.7172
34,254520.2541344482,2.7319
35,253977.1933947005,2.8586
36,253958.4250428430,2.8733
37,253488.6110667044,3.0002
38,253471.6802931682,3.0148
39,253029.9350868657,3.1415
40,252897.7503100851,3.1562
41,252455.3858300424,3.2830
42,252447.0153986720,3.2977
43,252116.4296569344,3.4245
44,252060.3908070107,3.4391
45,251744.9670780785,3.5660
46,251741.0966640057,3.5806
47,251479.0778929818,3.7074
48,251449.0689524963,3.7221
49,251207.8719091134,3.8489
50,251205.5717082961,3.8635
51,250998.6496640267,3.9903
52,250983.3332200298,4.0050
53,250794.8096553520,4.1318
54,250628.8195215724,4.2585
55,250620.3403794423,4.2732
56,250467.6544844027,4.4000
57,250460.8549092006,4.4217
58,250298.0928392103,4.5485
59,250295.0001602873,4.5631
60,250142.5145762507,4.6899
61,250140.2250435729,4.7052
62,249977.0923118571,4.8320
63,249923.0736199647,4.8467
64,249767.7733162918,4.9733
65,249657.3560606529,5.1001
66,249646.3432935118,5.1148
67,249546.3834528822,5.2415
68,249545.7656321171,5.2562
69,249461.6037162516,5.3829
70,249457.2763725802,5.3976
71,249382.3172648743,5.5245
72,249315.8706934216,5.6512
73,249313.9053490470,5.6658
74,249252.6743955065,5.7926
75,249251.1381494573,5.8116
76,249162.0207512644,5.9383
77,249144.0478334470,5.9529
78,249120.5887458520,5.9747
79,249071.9658620870,6.1015
80,249068.9727497043,6.1206
81,249022.7965871912,6.2472
82,249019.6132210020,6.2637
83,248976.4364011664,6.3904
84,248936.1325816301,6.5171
85,248930.0466632413,6.5450
86,248877.8703138593,6.6717
87,248876.5896638680,6.6864
88,248830.2904798397,6.8130
89,248794.2673890462,6.9397
90,248786.4285484292,6.9720
91,248745.3159471765,7.0987
