# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,39894.6790185196,0.0279
2,24028.4910964874,0.0324
3,21254.5885653465,0.0363
4,14748.0486566795,0.0408
5,14216.6255811301,0.0437
6,14046.9318092441,0.0527
7,13990.5266599379,0.0610
8,13959.7496703632,0.0700
9,13947.0974197099,0.0790
10,13925.3810045406,0.0937
11,13909.4811484452,0.1027
12,13862.6688321735,0.1112
13,13686.0652988113,0.1153
14,13653.7825214120,0.1190
15,13639.5117060110,0.1228
16,13618.4957727992,0.1275
17,13610.0961372096,0.1350
18,13596.5197406609,0.1424
19,13582.4319838663,0.1450
20,13581.0273976193,0.1486
