# algo=mfree_shifted_cg problem=/workspace/bal/final-4585.txt
iter,cost,wall_s
0,602872963.4893308878,0.0000
1,34818548.0048703775,0.1957
2,14580801.3346812762,0.4636
3,11930814.5335693490,0.8918
4,9235229.9640440438,1.1437
5,7848799.3603539970,1.4051
6,7396333.5644233897,1.6811
7,7390148.8407843821,1.9527
8,7293704.9577701800,2.2193
9,7200942.0334193064,2.6071
10,7181993.1248990046,2.9856
11,7158385.6945984736,3.3940
12,7146231.8846077891,3.7137
13,7137425.3171042083,4.2129
14,7128722.0948783606,4.5355
15,7123315.6649732338,4.8494
16,7118653.6050441368,5.1372
17,7090618.6699861623,5.4652
18,7087000.2832296370,5.9223
19,7085938.6900887880,6.2862
20,7080208.1759923296,6.5907
21,7077420.0095674573,6.9092
22,7075430.2777425610,7.2277
