# algo=mfree_shifted_cg problem=/workspace/bal/final-4585.txt
iter,cost,wall_s
0,602872963.4893307686,0.0000
1,102100620.4680883735,0.3409
2,28735682.7963594981,0.7408
3,13375200.9394550137,1.3230
4,9294826.5826725438,1.8327
5,8396625.2581738643,2.2744
6,8251392.5286684437,2.6536
7,8159288.9465883467,3.2503
8,8093642.5536745563,4.0491
9,7897455.3514995119,4.3310
10,7867152.2058084765,4.6584
11,7820005.6179512171,5.0823
12,7735404.9700433007,5.3756
13,7727177.6740911771,5.6544
14,7679989.0578867020,5.9215
15,7568824.8816607734,6.3635
16,7546139.3311773455,6.6357
17,7514649.0217048489,6.9085
18,7503951.1012894670,7.1860
19,7500327.8376991134,7.4640
20,7464260.8937423574,7.7547
21,7438603.7294580387,8.0432
22,7415494.5397905167,8.3329
23,7403848.4513383433,8.6056
24,7402979.7481986731,9.4852
25,7396926.2724923613,9.7737
26,7391540.0250758603,10.0529
27,7390925.7773473812,10.5384
28,7388560.7553424789,10.8111
29,7384534.4148253975,11.0887
30,7383796.5695294160,11.3719
31,7369729.4081178242,11.6553
32,7368622.2738037836,11.9450
33,7367610.2621125598,12.2343
34,7366364.3793655988,12.5241
35,7364812.1633955818,12.8125
36,7363001.2082566442,13.1011
37,7360801.3230451951,13.3896
38,7358026.5705091618,13.6780
39,7354515.6711705737,13.9667
40,7349771.9390663505,14.2570
41,7341906.5623940174,14.5456
42,7329646.3902507126,14.8343
