# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357318,0.0000
1,4626667.7485610470,0.0364
2,1034981.1782239894,0.0544
3,568901.7321388741,0.1623
4,418517.7459734820,0.1746
5,383226.5299185102,0.1919
6,376297.4731664338,0.2140
7,370897.1774517713,0.3222
8,367517.8092476648,0.4144
9,365577.9391412555,0.4337
10,364865.4375038846,0.4529
11,364764.0898091554,0.4659
12,364707.4833800319,0.4788
13,364694.0649790596,0.4918
14,364623.7416387977,0.5104
15,364604.1622074521,0.5229
16,364589.0770969056,0.5354
17,364577.4451372115,0.5480
18,364569.0456590328,0.5605
19,364563.1767344606,0.5694
20,364559.0096819529,0.5784
21,364554.8519332972,0.5873
22,364550.7041172803,0.5963
23,364542.4184249528,0.6061
24,364538.3031530053,0.6151
25,364530.7697769720,0.6250
26,364523.6453476272,0.6348
27,364519.6161616486,0.6438
28,364513.1715842745,0.6536
29,364507.0668531042,0.6634
30,364501.3040751542,0.6732
31,364495.8625760830,0.6830
32,364490.7192929510,0.6929
33,364485.8539191465,0.7027
34,364481.2426042916,0.7125
35,364476.8706200900,0.7224
36,364472.7155144989,0.7322
37,364468.7579452836,0.7421
38,364464.9820923770,0.7519
39,364461.3722814627,0.7618
40,364457.9105315856,0.7716
41,364454.5800645264,0.7814
42,364451.3668844732,0.7912
43,364448.2562153608,0.8011
44,364445.2343438583,0.8110
45,364442.2861444477,0.8208
46,364439.4000478491,0.8306
47,364436.5629985607,0.8405
48,364433.7620612665,0.8503
49,364430.9849105772,0.8602
50,364428.2199368266,0.8699
51,364425.4554362971,0.8797
52,364422.6800502979,0.8895
53,364419.8837287437,0.8994
54,364417.0544585425,0.9092
