# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,39894.6790185196,0.0279
2,24028.4910964874,0.0324
3,20107.2911740210,0.0457
4,16594.5363238118,0.0481
5,14731.6281169218,0.0512
6,14175.4882992450,0.0559
7,14049.9466948717,0.0678
8,14011.4880133911,0.0783
9,13997.1839884488,0.0861
10,13985.1077331780,0.0940
11,13975.3368143876,0.1019
12,13968.2725448619,0.1098
13,13927.8934266621,0.1173
14,13911.7514626737,0.1243
15,13718.7063912451,0.1282
16,13709.2293972232,0.1350
