# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776601,0.0120
2,1506203.5600746705,0.0247
3,1127133.1806397124,0.0391
4,820037.3684094417,0.0526
5,497540.1090282327,0.0690
6,373473.4894684431,0.0861
7,312813.0364526502,0.1123
8,285659.1127546108,0.1285
9,271070.7391266853,0.1405
10,265559.8338736083,0.1534
11,262360.0746050276,0.1661
12,258725.3859459300,0.1777
13,257432.8041587377,0.1893
14,255128.1913667368,0.1983
15,253914.7352560860,0.2072
16,253204.0404415781,0.2162
17,252796.0428086509,0.2251
18,252186.4231832182,0.2340
19,251721.0921094875,0.2430
20,251342.3925485029,0.2519
21,251032.7805762450,0.2608
22,250775.3649147558,0.2698
23,250558.2433774985,0.2787
24,250372.8061199918,0.2876
25,250212.6688282204,0.2966
26,250072.9779995488,0.3055
27,249949.9563634892,0.3145
28,249840.7607222407,0.3234
29,249743.1703803029,0.3324
30,249358.7066764302,0.3413
31,249197.5371809094,0.3503
32,249057.5864880417,0.3592
33,248935.1471639955,0.3681
34,248826.8296416142,0.3771
35,248729.9935151117,0.3860
