# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,3557494.9463957143,0.0398
2,1504348.3837972318,0.0624
3,1185282.8146955550,0.1892
4,992934.9259665122,0.3158
5,764724.8356898513,0.4425
6,571125.4941174962,0.5691
7,369662.4866732947,0.6958
8,349768.1841772742,0.7136
9,335082.3885836107,0.7333
10,317544.1930402258,0.7508
11,313006.0215356926,0.7634
12,290455.8153033020,0.7725
13,282569.6604901391,0.7816
14,278699.7343243154,0.7907
15,275475.8695679759,0.7997
16,272264.3866568435,0.8088
17,269757.0086214352,0.8179
18,269142.4537433146,0.8270
19,266331.8352093607,0.8361
20,265889.5133854016,0.8451
21,264300.8363851861,0.8542
22,263721.2004433173,0.8651
23,263319.7487558252,0.8751
24,263054.8197817387,0.8842
25,262802.3472217355,0.8932
26,262562.7244655361,0.9023
27,262332.9581972561,0.9114
28,262110.6837729489,0.9205
29,261121.3174758260,0.9305
30,261109.5272816246,0.9424
31,260577.3557497609,0.9515
32,260087.0132877211,0.9624
33,260041.2355538748,0.9715
34,259445.7223403400,0.9806
35,258235.5930518607,1.0016
36,257388.1034509986,1.0154
37,257359.7622323871,1.0289
38,257189.2079694579,1.0380
39,256933.5563863558,1.0489
40,256908.0754392638,1.0607
41,256906.2972584101,1.0728
42,256905.9264384519,1.0849
43,256903.9412258596,1.0940
44,256884.4138992998,1.1031
45,256876.2141098484,1.1121
46,256874.7143363931,1.1238
47,256874.3635632707,1.1358
48,256874.0658892687,1.1477
49,256873.8388685124,1.1596
50,256873.6290768918,1.1687
51,256873.4272085145,1.1778
52,256873.2290370030,1.1868
53,256873.0344675463,1.1959
54,256872.8434309448,1.2050
55,256872.6147823492,1.2140
56,256872.3482220827,1.2231
57,256872.0824045252,1.2322
58,256871.8173351046,1.2412
59,256871.5530086341,1.2503
60,256871.2894200194,1.2593
61,256871.0265642188,1.2684
