# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,3557494.9463957143,0.0356
2,1638416.2425625655,0.0571
3,1220710.7531627000,0.1826
4,994229.2977882334,0.3086
5,927187.9973281771,0.4273
6,636946.2819391177,0.5531
7,460247.8382077381,0.6628
8,411924.1756782051,0.6763
9,335286.6615405799,0.7040
10,304528.0952857168,0.7241
11,279898.1897025316,0.7358
12,273003.9106124451,0.7480
13,267778.6671815221,0.7597
14,260512.4222301562,0.7739
15,257953.8479347101,0.7830
16,256536.5145143353,0.7921
17,255592.2739114471,0.8011
18,254890.7007190959,0.8102
19,254200.2784388096,0.8193
20,253049.2110138746,0.8283
21,252260.5012560670,0.8374
22,251624.3439376917,0.8464
23,251117.2194848097,0.8555
24,250708.7444996863,0.8645
25,250370.1955966450,0.8736
26,250081.6245921865,0.8827
27,249829.5186427149,0.8918
28,249604.2943527119,0.9008
29,249399.0008167719,0.9099
30,249208.4995539731,0.9189
31,249028.9241068598,0.9280
32,248857.3269700812,0.9371
33,248691.4632406629,0.9461
