# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,3557494.9463957120,0.0381
2,1638416.2425625657,0.0616
3,1220710.7529762266,0.1921
4,994228.8597337864,0.3256
5,763803.6066172288,0.4494
6,568931.8415669502,0.5798
7,452477.1752033360,0.6939
8,426052.1479411969,0.7140
9,368846.3337645336,0.7360
10,329088.3732861692,0.7482
11,321228.9842358078,0.7612
12,313953.5578349935,0.7828
13,307962.9863789164,0.7928
14,300134.1455706460,0.8047
15,297124.4619616230,0.8138
16,294440.4280080392,0.8265
17,292323.0279686619,0.8382
18,290909.4778686816,0.8515
19,290308.8732242665,0.8641
20,287439.7426282138,0.8811
21,286119.6133743579,0.8911
22,285432.2766474911,0.9037
23,285103.0349773753,0.9137
24,284807.3205813717,0.9238
25,284303.3003618381,0.9338
26,282739.8052498807,0.9428
27,282105.4245121283,0.9528
28,281577.6196332091,0.9628
29,280250.3071179726,0.9719
30,279814.3384556286,0.9845
31,278744.3122755646,0.9936
32,278408.7661386947,1.0093
33,277709.1668684984,1.0184
34,277277.7477843023,1.0275
35,277050.8016086730,1.0375
36,276375.2266149183,1.0465
37,276052.6272798887,1.0556
38,275790.3854877880,1.0682
39,275635.0267894012,1.0783
40,275495.0350601107,1.0883
41,275153.4223253629,1.1000
42,275036.6841316601,1.1100
43,274742.3851335741,1.1192
44,274638.8844030711,1.1292
45,274546.6287653472,1.1393
46,274294.2101971238,1.1484
47,274217.9296186114,1.1584
48,274001.2428663272,1.1674
49,273940.9939497412,1.1801
50,273755.8617638394,1.1891
51,273710.0994179717,1.2024
52,273529.5687734781,1.2115
53,273488.3866646584,1.2216
54,273339.2669806600,1.2307
55,273216.1402431011,1.2398
56,273177.9632075786,1.2560
57,273144.2970722354,1.2660
58,273060.2778177218,1.2751
59,273047.4989701948,1.2850
60,273000.5950990897,1.2941
61,272924.5019142078,1.3047
62,272899.4066067009,1.3147
63,272828.5742416217,1.3239
64,272805.4625765583,1.3339
65,272739.4622628688,1.3430
66,272718.2106671230,1.3530
67,272656.6306171893,1.3620
68,272637.1228389907,1.3721
69,272618.6923712884,1.3821
70,272562.1865385220,1.3912
71,272545.3227455944,1.4039
72,272492.4554549365,1.4130
73,272477.0616048431,1.4230
74,272427.5393251195,1.4321
75,272413.5160921970,1.4421
76,272367.0717229497,1.4512
77,272354.3184120584,1.4612
78,272310.7082648384,1.4703
79,272268.9623601695,1.4793
80,272257.7325788972,1.4893
81,272218.4592963073,1.4984
82,272208.2664135059,1.5084
83,272171.2640092644,1.5175
84,272135.7331596040,1.5266
85,272126.7364541736,1.5366
86,272093.1885109707,1.5457
87,272060.9101503082,1.5548
88,272052.9154065949,1.5648
89,272022.3595330637,1.5738
90,271992.8978940978,1.5829
91,271985.7102435426,1.5929
92,271973.6289996741,1.6039
93,271953.6561752611,1.6130
94,271926.6891395389,1.6249
95,271920.0111528802,1.6349
96,271908.4976733928,1.6440
97,271889.6623962076,1.6531
98,271864.8301018963,1.6621
99,271858.4861310882,1.6721
100,271847.4526458657,1.6812
101,271829.5922331411,1.6902
102,271812.0007325053,1.6993
103,271803.0923224210,1.7093
104,271794.2121752801,1.7193
105,271777.1093149000,1.7283
106,271768.2304191313,1.7384
107,271751.4756130100,1.7474
108,271742.5863757777,1.7574
109,271726.1601743873,1.7665
110,271717.2453405951,1.7765
111,271708.3302641083,1.7865
112,271692.3026932049,1.7956
113,271683.3409257390,1.8066
114,271667.5976912866,1.8157
115,271658.5726603517,1.8258
116,271643.0966036126,1.8349
117,271633.9928511904,1.8449
118,271624.8641302619,1.8549
119,271609.7069016555,1.8639
120,271600.4761516204,1.8739
121,271585.5466899484,1.8830
122,271576.1964917923,1.8930
123,271561.4795941902,1.9021
124,271551.9935934272,1.9121
125,271537.4745925990,1.9212
126,271527.8363779200,1.9313
127,271513.5011199930,1.9403
128,271503.6924705029,1.9504
129,271493.8093268645,1.9603
130,271479.6841813202,1.9694
131,271469.6048972987,1.9794
132,271455.6307348152,1.9885
133,271445.3321276034,1.9985
134,271431.4964679977,2.0076
135,271420.9604920912,2.0175
136,271407.2513042323,2.0266
137,271396.4561786499,2.0366
138,271382.8619297082,2.0457
139,271371.7892674844,2.0557
140,271358.2988184054,2.0648
141,271346.9226076074,2.0748
142,271333.5253181451,2.0838
143,271321.8221818217,2.0938
144,271308.5078893800,2.1057
145,271296.4597745880,2.1157
146,271283.2186615374,2.1249
147,271270.7961123420,2.1348
148,271258.1954274904,2.1448
149,271245.0226145138,2.1539
150,271232.0090084327,2.1638
151,271218.8868227942,2.1729
152,271205.4286765942,2.1828
153,271192.3489496553,2.1919
154,271178.4234526085,2.2047
155,271165.3784292557,2.2139
156,271150.9540887375,2.2239
157,271137.9364646826,2.2330
158,271122.9830109970,2.2430
159,271109.9859528251,2.2521
160,271094.4722160234,2.2621
161,271081.4893345858,2.2712
162,271065.3769832173,2.2812
163,271052.4024303867,2.2903
164,271035.6488336428,2.3032
165,271022.6772776520,2.3123
166,271005.2584070740,2.3223
167,270982.0694772201,2.3323
168,270967.7236027573,2.3414
169,270953.0903741097,2.3505
170,270938.1573763569,2.3595
171,270922.9096488401,2.3686
172,270907.3329197578,2.3776
173,270891.4132706668,2.3867
174,270875.1373954549,2.3958
175,270858.4926025332,2.4067
176,270841.4666053335,2.4158
177,270824.0477257460,2.4248
178,270806.2249473424,2.4340
179,270787.9880525163,2.4430
180,270769.3270670945,2.4521
181,270715.3299857491,2.4621
182,270696.2051931348,2.4712
183,270676.6264089216,2.4802
184,270656.5819172763,2.4893
185,270636.0649653550,2.4983
186,270615.0698736636,2.5073
187,270539.1037013315,2.5173
188,270522.3488222829,2.5317
189,270505.6351048968,2.5408
190,270455.5298820064,2.5507
191,270434.3778837935,2.5598
192,270341.2838602811,2.5698
193,270324.5414782497,2.5841
194,270307.8497322237,2.5932
195,270247.4387531484,2.6056
196,270226.3172529894,2.6147
197,270111.0555917250,2.6247
198,270094.4866065945,2.6390
199,270077.9864159229,2.6481
200,270003.7122507276,2.6581
201,269982.9442398150,2.6672
202,269837.2805749972,2.6772
203,269821.1086998954,2.6915
204,269805.0400762889,2.7012
205,269710.9999915615,2.7112
206,269691.0479986093,2.7202
207,269500.9354203702,2.7303
208,269481.9882658053,2.7421
209,269462.5920099939,2.7538
210,269447.3997070745,2.7681
211,269316.1925711320,2.7807
212,269137.2449393423,2.7908
213,269119.3861078792,2.7998
214,269045.2774353727,2.8122
215,269038.0428430907,2.8213
216,268943.9958640960,2.8313
217,268744.7929966974,2.8413
218,268293.7182946417,2.8513
219,268281.7940522642,2.8631
220,268270.4590431384,2.8721
221,268241.4870301951,2.8821
222,268168.4120768702,2.8948
223,268130.6426820826,2.9095
224,268081.1908927870,2.9221
225,267986.2547094371,2.9322
226,267887.7068922275,2.9422
227,267839.9317963200,2.9522
228,267758.9877245100,2.9623
229,267667.6308929751,2.9723
230,267595.9267339735,2.9822
231,267583.6636384302,2.9932
232,267556.1188905881,3.0057
233,267502.6289111597,3.0198
234,267497.7730296948,3.0307
235,267490.3986009851,3.0417
236,267478.5985959971,3.0526
237,267469.0798454107,3.0626
238,267467.3127985051,3.0736
239,267463.8303087268,3.0845
240,267456.9921264331,3.0954
241,267443.8174197773,3.1085
242,267419.3064693197,3.1194
243,267377.1203610916,3.1304
244,267334.1215674293,3.1414
245,267325.9375691593,3.1505
246,267317.2077982149,3.1595
247,267307.9185848921,3.1686
248,266416.3235266801,3.1820
249,265224.8360361837,3.1938
250,263364.3284424724,3.2085
251,261368.4249584878,3.2212
252,260950.1296797524,3.2387
253,260860.1243470438,3.2599
254,260824.8797821234,3.2773
255,260804.6795005454,3.2892
256,260788.6645061549,3.3084
257,260778.1546247267,3.3203
258,260769.6577264850,3.3378
259,260763.8193515179,3.3497
260,260759.3282995696,3.3615
261,260755.5879370921,3.3799
262,260752.8197339750,3.3917
263,260750.5305542330,3.4130
264,260748.7443772549,3.4249
265,260747.2654747434,3.4432
266,260746.0729244938,3.4551
267,260745.0814365287,3.4735
268,260744.2663049029,3.4863
269,260743.5885804491,3.4991
270,260743.0227176588,3.5118
271,260742.5483476585,3.5255
272,260742.1499162097,3.5393
273,260741.8140909697,3.5548
274,260741.5309371698,3.5685
275,260741.2907380321,3.5841
276,260741.0869243387,3.5978
277,260740.9129870054,3.6134
278,260740.7642046383,3.6289
