accepted,arm,cap_hit,cheirality_obs,final_cost,handover_outer,handover_reason,hit,hybrid_failures,hybrid_open,hybrid_products,hybrid_seconds,hybrid_sweeps,matvecs,median_reproj_px,native_seconds,outers,process_seconds,rejects,rep,scene,source,stage,stop_reason,target,target_seconds
193,champion,True,816,1656133.4705224184,,,False,,,,,,2845,0.528834,15.259628,193,16.80882689729333,2,0,final-3068,evidence/calibrate-large/final-3068-champion-0,calibrate-large,budget,,
166,champion,True,829,1654772.225074927,,,False,,,,,,3100,0.528921,15.221712,166,16.712478139903396,7,1,final-3068,evidence/calibrate-large/final-3068-champion-1,calibrate-large,budget,,
61,champion,False,762,1822256.9765069364,,,False,,,,,,271,0.553098,3.468242,61,4.828188386745751,11,2,final-3068,evidence/calibrate-large/final-3068-champion-2,calibrate-large,ftol,,
37,champion,True,180,7034575.076659548,,,False,,,,,,329,0.541344,15.087348,37,20.868122172076255,6,0,final-4585,evidence/calibrate-large/final-4585-champion-0,calibrate-large,budget,,
44,champion,True,180,7005780.804998056,,,False,,,,,,219,0.542315,15.094696,44,20.921291647013277,6,1,final-4585,evidence/calibrate-large/final-4585-champion-1,calibrate-large,budget,,
36,champion,True,181,6820881.801948147,,,False,,,,,,297,0.539872,15.024295,36,20.872310503851622,10,2,final-4585,evidence/calibrate-large/final-4585-champion-2,calibrate-large,budget,,
7,champion,False,0,360836.357478809,,,True,,,,,,53,0.659164,0.135039,7,0.7710448992438614,0,0,dubrovnik-88,evidence/collapse-diagnostic/dubrovnik-88-champion-0,collapse-diagnostic,target,362535.1656903924,0.13178921
7,champion,False,0,360836.3600090239,,,True,,,,,,53,0.659164,0.129693,7,0.7660696068778634,0,1,dubrovnik-88,evidence/collapse-diagnostic/dubrovnik-88-champion-1,collapse-diagnostic,target,362535.1656903924,0.126621807
7,champion,False,0,360836.3581414486,,,True,,,,,,53,0.659164,0.122769,7,0.7154787848703563,0,2,dubrovnik-88,evidence/collapse-diagnostic/dubrovnik-88-champion-2,collapse-diagnostic,target,362535.1656903924,0.119710925
6,menu_feedback,False,51,362144.1769424064,,,True,0,True,398,0.373971059,7,398,0.657547,0.439706,6,1.0675260950811207,1,0,dubrovnik-88,evidence/collapse-diagnostic/dubrovnik-88-menu_feedback-0,collapse-diagnostic,target,362535.1656903924,0.436760438
