scene,capture_rep,role,arm,repetitions,cost,true_decrease,rho,Dfull,Dcamera,Dpoint,Dcross,point_error_absolute,point_error_top200_fraction,flings,max_point_displacement,full_scaled_normal_relative,point_whitened_relative,point_global_backward
venice-52,0,primary,eta2,1,246358.47756448478,0.5470178141759534,0.7867332076030937,0.1482850011742834,0.16556277487557267,-0.0004583669472319568,-0.016819406754057315,0.0005004819127165327,0.995222141883042,3,5281.815465296629,0.22530754437490927,7.833804810186203e-06,1.0025967040316454e-06
venice-52,0,primary,exact,3,246323.5146054331,35.5099768658506,0.969350099898607,1.122790665266285,903.2068712801255,-281.67664698543336,-620.4074336294259,285.80341514359566,0.09559984720158225,3,5164.182657718668,3.28080515203199e-06,1.6159516717952754e-06,4.5508594314858587e-07
venice-52,0,primary,exact_clip,3,246323.5146054331,35.5099768658506,0.969350099898607,1.122790665266285,903.2068712801255,-281.67664698543336,-620.4074336294259,285.80341514359566,0.09559984720158225,3,5164.182657718668,3.28080515203199e-06,1.6159516717952754e-06,4.5508594314858587e-07
venice-52,1,primary,eta2,1,244946.81203851572,0.02701441073856298,0.3829620135413328,0.04352629508433272,0.046558587217127335,0.0002929549102231166,-0.003325247043017734,0.0005070001272892111,0.9997760472135225,4,106261.57721179405,0.7828240669970661,1.5900795235840114e-05,5.0180204323537054e-08
venice-52,1,primary,exact,3,244966.88483514515,-20.04578221867263,-45.10520385031484,20.49020504591882,8.369753544461707,0.020798175406983508,12.09965332605013,0.2002970856239935,0.08714361540667785,4,106306.79829881385,1.313416856744944e-10,1.0209729854656744e-10,1.664577260448568e-13
venice-52,1,primary,exact_clip,3,244946.80419075678,0.03486216969649976,0.427939391128429,0.046603034066519236,0.005472775359944583,0.00042393018265532835,0.040706328523919325,0.00259362940648347,0.319635136606041,4,106268.06881001873,0.7631401899345723,1.0207543856016735e-10,4.891120714411978e-13
venice-52,2,primary,eta2,1,246402.73781490396,0.9569207746244306,0.7080545176944123,0.39455817326842896,0.40771345682932103,-0.00015147223959617763,-0.013003811321295855,0.00018315350748272354,0.9941441581847799,4,4073.1958173781554,0.10758823160420856,5.474246294712086e-06,4.8653445523933466e-08
venice-52,2,primary,exact,3,246402.3954976318,1.299238046766545,0.7918768079007449,0.3414692372500284,-0.6061686927602701,-0.12665226324224074,1.0742901932525393,0.2849199256980301,0.2243450058550455,4,4114.637065261268,2.9546632843350824e-07,1.967702085910576e-07,1.6794019386974606e-08
venice-52,2,primary,exact_clip,3,246402.3954976318,1.299238046766545,0.7918768079007449,0.3414692372500284,-0.6061686927602701,-0.12665226324224074,1.0742901932525393,0.2849199256980301,0.2243450058550455,4,4114.637065261268,2.9546632843350824e-07,1.967702085910576e-07,1.6794019386974606e-08
final-3068,0,primary,eta2,1,1831858.8176358358,0.20035071355197678,0.5860410242615259,0.14152076857581447,0.1417778660433991,2.6262640146305744e-07,-0.0002573600939860854,3.284605467886765e-07,0.8051939162496772,0,3.1230578903812886e-06,0.974486705776717,2.5929307879599887e-10,4.348228479235272e-07
