scene,capture_rep,camera_direction,chart,repetitions,successful_diagnostics,score_init_checks_pass,score_init_median,score_init_range,cost_median,cost_range,true_decrease_median,true_decrease_range,prediction_median,prediction_range,rho_median,rho_range,cost_delta_pct_vs_euclidean_median,cost_delta_pct_vs_euclidean_range,point_equation_relative_residual_median,point_equation_relative_residual_range,maximum_point_displacement_median,maximum_point_displacement_range,fling_count_median,fling_count_range,assembly_and_setup_seconds_median,assembly_and_setup_seconds_range,linear_solve_seconds_median,linear_solve_seconds_range,scoring_and_diagnostics_seconds_median,scoring_and_diagnostics_seconds_range,cpu_total_seconds_median,cpu_total_seconds_range
venice-52,0,eta2,euclidean,3,3,True,246359.02458229894,"[246359.02458229894, 246359.02458229894]",246358.4775644654,"[246358.4775644654, 246358.4775644654]",0.5470178335390585,"[0.5470178335390585, 0.5470178335390585]",0.6953028956323882,"[0.6953028956323882, 0.6953028956323882]",0.7867331446125184,"[0.7867331446125184, 0.7867331446125184]",0.0,"[0.0, 0.0]",3.1291236656919183e-12,"[3.1291236656919183e-12, 3.1291236656919183e-12]",5281.790928478883,"[5281.790928478883, 5281.790928478883]",3,"[3, 3]",0.19717166433110833,"[0.1723248977214098, 0.21268135169520974]",0.008418034762144089,"[0.008411785122007132, 0.008512386120855808]",0.37430005380883813,"[0.37221263302490115, 0.3846528702415526]",0.5798897529020905,"[0.5529493158683181, 0.6058466080576181]"
venice-52,0,eta2,homogeneous,3,3,True,246359.02458229888,"[246359.02458229888, 246359.02458229888]",243945.37261243293,"[243945.37261243293, 243945.37261243293]",2413.6519698659426,"[2413.6519698659426, 2413.6519698659426]",2584.6327025594956,"[2584.6327025594956, 2584.6327025594956]",0.9338471835769024,"[0.9338471835769024, 0.9338471835769024]",-0.9795096056319119,"[-0.9795096056319119, -0.9795096056319119]",1.2803347325521432e-12,"[1.2803347325521432e-12, 1.2803347325521432e-12]",1618011.9110652148,"[1618011.9110652148, 1618011.9110652148]",9,"[9, 9]",0.204690916929394,"[0.1999908466823399, 0.20699181919917464]",0.009046226274222136,"[0.008999186102300882, 0.00905192457139492]",0.38964019250124693,"[0.38666689209640026, 0.3901833640411496]",0.6039205072447658,"[0.5957096633501351, 0.6056311978027225]"
venice-52,0,eta2,inverse_depth,3,3,True,246359.02458229905,"[246359.02458229905, 246359.02458229905]",243808.66244232678,"[243808.66244232678, 243808.66244232678]",2550.36213997227,"[2550.36213997227, 2550.36213997227]",2596.1648703004957,"[2596.1648703004957, 2596.1648703004957]",0.9823575417523757,"[0.9823575417523757, 0.9823575417523757]",-1.0350019805879795,"[-1.0350019805879795, -1.0350019805879795]",1.2967984309750179e-16,"[1.2967984309750179e-16, 1.2967984309750179e-16]",1618012.384355938,"[1618012.384355938, 1618012.384355938]",9,"[9, 9]",0.19041775912046432,"[0.17835800210013986, 0.19118848768994212]",0.008715564850717783,"[0.008694585878401995, 0.008745244704186916]",0.40025757160037756,"[0.38996629416942596, 0.4015700211748481]",0.6001406451687217,"[0.5770695409737527, 0.6007033451460302]"
venice-52,0,exact_clip,euclidean,3,3,True,246359.02458229894,"[246359.02458229894, 246359.02458229894]",246323.51460543452,"[246323.51460543452, 246323.51460543452]",35.50997686441768,"[35.50997686441768, 35.50997686441768]",36.63276753112018,"[36.63276753112018, 36.63276753112018]",0.969350099859404,"[0.969350099859404, 0.969350099859404]",0.0,"[0.0, 0.0]",1.8191302261670288e-16,"[1.8191302261670288e-16, 1.8191302261670288e-16]",5164.182653612856,"[5164.182653612856, 5164.182653612856]",3,"[3, 3]",0.19600419187918305,"[0.19511513132601976, 0.19886480504646897]",0.008435096126049757,"[0.00841859495267272, 0.008435485884547234]",0.37345149274915457,"[0.3730444433167577, 0.37428071396425366]",0.5774837313219905,"[0.5770021099597216, 0.5815641139633954]"
venice-52,0,exact_clip,homogeneous,3,3,True,246359.02458229888,"[246359.02458229888, 246359.02458229888]",243915.09033533023,"[243915.09033533023, 243915.09033533023]",2443.934246968635,"[2443.934246968635, 2443.934246968635]",2617.131187502336,"[2617.131187502336, 2617.131187502336]",0.9338218346253433,"[0.9338218346253433, 0.9338218346253433]",-0.9777484191723085,"[-0.9777484191723085, -0.9777484191723085]",6.642181876785337e-17,"[6.642181876785337e-17, 6.642181876785337e-17]",1618011.921933374,"[1618011.921933374, 1618011.921933374]",9,"[9, 9]",0.2024956070818007,"[0.20168068585917354, 0.20301977638155222]",0.009018214885145426,"[0.009011965710669756, 0.009021825157105923]",0.3900509341619909,"[0.3882315931841731, 0.39064719481393695]",0.601564756128937,"[0.5989341042004526, 0.6026789369061589]"
venice-52,0,exact_clip,inverse_depth,3,3,True,246359.02458229905,"[246359.02458229905, 246359.02458229905]",243772.93688882643,"[243772.93688882643, 243772.93688882643]",2586.0876934726184,"[2586.0876934726184, 2586.0876934726184]",2628.7155823998382,"[2628.7155823998382, 2628.7155823998382]",0.9837837576599658,"[0.9837837576599658, 0.9837837576599658]",-1.0354584785352894,"[-1.0354584785352894, -1.0354584785352894]",6.070356866516466e-17,"[6.070356866516466e-17, 6.070356866516466e-17]",1618012.395614716,"[1618012.395614716, 1618012.395614716]",9,"[9, 9]",0.17455093981698155,"[0.17382573755457997, 0.19026599870994687]",0.008719604928046465,"[0.00871567614376545, 0.008752034977078438]",0.39801761833950877,"[0.3944532861933112, 0.42829635832458735]",0.5812881630845368,"[0.5769946998916566, 0.6273143920116127]"
venice-52,1,eta2,euclidean,3,3,True,244946.83905292646,"[244946.83905292646, 244946.83905292646]",244946.81203855557,"[244946.81203855557, 244946.81203855557]",0.027014370888963413,"[0.027014370888963413, 0.027014370888963413]",0.07054068281226396,"[0.07054068281226396, 0.07054068281226396]",0.3829615735484033,"[0.3829615735484033, 0.3829615735484033]",0.0,"[0.0, 0.0]",6.23449568371053e-14,"[6.23449568371053e-14, 6.23449568371053e-14]",106261.50191443283,"[106261.50191443283, 106261.50191443283]",4,"[4, 4]",0.191712548956275,"[0.1905626286752522, 0.19210850028321147]",0.008411455899477005,"[0.008396266028285027, 0.008413555100560188]",0.37290136283263564,"[0.37277343310415745, 0.3733441331423819]",0.5734213190153241,"[0.5717496168799698, 0.5734529481269419]"
venice-52,1,eta2,homogeneous,3,3,True,244946.83905292625,"[244946.83905292625, 244946.83905292625]",242641.77540800293,"[242641.77540800293, 242641.77540800293]",2305.0636449233157,"[2305.0636449233157, 2305.0636449233157]",2377.432900575606,"[2377.432900575606, 2377.432900575606]",0.9695599166501109,"[0.9695599166501109, 0.9695599166501109]",-0.9410355706894524,"[-0.9410355706894524, -0.9410355706894524]",8.274516232651038e-13,"[8.274516232651038e-13, 8.274516232651038e-13]",9914628.41580584,"[9914628.41580584, 9914628.41580584]",10,"[10, 10]",0.1964058829471469,"[0.19598968233913183, 0.19676414411514997]",0.00901215523481369,"[0.008995315991342068, 0.009024305734783411]",0.38028301717713475,"[0.38004686683416367, 0.38278856920078397]",0.5858231661841273,"[0.5856842161156237, 0.5878025572746992]"
venice-52,1,eta2,inverse_depth,3,3,True,244946.83905292634,"[244946.83905292634, 244946.83905292634]",242603.70171777034,"[242603.70171777034, 242603.70171777034]",2343.1373351559982,"[2343.1373351559982, 2343.1373351559982]",2377.458889897431,"[2377.458889897431, 2377.458889897431]",0.9855637652086116,"[0.9855637652086116, 0.9855637652086116]",-0.9565792268471762,"[-0.9565792268471762, -0.9565792268471762]",2.8821231616113135e-16,"[2.8821231616113135e-16, 2.8821231616113135e-16]",9914628.959902043,"[9914628.959902043, 9914628.959902043]",10,"[10, 10]",0.1888225181028247,"[0.18881539907306433, 0.18976146914064884]",0.00871182605624199,"[0.008701995015144348, 0.0087144048884511]",0.39499736577272415,"[0.39486629655584693, 0.39768793899565935]",0.5925317099317908,"[0.5923836906440556, 0.5961638130247593]"
venice-52,1,exact_clip,euclidean,3,3,True,244946.83905292646,"[244946.83905292646, 244946.83905292646]",244946.80419075678,"[244946.80419075678, 244946.80419075678]",0.03486216967935718,"[0.03486216967935718, 0.03486216967935718]",0.08146520376150128,"[0.08146520376150128, 0.08146520376150128]",0.4279393909259735,"[0.4279393909259735, 0.4279393909259735]",0.0,"[0.0, 0.0]",2.575817955599447e-16,"[2.575817955599447e-16, 2.575817955599447e-16]",106268.06902951167,"[106268.06902951167, 106268.06902951167]",4,"[4, 4]",0.19153079902753234,"[0.19128440041095018, 0.19169104006141424]",0.008411384653300047,"[0.008382075000554323, 0.008458406198769808]",0.3764991848729551,"[0.3724722727201879, 0.37783790612593293]",0.5764883900992572,"[0.5721680577844381, 0.5779110211879015]"
