scene,capture_rep,camera_direction,repetitions,valid,initial_score_checks,score_init_median,score_init_range,cost_median,cost_range,prediction_median,prediction_range,true_decrease_median,true_decrease_range,rho_median,rho_range,cost_delta_pct_vs_euclidean_median,cost_delta_pct_vs_euclidean_range,cost_delta_pct_vs_plain_id_median,cost_delta_pct_vs_plain_id_range,cost_increase_vs_plain_id_median,cost_increase_vs_plain_id_range,active_point_equation_relative_residual_median,active_point_equation_relative_residual_range,constrained_depth_reaction_norm_median,constrained_depth_reaction_norm_range,fling_count_median,fling_count_range,large_moves_inward_median,large_moves_inward_range,large_moves_outward_median,large_moves_outward_range,frozen_large_moves_inward_median,frozen_large_moves_inward_range,frozen_large_moves_outward_median,frozen_large_moves_outward_range,maximum_point_displacement_median,maximum_point_displacement_range,maximum_old_distance_median,maximum_old_distance_range,maximum_new_distance_median,maximum_new_distance_range,frozen_depth_count_median,frozen_depth_count_range,front_to_behind_observations_median,front_to_behind_observations_range,behind_to_front_observations_median,behind_to_front_observations_range,assembly_and_setup_seconds_median,assembly_and_setup_seconds_range,linear_solve_seconds_median,linear_solve_seconds_range,scoring_and_diagnostics_seconds_median,scoring_and_diagnostics_seconds_range,cpu_candidate_seconds_median,cpu_candidate_seconds_range,cpu_candidate_plus_unamortized_mask_seconds_median,cpu_candidate_plus_unamortized_mask_seconds_range,euclidean_outward_large_control_median,euclidean_outward_large_control_range,plain_id_inward_large_control_median,plain_id_inward_large_control_range,plain_id_outward_large_control_median,plain_id_outward_large_control_range
venice-52,0,eta2,3,3,True,246359.02458229905,"[246359.02458229905, 246359.02458229905]",246358.4926642198,"[246358.4926642198, 246358.4926642198]",0.6806603371569472,"[0.6806603371569472, 0.6806603371569472]",0.5319180792245106,"[0.5319180792245106, 0.5319180792245106]",0.7814735929028586,"[0.7814735929028586, 0.7814735929028586]",6.129179941360974e-06,"[6.129179941360974e-06, 6.129179941360974e-06]",1.0458324968236843,"[1.0458324968236843, 1.0458324968236843]",2549.830221893033,"[2549.830221893033, 2549.830221893033]",1.2954429547895404e-16,"[1.2954429547895404e-16, 1.2954429547895404e-16]",23379.050350666956,"[23379.050350666956, 23379.050350666956]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",2.46648127843238,"[2.46648127843238, 2.46648127843238]",1617946.194701977,"[1617946.194701977, 1617946.194701977]",1617945.8873352522,"[1617945.8873352522, 1617945.8873352522]",504,"[504, 504]",0,"[0, 0]",0,"[0, 0]",0.18587696878239512,"[0.18508079834282398, 0.2071023308672011]",0.008748384658247232,"[0.008716645184904337, 0.008765034843236208]",0.4122982397675514,"[0.41172255016863346, 0.4160291035659611]",0.6068918537348509,"[0.6055517331697047, 0.6318964692763984]",1.9490621257573366,"[1.9477220051921904, 1.9740667412988842]",3,"[3, 3]",9,"[9, 9]",0,"[0, 0]"
venice-52,0,exact_clip,3,3,True,246359.02458229905,"[246359.02458229905, 246359.02458229905]",246325.3173936024,"[246325.3173936024, 246325.3173936024]",35.06718670352965,"[35.06718670352965, 35.06718670352965]",33.70718869664479,"[33.70718869664479, 33.70718869664479]",0.9612173620204335,"[0.9612173620204335, 0.9612173620204335]",0.0007318782255794076,"[0.0007318782255794076, 0.0007318782255794076]",1.0470319377331005,"[1.0470319377331005, 1.0470319377331005]",2552.380504775967,"[2552.380504775967, 2552.380504775967]",6.070356863841156e-17,"[6.070356863841156e-17, 6.070356863841156e-17]",23373.957644334696,"[23373.957644334696, 23373.957644334696]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",270.0849528212482,"[270.0849528212482, 270.0849528212482]",1617946.194701977,"[1617946.194701977, 1617946.194701977]",1617984.5393919966,"[1617984.5393919966, 1617984.5393919966]",504,"[504, 504]",0,"[0, 0]",0,"[0, 0]",0.18498506676405668,"[0.1848249090835452, 0.18553898809477687]",0.008727144915610552,"[0.008692975156009197, 0.008780434727668762]",0.4114563502371311,"[0.4062216663733125, 0.41290171118453145]",0.605134392157197,"[0.5998270101845264, 0.6071678441949189]",1.9473046641796827,"[1.9419972822070122, 1.9493381162174046]",,,,,,
venice-52,1,eta2,3,3,True,244946.83905292634,"[244946.83905292634, 244946.83905292634]",244946.81760277008,"[244946.81760277008, 244946.81760277008]",0.06468588560187075,"[0.06468588560187075, 0.06468588560187075]",0.02145015626304314,"[0.02145015626304314, 0.02145015626304314]",0.331604894382443,"[0.331604894382443, 0.331604894382443]",2.271601107217691e-06,"[2.271601107217691e-06, 2.271601107217691e-06]",0.9658203351429417,"[0.9658203351429417, 0.9658203351429417]",2343.1158849997446,"[2343.1158849997446, 2343.1158849997446]",2.881479861362992e-16,"[2.881479861362992e-16, 2.881479861362992e-16]",23484.054282767567,"[23484.054282767567, 23484.054282767567]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0.18025810543087487,"[0.18025810543087487, 0.18025810543087487]",9914407.513968082,"[9914407.513968082, 9914407.513968082]",9914407.478019211,"[9914407.478019211, 9914407.478019211]",499,"[499, 499]",0,"[0, 0]",0,"[0, 0]",0.18325626570731401,"[0.1677280142903328, 0.18519177800044417]",0.009468946140259504,"[0.00876463484019041, 0.009488956071436405]",0.40153073985129595,"[0.39657348999753594, 0.40485756751149893]",0.5962114739231765,"[0.5730661391280591, 0.5975827793590724]",1.9347682339139283,"[1.911622899118811, 1.9361395393498242]",4,"[4, 4]",10,"[10, 10]",0,"[0, 0]"
venice-52,1,exact_clip,3,3,True,244946.83905292634,"[244946.83905292634, 244946.83905292634]",244946.8097615997,"[244946.8097615997, 244946.8097615997]",0.07560262710146523,"[0.07560262710146523, 0.07560262710146523]",0.029291326649669713,"[0.029291326649669713, 0.029291326649669713]",0.3874379472337414,"[0.3874379472337414, 0.3874379472337414]",2.2743072536357545e-06,"[2.2743072536357545e-06, 2.2743072536357545e-06]",0.9660705199426189,"[0.9660705199426189, 0.9660705199426189]",2343.71696002502,"[2343.71696002502, 2343.71696002502]",5.469396482106648e-17,"[5.469396482106648e-17, 5.469396482106648e-17]",23483.942017446374,"[23483.942017446374, 23483.942017446374]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",10.645760820319076,"[10.645760820319076, 10.645760820319076]",9914407.513968082,"[9914407.513968082, 9914407.513968082]",9914408.248228362,"[9914408.248228362, 9914408.248228362]",499,"[499, 499]",0,"[0, 0]",0,"[0, 0]",0.18474164279177785,"[0.168148975353688, 0.19340651854872704]",0.009471825323998928,"[0.008695134427398443, 0.009477943647652864]",0.4125935882329941,"[0.39581051003187895, 0.4145267098210752]",0.5900239781476557,"[0.5894376980140805, 0.6174111720174551]",1.9285807381384075,"[1.9279944580048323, 1.9559679320082068]",,,,,,
venice-52,2,eta2,3,3,True,246403.6947356787,"[246403.6947356787, 246403.6947356787]",246402.756546614,"[246402.756546614, 246402.756546614]",1.3328965756893008,"[1.3328965756893008, 1.3328965756893008]",0.9381890646947539,"[0.9381890646947539, 0.9381890646947539]",0.7038723647478606,"[0.7038723647478606, 0.7038723647478606]",7.601978713189794e-06,"[7.601978713189794e-06, 7.601978713189794e-06]",1.0516629053149096,"[1.0516629053149096, 1.0516629053149096]",2564.3579865699285,"[2564.3579865699285, 2564.3579865699285]",8.722991459578988e-17,"[8.722991459578988e-17, 8.722991459578988e-17]",23309.26803371592,"[23309.26803371592, 23309.26803371592]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0.469964286176166,"[0.469964286176166, 0.469964286176166]",1550797.4316182556,"[1550797.4316182556, 1550797.4316182556]",1550797.3567929785,"[1550797.3567929785, 1550797.3567929785]",504,"[504, 504]",0,"[0, 0]",0,"[0, 0]",0.167831024620682,"[0.16579351341351867, 0.17679999908432364]",0.008709064219146967,"[0.00870681507512927, 0.008775375317782164]",0.4140752493403852,"[0.39087250689044595, 0.4146885792724788]",0.5885778269730508,"[0.5763793210498989, 0.591294979210943]",1.919382659252733,"[1.907184153329581, 1.9220998114906251]",4,"[4, 4]",9,"[9, 9]",0,"[0, 0]"
venice-52,2,exact_clip,3,3,True,246403.6947356787,"[246403.6947356787, 246403.6947356787]",246402.45162176038,"[246402.45162176038, 246402.45162176038]",1.5858683171697632,"[1.5858683171697632, 1.5858683171697632]",1.243113918314279,"[1.243113918314279, 1.243113918314279]",0.7838695715498091,"[0.7838695715498091, 0.7838695715498091]",2.2777428232423347e-05,"[2.2777428232423347e-05, 2.2777428232423347e-05]",1.0525136221087639,"[1.0525136221087639, 1.0525136221087639]",2566.4075791594805,"[2566.4075791594805, 2566.4075791594805]",7.829049191259908e-17,"[7.829049191259908e-17, 7.829049191259908e-17]",23308.314329666282,"[23308.314329666282, 23308.314329666282]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",64.09470385438289,"[64.09470385438289, 64.09470385438289]",1550797.4316182556,"[1550797.4316182556, 1550797.4316182556]",1550809.52115623,"[1550809.52115623, 1550809.52115623]",504,"[504, 504]",0,"[0, 0]",0,"[0, 0]",0.16570008313283324,"[0.16554409265518188, 0.1661128937266767]",0.008719065226614475,"[0.008697484619915485, 0.008726784028112888]",0.4135711994022131,"[0.4135425891727209, 0.4143503298982978]",0.5883822669275105,"[0.5879687671549618, 0.5886134877800941]",1.9191870992071927,"[1.918773599434644, 1.9194183200597763]",,,,,,
final-3068,0,eta2,3,3,True,1831859.0179865428,"[1831859.0179865428, 1831859.0179865428]",1831858.8162881602,"[1831858.8162881602, 1831858.8162881602]",0.34267786670774886,"[0.34267786670774886, 0.34267786670774886]",0.20169838261699624,"[0.20169838261699624, 0.20169838261699624]",0.5885947188675997,"[0.5885947188675997, 0.5885947188675997]",-7.356875109110206e-08,"[-7.356875109110206e-08, -7.356875109110206e-08]",1.7939572272140936e-06,"[1.7939572272140936e-06, 1.7939572272140936e-06]",0.03286276292055845,"[0.03286276292055845, 0.03286276292055845]",1.5019123723959615e-19,"[1.5019123723959615e-19, 1.5019123723959615e-19]",4627.97289501885,"[4627.97289501885, 4627.97289501885]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",1.5931124338897892e-05,"[1.5931124338897892e-05, 1.5931124338897892e-05]",8957.953244448581,"[8957.953244448581, 8957.953244448581]",8957.953244505714,"[8957.953244505714, 8957.953244505714]",7460,"[7460, 7460]",0,"[0, 0]",0,"[0, 0]",0.9930532621219754,"[0.9591339146718383, 1.0055933590047061]",0.04120006086304784,"[0.0411969400011003, 0.04225970106199384]",1.9721286967396736,"[1.9570950702764094, 1.9763043886050582]",3.006382019724697,"[2.9584886860102415, 3.0230946876108646]",9.598312742542475,"[9.55041940882802, 9.615025410428643]",,,,,,
final-3068,0,exact_clip,3,3,True,1831859.0179865428,"[1831859.0179865428, 1831859.0179865428]",1831858.8162881606,"[1831858.8162881606, 1831858.8162881606]",0.3426778667078112,"[0.3426778667078112, 0.3426778667078112]",0.20169838214007996,"[0.20169838214007996, 0.20169838214007996]",0.5885947174757591,"[0.5885947174757591, 0.5885947174757591]",-7.356875109110206e-08,"[-7.356875109110206e-08, -7.356875109110206e-08]",1.7939572272140936e-06,"[1.7939572272140936e-06, 1.7939572272140936e-06]",0.03286276292055845,"[0.03286276292055845, 0.03286276292055845]",8.417666623582661e-20,"[8.417666623582661e-20, 8.417666623582661e-20]",4627.972895018853,"[4627.972895018853, 4627.972895018853]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",1.5931124338897892e-05,"[1.5931124338897892e-05, 1.5931124338897892e-05]",8957.953244448581,"[8957.953244448581, 8957.953244448581]",8957.953244505714,"[8957.953244505714, 8957.953244505714]",7460,"[7460, 7460]",0,"[0, 0]",0,"[0, 0]",1.0009424765594304,"[0.9991441550664604, 1.0057599884457886]",0.0411092909052968,"[0.04105865070596337, 0.041142900474369526]",1.9467847137711942,"[1.9204839412122965, 1.9646988129243255]",2.9936539931222796,"[2.9606867469847202, 3.0067841899581254]",9.585584715940058,"[9.552617469802499, 9.598714912775904]",,,,,,
final-3068,5,eta2,3,3,True,1866085.436040582,"[1866085.436040582, 1866085.436040582]",1866190.0634620504,"[1866190.0634620504, 1866190.0634620504]",148.76860376567333,"[148.76860376567333, 148.76860376567333]",-104.62742146839764,"[-104.62742146839764, -104.62742146839764]",-0.7032896647547836,"[-0.7032896647547836, -0.7032896647547836]",0.0064249939424776414,"[0.0064249939424776414, 0.0064249939424776414]",0.0006273105902954157,"[0.0006273105902954157, 0.0006273105902954157]",11.706734465667978,"[11.706734465667978, 11.706734465667978]",2.0424008804976155e-16,"[2.0424008804976155e-16, 2.0424008804976155e-16]",5052.36575516809,"[5052.36575516809, 5052.36575516809]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0.02454298873375135,"[0.02454298873375135, 0.02454298873375135]",85915.55467437829,"[85915.55467437829, 85915.55467437829]",85915.55464683617,"[85915.55464683617, 85915.55464683617]",7547,"[7547, 7547]",0,"[0, 0]",0,"[0, 0]",0.9674619482830167,"[0.9612469570711255, 0.9696895112283528]",0.041363149881362915,"[0.04113317979499698, 0.0418243114836514]",1.953731708228588,"[1.9517709971405566, 1.991453186608851]",2.963017967995256,"[2.954151134006679, 3.0025058477185667]",9.510260918177664,"[9.501394084189087, 9.549748797900975]",,,,,,
final-3068,5,exact_clip,3,3,True,1866085.436040582,"[1866085.436040582, 1866085.436040582]",1866190.039745578,"[1866190.039745578, 1866190.039745578]",148.76986227474427,"[148.76986227474427, 148.76986227474427]",-104.60370499625947,"[-104.60370499625947, -104.60370499625947]",-0.7031242981396333,"[-0.7031242981396333, -0.7031242981396333]",0.006424282651207314,"[0.006424282651207314, 0.006424282651207314]",0.0006273106124776717,"[0.0006273106124776717, 0.0006273106124776717]",11.706734730862081,"[11.706734730862081, 11.706734730862081]",1.412613526053655e-17,"[1.412613526053655e-17, 1.412613526053655e-17]",5052.365642915546,"[5052.365642915546, 5052.365642915546]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0.024542989564257406,"[0.024542989564257406, 0.024542989564257406]",85915.55467437829,"[85915.55467437829, 85915.55467437829]",85915.55464683136,"[85915.55464683136, 85915.55464683136]",7547,"[7547, 7547]",0,"[0, 0]",0,"[0, 0]",0.9566832440905273,"[0.9550341828726232, 0.9681435585953295]",0.04113622149452567,"[0.04107583127915859, 0.04115144116804004]",1.9530501067638397,"[1.9507749155163765, 1.9561203490011394]",2.950884792022407,"[2.9468849296681583, 2.9654001290909946]",9.498127742204815,"[9.494127879850566, 9.512643079273403]",,,,,,
