# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357392,0.0000
1,2170136.3176783496,0.0123
2,869806.2790742533,0.0248
3,567418.6040721685,0.0416
4,400594.1646215615,0.0506
5,371447.4905177252,0.0656
6,362562.8273560584,0.0746
7,360836.3557974484,0.1030
8,359913.9798068914,0.1274
9,359383.4634896055,0.1391
10,359237.6629890371,0.1508
11,359180.9020594375,0.1625
12,359163.6017795019,0.1742
13,358999.5881588927,0.1831
14,358972.0692019443,0.1921
15,358959.9838778079,0.2039
16,358957.8395741408,0.2158
17,358951.5715932601,0.2328
18,358949.3419526829,0.2418
19,358948.7150220387,0.2534
20,358948.3700645322,0.2651
21,358948.0750066217,0.2769
22,358947.7902939246,0.2886
23,358947.5227640775,0.3003
24,358947.2553863706,0.3120
25,358946.9960984619,0.3236
26,358946.6887311302,0.3325
27,358946.3731679875,0.3415
28,358946.0566124194,0.3505
29,358945.7665463040,0.3595
30,358945.4529150311,0.3685
31,358945.1375211158,0.3775
32,358944.8202188193,0.3865
33,358944.6364056660,0.3955
