# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357281,0.0000
1,2170136.3176783496,0.0121
2,869806.2790742534,0.0245
3,567418.6040721691,0.0412
4,400594.1646215619,0.0503
5,371447.4905175767,0.0654
6,362562.8273576709,0.0744
7,360836.3575746420,0.1027
8,359914.6887421732,0.1273
9,359384.1832639192,0.1390
10,359238.5295521392,0.1507
11,359181.7698637675,0.1624
12,359164.5155002414,0.1741
13,358998.2694460844,0.1832
14,358973.1342970707,0.1922
15,358961.0464854754,0.2039
16,358958.9074389273,0.2158
17,358952.6092082826,0.2329
18,358950.4215927277,0.2419
19,358949.8006262934,0.2536
20,358949.4551802473,0.2653
21,358949.1594935470,0.2770
22,358948.8707847755,0.2887
23,358948.6010081025,0.3004
24,358948.3360511215,0.3121
25,358948.0750588161,0.3237
26,358947.7570295344,0.3328
27,358947.4438247641,0.3418
28,358947.1299632396,0.3509
29,358946.8169043693,0.3599
30,358946.4991599857,0.3689
31,358946.1841798365,0.3779
32,358945.8721486237,0.3869
33,358945.5450153513,0.3959
