# algo=mfree_shifted_cg problem=/tmp/prism-ba-coarse/research/eta2_research_20260912/build/toy.txt
iter,cost,wall_s
0,364516.1939040979,0.0000
1,167426.0087884042,0.0294
2,48026.4097767088,0.0366
3,8122.1373484880,0.0438
4,743.0192049420,0.0524
5,89.9997075061,0.0609
6,6.6562781086,0.0666
7,3.2680703173,0.0766
8,3.1722010191,0.0977
9,3.1110410735,0.1034
10,3.0679535864,0.1269
11,3.0012298954,0.1455
12,2.9561522241,0.1642
13,2.9234852410,0.1827
14,2.8947245846,0.2012
15,2.7903276608,0.2099
16,2.7726995740,0.2282
17,2.7211897120,0.2339
18,2.6943520956,0.2520
19,2.6743034727,0.2701
20,2.6608350000,0.2772
21,2.6450066698,0.2939
22,2.6396518583,0.2996
23,2.6327547040,0.3223
24,2.6232666427,0.3389
25,2.6156685503,0.3447
26,2.6130162111,0.3672
27,2.6081430043,0.3854
28,2.6050053209,0.3912
29,2.6039180425,0.4138
30,2.6029407668,0.4522
31,2.6025486452,0.4753
32,2.6025473226,0.5382
33,2.6025229552,0.5730
34,2.6025222258,0.5962
35,2.6025185066,0.6338
36,2.6025155926,0.6685
37,2.6025119472,0.7074
38,2.6025091370,0.7456
39,2.6025054737,0.7845
40,2.6025026446,0.8191
41,2.6024989847,0.8579
42,2.6024961619,0.8925
43,2.6024925025,0.9314
44,2.6024896853,0.9658
45,2.6024860260,1.0046
46,2.6024832113,1.0391
47,2.6024795496,1.0779
