# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783500,0.0123
2,869806.2790742528,0.0247
3,567418.6040721693,0.0414
4,400594.1646215608,0.0504
5,371447.4905176731,0.0654
6,362562.8273564451,0.0744
7,360836.3551944991,0.1027
8,359914.5941342928,0.1273
9,359384.0487934833,0.1390
10,359238.3381227353,0.1508
11,359181.5787393522,0.1625
12,359164.2977851432,0.1743
13,358998.8793165836,0.1834
14,358972.7902354500,0.1924
15,358960.7284529272,0.2042
16,358958.6007816729,0.2162
17,358952.3167843861,0.2333
18,358950.1621628943,0.2424
19,358949.5259904737,0.2541
20,358949.1781557006,0.2660
21,358948.8821158799,0.2777
22,358948.5965634266,0.2894
23,358948.3282732035,0.3012
24,358948.0634530385,0.3129
25,358947.7403989077,0.3220
26,358947.6309001645,0.3411
27,358947.5700426683,0.3502
28,358947.4568145808,0.3593
29,358947.2532907889,0.3683
30,358946.9386192756,0.3773
31,358946.6243281781,0.3863
32,358946.3104461182,0.3954
33,358945.9969681290,0.4044
