# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357392,0.0000
1,2170136.3176783547,0.0121
2,869806.2790742532,0.0246
3,567418.6040721688,0.0412
4,400594.1646215611,0.0502
5,371447.4905175220,0.0652
6,362562.8273451238,0.0741
7,360836.3599319143,0.1022
8,359914.8634887396,0.1265
9,359384.4949094423,0.1382
10,359238.9115672182,0.1498
11,359182.1644504379,0.1615
12,359164.9276038672,0.1731
13,359001.2776412264,0.1822
14,358973.8003300292,0.1911
15,358961.6524607089,0.2028
16,358959.5133927207,0.2147
17,358953.1923233533,0.2316
18,358950.9969601250,0.2406
19,358950.3839103599,0.2523
20,358950.0398171426,0.2640
21,358949.7444461491,0.2757
22,358949.4620708918,0.2874
23,358949.1901078332,0.2991
24,358948.9244122772,0.3108
25,358948.6632193290,0.3224
26,358948.3485927351,0.3314
27,358948.0351152536,0.3404
28,358947.7203108059,0.3494
29,358947.4026572400,0.3583
30,358947.0901516693,0.3673
31,358946.7762502154,0.3762
32,358946.7412616322,0.3903
33,358946.5740960721,0.4043
