# algo=mfree_shifted_cg problem=/tmp/prism-ba-coarse/research/eta2_research_20260912/build/toy.txt
iter,cost,wall_s
0,364516.1939040979,0.0000
1,167426.0087884042,0.0298
2,48026.4097767088,0.0371
3,8122.1373484880,0.0444
4,743.0192049420,0.0531
5,89.9997075061,0.0618
6,6.6562781086,0.0676
7,3.2680703173,0.0778
8,3.1722010191,0.0991
9,3.1110410735,0.1048
10,3.0679535864,0.1287
11,3.0012298954,0.1477
12,2.9561522241,0.1665
13,2.9234852411,0.1854
14,2.8947245850,0.2043
15,2.7903276618,0.2130
16,2.7726839882,0.2317
17,2.7211958639,0.2376
18,2.6943572348,0.2562
19,2.6743077420,0.2746
20,2.6608390386,0.2819
21,2.6450098930,0.2988
22,2.6396550601,0.3046
23,2.6327577993,0.3276
24,2.6232685582,0.3446
25,2.6156705295,0.3503
26,2.6130285065,0.3733
27,2.6081454390,0.3918
28,2.6050065804,0.3976
29,2.6039196224,0.4205
30,2.6029407838,0.4381
31,2.6025485905,0.4438
32,2.6025472660,0.4723
33,2.6025228255,0.4899
34,2.6025220915,0.4957
35,2.6025183727,0.5159
36,2.6025154578,0.5333
37,2.6025118089,0.5550
38,2.6025089982,0.5724
39,2.6025053379,0.5941
40,2.6025025106,0.6115
41,2.6024988561,0.6332
42,2.6024960391,0.6505
43,2.6024923786,0.6722
44,2.6024895590,0.6896
45,2.6024858980,0.7113
46,2.6024830847,0.7340
47,2.6024794261,0.7558
47,2.6024794212,0.7642
48,2.6024766140,0.7816
49,2.6024729506,0.8034
50,2.6024701392,0.8208
51,2.6024664802,0.8426
52,2.6024636779,0.8598
53,2.6024600180,0.8816
54,2.6024572192,0.8990
55,2.6024535598,0.9206
