# algo=mfree_shifted_cg problem=/tmp/prism-ba-coarse/research/eta2_research_20260912/build/toy.txt
iter,cost,wall_s
0,364516.1939040979,0.0000
1,167426.0087884042,0.0056
2,48026.4097767088,0.0063
3,8122.1373484880,0.0069
4,743.0192049420,0.0077
5,89.9997075061,0.0085
6,6.6562781086,0.0090
7,3.2680703173,0.0099
8,3.1722010191,0.0116
9,3.1110410735,0.0121
10,3.0679535864,0.0142
11,3.0012298954,0.0158
12,2.9561522241,0.0174
13,2.9234852412,0.0190
14,2.8947229930,0.0206
15,2.7903292368,0.0213
16,2.7727339281,0.0229
17,2.7211778201,0.0235
18,2.6943421899,0.0250
19,2.6742953614,0.0266
20,2.6608271620,0.0272
21,2.6450005019,0.0287
22,2.6396457022,0.0292
23,2.6327471242,0.0311
24,2.6232623789,0.0325
25,2.6156655634,0.0331
26,2.6130172018,0.0350
27,2.6081411397,0.0366
28,2.6050051425,0.0371
29,2.6039178978,0.0390
30,2.6029413516,0.0404
31,2.6025485652,0.0410
32,2.6025431030,0.0428
33,2.6025044428,0.0442
34,2.6025014433,0.0458
35,2.6024978049,0.0476
36,2.6024950116,0.0490
37,2.6024913485,0.0508
38,2.6024885230,0.0523
39,2.6024848659,0.0541
40,2.6024820542,0.0555
41,2.6024783957,0.0573
42,2.6024755842,0.0588
43,2.6024719229,0.0606
44,2.6024691144,0.0620
45,2.6024654541,0.0638
46,2.6024626496,0.0653
47,2.6024589874,0.0670
48,2.6024561859,0.0685
49,2.6024525252,0.0703
49,2.6024525203,0.0709
50,2.6024497255,0.0723
51,2.6024460673,0.0741
52,2.6024432759,0.0756
53,2.6024396150,0.0774
54,2.6024368255,0.0788
55,2.6024331620,0.0806
56,2.6024303748,0.0821
57,2.6024267149,0.0839
