# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322520,0.0394
2,3723398.1420859923,0.0888
3,2649101.3772307583,0.1538
4,2222822.2595935580,0.1892
5,2043410.2440755609,0.2388
6,2002353.4187104641,0.3076
7,1975169.5785182992,0.3696
8,1974600.6889045937,0.4211
9,1973787.1581637210,0.4726
10,1973210.9062425978,0.5241
11,1955731.8178829143,0.5756
12,1955185.4028277211,0.6272
13,1955047.7896055100,0.6806
14,1954678.5256520365,0.7341
15,1953938.0300750614,0.8251
16,1953527.3414583532,0.8785
17,1907439.4384001847,0.9261
18,1898753.3288759028,0.9729
19,1898329.3726457844,1.0205
20,1898047.3759672537,1.0681
21,1897835.1838453014,1.1157
22,1897634.2067893113,1.1634
23,1897431.2950531698,1.2110
24,1897225.5646132857,1.2586
25,1897018.1300444324,1.3063
26,1896806.1657245117,1.3539
27,1896591.8276122881,1.4016
28,1896374.2672015897,1.4491
29,1896155.2207088838,1.4968
30,1895932.5335675464,1.5444
31,1895705.6081548315,1.5921
32,1895476.7531466025,1.6397
33,1895244.7466848723,1.6873
34,1895009.1384676949,1.7350
35,1894772.0737203164,1.7826
36,1894529.5519003887,1.8302
37,1894283.9039197867,1.8779
38,1894033.6181735392,1.9255
39,1893780.8383273024,1.9732
40,1893525.3709144564,2.0208
41,1893266.8264984018,2.0685
42,1893006.3092004333,2.1161
43,1892742.3580514505,2.1638
44,1892474.5801854753,2.2114
45,1892197.7231424947,2.2590
46,1891915.3246883058,2.3066
47,1891629.8696016951,2.3543
48,1891381.0232824103,2.4029
49,1890072.4915245543,2.4614
50,1889094.4063993539,2.5080
51,1888025.2591945694,2.5557
52,1883005.9314000877,2.6201
53,1878134.2964643515,2.6695
54,1871126.6161268707,2.7191
55,1855229.2663918901,2.7773
56,1845457.9998518510,2.8385
57,1838428.8276176057,2.9048
58,1831448.0772154999,2.9515
59,1823723.8230105017,2.9996
60,1812571.6005190092,3.0593
61,1798776.7333812939,3.1599
62,1786180.8071875451,3.2397
63,1783208.3513174381,3.2907
64,1768595.3549220122,3.3245
65,1762362.5688422211,3.3611
66,1757838.9539643195,3.4093
67,1754174.5441095359,3.4559
68,1753775.4837330750,3.5026
69,1749403.2186343167,3.5364
70,1746371.0008375361,3.5817
71,1738552.1263418195,3.6701
