# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322455,0.0393
2,3723398.1420859983,0.0855
3,2649101.3772307900,0.1450
4,2222822.2595973182,0.1789
5,2043410.2473312069,0.2284
6,2002353.0378989601,0.2970
7,1973539.2149366266,0.3591
8,1973254.9722790995,0.4115
9,1972719.2573375669,0.4978
10,1972621.1578378936,0.5783
11,1966813.0813561471,0.6585
12,1955649.8246476501,0.7336
13,1952636.0134794931,0.8144
14,1951447.0033446075,0.8956
15,1950460.1612113917,0.9748
16,1902460.3624741640,1.0485
17,1894444.5270018217,1.1223
18,1894281.6278600767,1.1971
19,1893932.2379655384,1.2722
20,1893676.3119104356,1.3469
21,1893418.9216276535,1.4218
22,1892819.7488761060,1.4999
23,1892112.0198600234,1.5770
24,1891159.2213466272,1.6923
25,1890361.1955797304,1.7674
26,1889686.9306437857,1.8426
27,1887134.7586800160,1.9484
28,1884445.9865075615,2.0254
29,1880599.7470682282,2.1022
30,1873361.3310103975,2.1793
31,1860661.5472389988,2.2589
32,1855708.8609617252,2.3458
33,1855514.3826813931,2.4223
34,1849441.7173663417,2.4959
35,1834873.2249720956,2.6821
36,1822075.4693441670,2.8015
37,1821942.2073736545,2.8783
38,1818406.9477803512,2.9526
39,1811354.1880895351,3.0468
40,1801820.6057609676,3.1476
41,1801254.7555536681,3.2233
42,1800782.9165192374,3.3008
43,1800366.3772456720,3.3765
44,1799975.1062986071,3.4520
45,1799586.4606381520,3.5276
46,1799184.0672662230,3.6038
47,1798756.7409772901,3.6794
48,1798297.7637081246,3.7550
49,1794016.3390939666,3.8744
50,1783433.6051101962,4.0055
51,1770383.0015004105,4.1668
52,1759721.0876784141,4.3320
53,1756083.7020305747,4.4239
54,1751575.9823397775,4.4977
55,1748000.8233175380,4.5714
56,1746069.5777538046,4.6637
57,1739501.1069363414,4.7246
