# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776587,0.0120
2,1506203.5600746695,0.0247
3,1127133.1806397128,0.0392
4,820037.3684094213,0.0527
5,497540.1090282343,0.0690
6,373473.4894702412,0.0862
7,312813.0364333691,0.1123
8,285659.0914412918,0.1285
9,271070.7209803064,0.1405
10,265559.8216403837,0.1534
11,262360.0455120266,0.1662
12,258725.3763974431,0.1778
13,257432.6642367290,0.1894
14,255126.7744985564,0.1983
15,253915.1166204287,0.2072
16,253204.6733047157,0.2162
17,252796.1598267472,0.2251
18,252186.4560917183,0.2341
19,251721.1244229995,0.2430
20,251342.4246051419,0.2520
21,251032.8124209176,0.2609
22,250775.3967887068,0.2699
23,250558.2754646052,0.2788
24,250372.8385819243,0.2877
25,250212.7017667246,0.2967
26,250073.0114950852,0.3056
27,249949.9909938585,0.3145
28,249840.7953620740,0.3234
29,249743.2044887585,0.3324
30,249358.7436137969,0.3413
31,249197.5731258863,0.3503
32,249057.6209271893,0.3592
33,248935.1799612379,0.3682
34,248826.8604384244,0.3771
35,248730.0222332063,0.3861
36,248642.5979606541,0.3950
37,248562.9587663550,0.4040
38,248419.8093211536,0.4138
39,248405.4233332061,0.4264
40,248402.0704529045,0.4391
41,248377.6455367515,0.4480
42,248354.7518557581,0.4570
43,248332.5004804035,0.4659
44,248310.8517325000,0.4749
45,248289.7693142845,0.4838
46,248269.2192053420,0.4927
47,248249.1695879391,0.5017
48,248229.5906354102,0.5106
49,248210.4544674864,0.5195
50,248175.1555526812,0.5294
51,248168.7237149120,0.5419
52,248163.7059578706,0.5561
53,248085.9002013885,0.5650
54,247982.9679965050,0.5749
55,247967.0802878704,0.5848
56,247904.9918125482,0.5989
57,247797.4233938587,0.6088
58,247781.9216953170,0.6186
59,247731.6788543068,0.6329
60,247613.3708541090,0.6427
61,247568.6509222153,0.6526
62,247562.2433070520,0.6642
63,247557.4088242064,0.6758
64,247553.0155755748,0.6873
65,247548.7077255411,0.6990
66,247544.3754844176,0.7106
67,247539.9829806252,0.7222
68,247535.5162726460,0.7337
69,247530.9679372626,0.7453
70,247526.3325174922,0.7569
71,247521.6057591655,0.7686
72,247516.7837335969,0.7801
73,247511.8632929810,0.7917
74,247506.8419311868,0.8033
75,247501.7171699275,0.8149
76,247496.4866837258,0.8266
77,247491.1487515529,0.8381
78,247485.7020687074,0.8497
79,247480.1455154697,0.8613
80,247474.4784322906,0.8729
81,247468.7006089039,0.8845
82,247462.8120922309,0.8961
83,247456.8134770047,0.9077
84,247450.7055093857,0.9193
85,247444.4895115231,0.9309
86,247438.1672969018,0.9425
87,247431.7404720274,0.9541
88,247425.2113580673,0.9657
89,247418.5824928259,0.9773
90,247347.0652157055,0.9915
91,247192.5757903217,1.0014
92,247099.5996140962,1.0112
93,247097.4839645086,1.0230
94,247095.2999023174,1.0348
95,247093.0322837442,1.0466
96,247090.6693847646,1.0584
97,247088.2048897819,1.0703
98,247085.6324150779,1.0820
99,247082.9482010689,1.0938
100,247080.1483161214,1.1056
101,247077.2287887619,1.1174
102,247074.1877740187,1.1293
103,247071.0239155791,1.1411
104,247067.7376931272,1.1529
105,247064.3292115088,1.1647
106,247060.7977233337,1.1765
107,247057.1452181255,1.1884
108,247053.3731651197,1.2001
109,247049.4834853325,1.2119
110,247045.4796202055,1.2237
111,247041.3653550884,1.2356
112,247037.1431337004,1.2474
113,247032.8162702356,1.2592
114,247028.3892904317,1.2710
115,247023.8662962168,1.2828
116,247019.2511267204,1.2946
117,247014.5485303308,1.3064
118,246904.0724364607,1.3242
119,246759.7652120396,1.3341
120,246730.1453716684,1.3448
121,246724.1647654160,1.3567
122,246718.9005381679,1.3685
123,246714.0727232169,1.3803
124,246709.5175629190,1.3921
125,246705.1381670058,1.4039
126,246700.8792857931,1.4157
127,246696.7071866386,1.4275
128,246692.6022889271,1.4393
129,246688.5530675944,1.4511
130,246684.5528077718,1.4629
131,246680.5973973178,1.4747
132,246676.6856887401,1.4866
133,246672.8154016210,1.4984
134,246668.9869533059,1.5102
135,246665.2012429016,1.5219
136,246661.4582347004,1.5337
137,246657.7576010535,1.5455
138,246654.0993919576,1.5588
139,246650.4835224147,1.5707
140,246646.9097226240,1.5825
141,246643.3775346099,1.5943
142,246639.8864204862,1.6061
143,246636.4357965366,1.6179
144,246633.0241950913,1.6297
145,246629.6507815309,1.6415
146,246626.3142122153,1.6533
147,246623.0130601539,1.6650
148,246585.1095637497,1.6819
149,246444.2809560024,1.6972
150,246420.1554860202,1.7108
151,246389.7462468104,1.7276
152,246365.5427917970,1.8058
153,246359.6819872173,1.8193
154,246359.4375880976,1.8308
155,246354.7950527217,1.8397
156,246330.9047426030,1.9093
157,246330.7696925708,1.9207
158,246329.4922457396,1.9297
159,246320.8743893815,1.9976
160,246320.2567780047,2.0142
161,246317.9837415857,2.0831
162,246317.8553346685,2.0949
163,246317.7343870271,2.1067
164,246317.6179879046,2.1185
165,246317.5040276343,2.1303
166,246317.3909304379,2.1421
167,246317.2774933029,2.1539
168,246316.5831638404,2.1682
169,246316.2787091508,2.2452
170,246316.1455059095,2.2542
171,246316.0885625163,2.2631
172,246315.4377180769,2.2720
173,246315.2474969198,2.2810
174,246315.0989388851,2.2899
175,246314.6584499151,2.3042
