# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776587,0.0120
2,1506203.5600746709,0.0245
3,1127133.1806397103,0.0389
4,820037.3684094354,0.0524
5,497540.1090292393,0.0687
6,373473.4894479188,0.0858
7,312813.0364270530,0.1118
8,285659.1045444844,0.1280
9,271070.7298572990,0.1399
10,265559.8264661368,0.1527
11,262360.0458573536,0.1654
12,258725.3734508964,0.1769
13,257432.7994323136,0.1884
14,255127.4593121665,0.1973
15,253915.8972108376,0.2062
16,253203.9254440260,0.2150
17,252796.0283849457,0.2239
18,252186.4458015570,0.2328
19,251721.1142228310,0.2417
20,251342.4139173735,0.2506
21,251032.8012316350,0.2595
22,250775.3848955895,0.2684
23,250558.2629199363,0.2773
24,249816.4118058569,0.2923
25,249425.2621379199,0.3070
26,249180.2741079772,0.3214
27,249145.3018020662,0.3394
28,249095.9245530393,0.3563
29,249051.9731450264,0.3730
30,249011.5781096811,0.3898
31,248974.2165294244,0.4066
32,248939.6156665076,0.4233
33,248907.6147121907,0.4402
34,248878.1001997583,0.4571
35,248850.8748217743,0.4740
36,248825.9407985384,0.4909
37,248803.1227843419,0.5078
38,248782.2980043460,0.5247
39,248763.4079462581,0.5416
40,248739.0478078104,0.5558
41,248717.4128523016,0.5699
42,248696.6627123189,0.5841
43,248676.7234732669,0.5982
44,248656.9281136231,0.6124
45,248636.9972663535,0.6292
46,248007.1118403823,0.6534
47,247081.8649612008,0.6901
48,246874.9919331186,0.7310
49,246775.5110690402,0.7478
50,246693.5020890096,0.7657
51,246623.7844847582,0.7836
52,246570.6924415836,0.8015
53,246534.3711654304,0.8205
54,246508.8249942279,0.8394
55,246489.1283709740,0.8605
56,246473.3381534427,0.8772
57,246459.5193866684,0.8996
58,246447.7378256038,0.9163
59,246437.1977932158,0.9387
60,246427.9485864676,0.9554
61,246419.5701542989,0.9787
62,246412.0973045845,0.9955
63,246405.3313451948,1.0145
64,246399.1105879140,1.0389
65,246393.4809077139,1.0558
66,246388.3197574890,1.0748
67,246383.5293790110,1.1004
68,246379.1414079696,1.1193
69,246375.0872459920,1.1382
70,246371.2948730680,1.1649
71,246367.7922384068,1.1839
72,246364.5309298432,1.2028
73,246361.4606920499,1.2296
74,246358.6052949897,1.2487
75,246355.9118416132,1.2765
76,246353.3987865830,1.2933
77,246351.0300127381,1.3122
78,246348.7821078975,1.3411
79,246346.6698939174,1.3600
80,246344.6728464183,1.3790
81,246342.7677947489,1.4089
82,246340.9724930541,1.4257
83,246339.2638688260,1.4446
84,246337.6375834494,1.4646
85,246336.0755500795,1.4957
86,246334.5934000111,1.5158
87,246333.1698877357,1.5494
88,246331.8130724055,1.5684
89,246330.5133360838,1.5873
90,246329.2663687781,1.6063
91,246328.0652321370,1.6308
92,246326.9123893247,1.6497
