# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322558,0.0394
2,3723398.1420859955,0.0888
3,2649101.3772308263,0.1535
4,2222822.2596021122,0.1872
5,2043410.2473319499,0.2366
6,2002351.2878323179,0.3050
7,1973347.6319652740,0.3669
8,1973007.7031133249,0.4192
9,1972679.2854680645,0.4714
10,1972141.7183951316,0.5375
11,1971549.2996568200,0.5900
12,1971136.9369030395,0.6424
13,1970502.8947765713,0.6940
14,1938578.5288843545,0.7446
15,1910682.0751107002,0.8508
16,1884665.5457914143,0.9080
17,1877680.0148773743,0.9567
18,1872910.2230764944,1.0053
19,1852516.0477232526,1.0549
20,1851145.1666923671,1.1054
21,1845223.4736409003,1.1896
22,1841016.4119742399,1.2498
23,1839024.4723269844,1.2993
24,1838506.0427478962,1.3509
25,1838408.2113957326,1.4043
26,1836467.0566715780,1.4953
27,1832081.3964399195,1.5775
28,1831927.5965647416,1.6654
29,1831914.4839610064,1.8997
30,1831910.7077998878,1.9877
31,1831900.2890711520,2.0364
32,1831892.7558198073,2.0870
33,1831891.2507846381,2.1404
34,1831885.2581287595,2.2207
35,1831876.8957070643,2.2673
36,1831874.9069663924,2.3141
37,1831870.5391929531,2.3478
38,1831867.2726635360,2.3814
39,1831861.7420390877,2.4151
40,1831860.9601111892,2.4665
41,1831859.7847045304,2.5002
42,1831859.5210919618,2.5516
43,1831859.3228005914,2.5853
44,1831859.0179865486,2.6191
