# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776591,0.0131
2,1506203.5600746705,0.0272
3,1127133.1806397124,0.0434
4,820037.3684094318,0.0586
5,497540.1090273580,0.0769
6,373473.4894696100,0.0961
7,312813.0375734412,0.1255
8,285659.2411633321,0.1437
9,271070.8052341333,0.1571
10,265559.8912159710,0.1716
11,262359.9987233094,0.1858
12,258725.2873972900,0.1988
13,257433.1029683280,0.2118
14,255129.0229926915,0.2217
15,253914.1020687211,0.2317
16,253203.9225525638,0.2416
17,252795.8820002659,0.2510
18,252186.3806608059,0.2599
19,251721.0502060270,0.2688
20,251342.3506094504,0.2777
21,251032.7381747937,0.2866
22,250775.3214108190,0.2954
23,250558.1987905566,0.3043
24,250372.7600513222,0.3132
25,250212.6206564676,0.3221
26,250072.9270426932,0.3310
27,249949.9032713982,0.3398
28,249840.7056040012,0.3487
29,249743.1146096751,0.3576
30,249358.6505285272,0.3666
31,249197.4831624600,0.3754
32,249057.5352322656,0.3843
33,248935.0992831475,0.3932
34,248826.7854012992,0.4021
35,248729.9530377033,0.4110
36,248642.5350570726,0.4198
37,248562.9020754084,0.4287
38,248419.7677539649,0.4386
39,248405.3933917938,0.4510
40,248402.0351541382,0.4636
41,248377.6109374350,0.4725
42,248354.7178565967,0.4814
43,248332.4668455259,0.4903
44,248310.8182330450,0.4992
45,248289.7356318704,0.5081
46,248269.1850040988,0.5169
47,248249.1344259762,0.5258
48,248229.5538773169,0.5347
49,248210.4151761665,0.5436
50,248175.1184600007,0.5534
51,248168.6750440984,0.5658
52,248018.7833888766,0.5790
53,247408.7824958162,0.5888
54,247381.7092642167,0.6003
55,247349.3202249863,0.6118
56,247299.2458509161,0.6233
57,247245.7545517017,0.6348
58,247194.6477018447,0.6463
59,247146.9041071302,0.6578
60,246888.5362033931,0.6676
61,246793.8744141724,0.6765
62,246752.7167821184,0.6854
63,246696.3192298701,0.6942
64,246653.1863487826,0.7031
65,246597.9401827273,0.7120
66,246555.0206013879,0.7209
67,246527.9095698216,0.7298
68,246509.3867085959,0.7387
69,246494.1518844794,0.7476
70,246481.5663036200,0.7565
71,246470.6502927287,0.7653
72,246461.0354324428,0.7743
73,246452.3976658646,0.7832
74,246444.5794037954,0.7921
75,246401.8852866799,0.8028
76,246389.8820688990,0.8116
77,246373.9027496792,0.8251
78,246372.6864168112,0.8339
79,246370.8036356737,0.8428
80,246369.4709482474,0.8517
81,246368.2702531590,0.8605
82,246367.1889720822,0.8694
83,246366.1968903748,0.8783
84,246365.2782427397,0.8872
85,246364.4209602342,0.8961
86,246363.6163433914,0.9050
87,246362.8576197538,0.9139
88,246362.1394202335,0.9228
89,246361.4573487890,0.9317
90,246360.8077385333,0.9405
91,246360.1874724300,0.9494
92,246359.5938665174,0.9583
93,246359.0245822989,0.9672
