# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357318,0.0000
1,2170136.3176783440,0.0120
2,869806.2790742532,0.0244
3,567418.6040721692,0.0411
4,400594.1646215608,0.0500
5,371447.4905176450,0.0650
6,362562.8273562657,0.0740
7,360836.3552020089,0.1022
8,359914.5188933188,0.1265
9,359383.9884763584,0.1382
10,359238.2943783601,0.1499
11,359181.5346419496,0.1616
12,359164.2683096968,0.1732
13,358999.7269421223,0.1823
14,358972.5907153368,0.1912
15,358960.6881776861,0.2029
16,358958.5524037138,0.2149
17,358952.1833633143,0.2325
18,358950.0955419003,0.2416
19,358949.4728058454,0.2532
20,358949.1279245025,0.2650
21,358948.8322911369,0.2767
22,358948.5489923982,0.2883
23,358948.2890980231,0.3000
24,358948.0461493293,0.3090
25,358947.7065809083,0.3212
26,358947.6096187962,0.3302
27,358947.2313229084,0.3392
28,358946.9710168343,0.3482
29,358946.7637663861,0.3571
30,358946.6202845001,0.3661
31,358946.3433777483,0.3751
32,358946.0299351348,0.3841
33,358945.8626738504,0.3930
