# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783496,0.0120
2,869806.2790742537,0.0245
3,567418.6040721682,0.0412
4,400594.1646215607,0.0501
5,371447.4905173422,0.0651
6,362562.8273431220,0.0740
7,360836.3576836228,0.1023
8,359914.9462080370,0.1268
9,359384.1969320736,0.1384
10,359238.4314855030,0.1502
11,359181.6671075522,0.1619
12,359164.4009524053,0.1735
13,358997.8663685496,0.1825
14,358972.6933679437,0.1915
15,358960.5906690512,0.2031
16,358958.4543578074,0.2150
17,358952.1641776783,0.2320
18,358949.9633021257,0.2410
19,358949.3449534698,0.2527
20,358949.0003312572,0.2644
21,358948.7049502259,0.2761
22,358948.4209272594,0.2878
23,358948.1523379574,0.2995
24,358947.8877214052,0.3112
25,358947.5780710807,0.3201
26,358947.4695819031,0.3342
27,358947.3884496927,0.3482
28,358947.3357655401,0.3623
29,358947.3202509605,0.3712
30,358947.2898019795,0.3802
31,358947.2303496164,0.3891
32,358947.1171600621,0.3981
33,358946.9137011716,0.4070
