# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776591,0.0119
2,1506203.5600746707,0.0244
3,1127133.1806397105,0.0388
4,820037.3684094240,0.0523
5,497540.1090292552,0.0685
6,373473.4894437075,0.0856
7,312813.0364464427,0.1117
8,285659.1164122954,0.1278
9,271070.7318000873,0.1397
10,265559.8478143545,0.1525
11,262360.0611801771,0.1651
12,258725.3685573694,0.1767
13,257432.7124500212,0.1882
14,255127.9268479449,0.1971
15,253916.0855532517,0.2060
16,253204.1839157664,0.2148
17,252796.0050900390,0.2237
18,252186.4447224073,0.2326
19,251721.1123077178,0.2415
20,251342.4113769858,0.2503
21,251032.7976512557,0.2592
22,250775.3801793522,0.2681
23,250558.2567092817,0.2770
24,250372.8178841987,0.2858
25,250212.6787041498,0.2947
26,250072.9860861662,0.3036
27,249949.9627528418,0.3124
28,249840.7652993303,0.3213
29,249743.1742841371,0.3302
30,249358.7095917230,0.3391
31,249197.5400642685,0.3479
32,249057.5894151445,0.3568
33,248935.1502992126,0.3657
34,248826.8327881517,0.3746
35,248729.9966935298,0.3834
36,248642.5748406368,0.3923
37,248562.9379761874,0.4012
38,248419.7896365718,0.4110
39,248405.4034849001,0.4234
40,248402.0458797498,0.4361
41,248377.6222776647,0.4450
42,248354.7295751309,0.4539
43,248332.4790828744,0.4627
44,248310.8311052787,0.4716
45,248289.7493722177,0.4805
46,248269.1998087176,0.4894
47,248249.1505983642,0.4983
48,248229.5718752843,0.5071
49,248210.4357085611,0.5159
50,248175.1372413447,0.5257
51,248168.7036928430,0.5381
52,248167.8174943029,0.5506
53,248160.1743544523,0.5595
54,248144.0571558204,0.5693
55,248065.5516489820,0.5824
56,247701.1523865991,0.5922
57,247644.1007472611,0.6011
58,247574.7804812700,0.6100
59,247502.6892834935,0.6189
60,247430.1005978642,0.6278
61,247358.6441982498,0.6366
62,247289.2209963565,0.6455
63,247222.2565130402,0.6544
64,247157.8939479905,0.6633
65,247096.1257260285,0.6722
66,246766.0716827005,0.6820
67,246643.7860835601,0.6936
68,246557.2429942633,0.7025
69,246507.8699262212,0.7114
70,246475.3448681807,0.7203
71,246454.5524743046,0.7291
72,246440.0930713100,0.7381
73,246429.3772701595,0.7470
74,246421.0348273094,0.7559
75,246414.2983583063,0.7649
76,246408.7033003202,0.7738
77,246403.9523813425,0.7828
78,246399.8470090301,0.7917
79,246396.2484287202,0.8007
80,246393.0561475280,0.8096
81,246390.1952053350,0.8185
82,246387.6087387732,0.8275
83,246385.2529253842,0.8364
84,246383.0935215969,0.8454
85,246381.1034623181,0.8543
86,246379.2609075054,0.8633
87,246377.5480718905,0.8722
88,246375.9502062710,0.8811
89,246374.4549503226,0.8901
90,246373.0518389023,0.8990
91,246371.7318979361,0.9080
92,246370.4873889100,0.9169
93,246369.3115772359,0.9258
94,246368.1985534935,0.9348
95,246355.0240320286,0.9484
96,246333.7490238601,0.9713
97,246333.1813231187,0.9802
98,246332.7692731938,0.9891
99,246332.3962968147,0.9981
100,246332.0483769846,1.0070
101,246331.7198636917,1.0159
102,246331.4076851953,1.0248
103,246331.1096950386,1.0337
104,246330.8242467511,1.0426
