# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2104980.2500122939,0.0237
2,1506370.3252980513,0.0511
3,1393631.4253158146,0.1189
4,1263249.4746806764,0.1298
5,1144304.1349605736,0.1425
6,997550.2335733073,0.1570
7,871079.1292366240,0.1725
8,655908.6809092270,0.1879
9,458397.9533631231,0.2043
10,397107.9046339847,0.2219
11,307201.2919581838,0.2338
12,279436.8044641170,0.2456
13,275530.2602833753,0.2546
14,260616.5073430139,0.2635
15,259206.6482517495,0.2725
16,248026.0571326519,0.2814
17,245867.3601869549,0.2931
18,245594.1373095726,0.3021
19,244372.0942389885,0.3110
20,243819.3449608545,0.3561
21,243381.9937736346,0.3781
