# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322492,0.0386
2,3723398.1420859960,0.0838
3,2649101.3772306200,0.1434
4,2222822.2595811575,0.1771
5,2043410.2400112897,0.2268
6,2002344.4055128163,0.2956
7,1973460.5218218339,0.3577
8,1972940.2276966115,0.4092
9,1972207.3054328691,0.4607
10,1971626.7686569802,0.5122
11,1958498.9936511787,0.5993
12,1958235.8403499946,0.6510
13,1956118.9190450136,0.7034
14,1955021.2378437796,0.7564
15,1954221.7652543571,0.8084
16,1953499.9485076400,0.8601
17,1952718.1088306480,0.9117
18,1952003.8314474719,0.9623
19,1951274.5295869103,1.0129
20,1950173.6822534872,1.0654
21,1949135.6779264393,1.1169
22,1948573.2926318424,1.1684
23,1939542.3263096418,1.2022
24,1901622.3694576593,1.2360
25,1895520.8406195738,1.2697
26,1893061.3048252841,1.3035
27,1891387.3717507403,1.3401
28,1890173.0043996298,1.3738
29,1889420.0187534834,1.4076
30,1888680.1195059284,1.4413
31,1887984.8380632377,1.4751
32,1887297.7496539403,1.5089
33,1886608.7479238010,1.5426
34,1885914.9595474028,1.5764
35,1885214.4738289290,1.6101
36,1884505.7706846180,1.6438
37,1883787.7178005148,1.6776
38,1883059.5973806875,1.7113
39,1882321.1520381796,1.7451
40,1881572.6442160867,1.7789
41,1880814.8036828088,1.8127
42,1880048.6594690415,1.8465
43,1878365.5951436709,1.8831
44,1876465.8307435864,1.9198
45,1874401.4681875410,1.9565
46,1866304.1462224412,2.0126
47,1865768.5641884897,2.0612
48,1862261.7671865651,2.1168
49,1861291.4342656427,2.1654
50,1860301.7047061063,2.2140
51,1858512.6768468476,2.2923
52,1857485.7759702578,2.3260
53,1855368.4110090195,2.3598
54,1853451.8864091025,2.3935
55,1851451.4162994935,2.4273
56,1849424.0051430976,2.4610
57,1843043.2676805682,2.5120
58,1840910.6721577556,2.5458
59,1831686.5220271328,2.5997
60,1824126.7762228232,2.6915
61,1816175.5954570109,2.7454
62,1808307.1755044651,2.7992
63,1800878.7462195770,2.8330
64,1792083.7675470533,2.9247
65,1780086.5319902105,2.9829
66,1774560.0434264280,3.0441
67,1769819.9586781894,3.0777
68,1764484.0538960518,3.1561
69,1759454.9266985583,3.1957
70,1753798.6119112624,3.2433
71,1747366.7113336946,3.3572
72,1745439.2551404443,3.4521
73,1738361.5376300539,3.5458
