# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402123,0.0000
1,6547059.2859663712,0.0920
2,3700154.8269485096,0.2078
3,2699384.8188928613,0.3771
4,2337828.3914906876,0.4108
5,2215143.6186006535,0.4446
6,2043716.9174524238,0.5220
7,2000502.3570189227,0.5802
8,1954259.9185826099,0.6451
9,1927142.9014388302,0.7129
10,1912477.7134987502,0.7875
11,1911590.0403978617,0.8391
12,1911367.7798358365,0.8925
13,1906421.1518966432,0.9834
14,1904063.9496065935,1.0744
15,1903130.1521442004,1.1279
16,1902382.5724538532,1.1814
17,1902378.2086985891,1.4191
18,1902353.4187090471,1.4657
19,1902254.0870116164,1.5143
20,1902237.8263942958,1.5807
21,1902211.0839929406,1.6144
22,1902195.9410387455,1.6482
23,1902168.4237556744,1.6820
24,1902156.3710238843,1.7157
25,1902125.7363233161,1.7495
26,1902121.6167764103,1.7832
27,1902111.2261417587,1.8170
28,1902090.7495388188,1.8507
29,1902075.6500861277,1.8845
30,1902048.9599106333,1.9182
31,1902036.0193346324,1.9520
32,1902007.0277737773,1.9857
33,1901999.2848569797,2.0194
34,1901989.2320297563,2.0533
35,1901970.1326227044,2.0870
36,1901964.3548254261,2.1208
37,1901954.1496106717,2.1545
38,1901934.3315965026,2.1883
39,1901923.9381653056,2.2220
40,1901892.5123776810,2.2558
41,1901885.0514125463,2.3073
42,1901884.5860489898,2.3569
43,1901883.9899248243,2.4046
44,1901879.6197721288,2.4383
45,1901878.4863935681,2.4721
46,1901876.0853808061,2.5058
47,1901871.3042478194,2.5396
48,1901865.3563901589,2.5733
49,1901862.2396460234,2.6071
50,1901854.2510874111,2.6409
51,1901853.9691479756,2.7100
52,1901853.5393491958,2.7437
53,1901853.5373651492,2.8484
54,1901853.5372935738,2.9177
55,1901853.5372688093,2.9693
56,1901853.5372181677,3.0031
