# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776587,0.0119
2,1506203.5600746702,0.0245
3,1127133.1806397121,0.0390
4,820037.3684094286,0.0526
5,497540.1090292158,0.0689
6,373473.4894400000,0.0862
7,312813.0364745500,0.1123
8,285659.1385835428,0.1285
9,271070.7669218966,0.1405
10,265559.8574467563,0.1534
11,262360.0627162945,0.1662
12,258725.3690747588,0.1778
13,257433.1371370249,0.1894
14,255128.6392801070,0.1983
15,253914.3904429333,0.2073
16,253204.3771145205,0.2162
17,252796.0133659421,0.2251
18,252186.4407449756,0.2341
19,251721.1075815765,0.2430
20,251342.4052993619,0.2519
21,251032.7899696390,0.2609
22,250775.3708424262,0.2699
23,250558.2456533875,0.2788
24,250372.8046124165,0.2878
25,250212.6630610035,0.2967
26,250072.9680630619,0.3057
27,249949.9425369735,0.3146
28,249840.7430906637,0.3236
29,249743.1504109550,0.3325
30,249358.6876836637,0.3415
31,249197.5189977131,0.3504
32,249057.5696205443,0.3594
33,248935.1320730119,0.3683
34,248826.8164554029,0.3772
35,248729.9824268422,0.3862
36,248642.5627720984,0.3951
37,248562.9282022288,0.4041
38,248419.7871393111,0.4139
39,248405.4089732743,0.4264
40,248402.0572325958,0.4391
41,248377.6317675495,0.4481
42,248354.7375442838,0.4570
43,248332.4853140312,0.4660
44,248310.8354221758,0.4749
45,248289.7514857469,0.4839
46,248269.1995989440,0.4928
47,248249.1478824251,0.5018
48,248229.5665392981,0.5107
49,248210.4277243722,0.5197
50,248175.1098797609,0.5295
51,248168.6759995675,0.5421
52,248162.5821748886,0.5599
53,248156.2898810471,0.5715
54,248150.0647490708,0.5831
55,248143.8908591901,0.5947
56,248137.7290449609,0.6063
57,248131.3186292481,0.6179
58,248089.2908451973,0.6321
59,248062.7776364725,0.6411
60,248002.9405341679,0.6509
61,247994.8771996206,0.6635
62,247987.1174206390,0.6759
63,247979.4027513305,0.6885
64,247974.2646215674,0.7001
65,247966.3016931845,0.7117
66,247927.5873020680,0.7215
67,247913.9526249404,0.7314
68,247906.3848498881,0.7430
69,247899.0057396088,0.7546
70,247891.6763290172,0.7662
71,247884.3490206904,0.7778
72,247877.0041399337,0.7894
73,247869.6310647338,0.8009
74,247862.2223821854,0.8125
75,247854.7720094075,0.8241
76,247847.2745248511,0.8357
77,247839.7248948507,0.8473
78,247832.1183939842,0.8589
79,247824.4505765091,0.8705
80,247816.7172236831,0.8820
81,247808.9143762616,0.8936
82,247801.0383276380,0.9053
83,247793.0856312384,0.9169
84,247785.0531092657,0.9285
85,247776.9378598827,0.9400
86,247768.7372544490,0.9516
87,247760.4489681044,0.9632
88,247752.0709678169,0.9748
89,247743.6015298700,0.9864
90,247735.0392315130,0.9980
91,247726.3829616701,1.0096
92,247717.6319079577,1.0212
93,247708.7856015685,1.0328
94,247699.8438755763,1.0444
95,247690.8068625146,1.0560
96,247681.6750309855,1.0676
97,247672.4491300834,1.0792
98,247663.1302051477,1.0908
99,247562.1884611059,1.1051
100,247320.2641510854,1.1150
101,247316.6903636648,1.1266
102,247313.5626945355,1.1382
103,247310.4055217618,1.1498
104,247307.1267928767,1.1614
105,247303.7037339965,1.1730
106,247300.1274862628,1.1846
107,247296.3930148389,1.1962
108,247292.4969246346,1.2078
109,247288.4368317736,1.2194
110,247284.2110900156,1.2310
111,247279.8186956439,1.2427
112,247275.2592226530,1.2542
113,247270.5327531457,1.2658
114,247265.6398586291,1.2774
115,247260.5815604936,1.2890
116,247255.3593346795,1.3006
117,247249.9750418372,1.3122
118,247244.4309556276,1.3238
119,247238.7297326998,1.3355
120,247232.8743540848,1.3471
121,247226.8681425625,1.3586
122,247220.7147074191,1.3702
123,247214.4179398665,1.3818
124,247207.9819790223,1.3934
125,247201.4112074555,1.4050
126,246966.7689605850,1.4149
127,246730.3309215884,1.4248
128,246649.1166740477,1.4356
129,246544.6713527394,1.4463
130,245995.8577371649,1.4563
131,245840.3736968847,1.4661
132,245228.4936325985,1.4751
133,245070.7484419711,1.5007
134,245054.6722629555,1.5123
135,245051.3079357067,1.5240
136,245049.3623161246,1.5359
137,245048.2917934154,1.5477
138,245015.4466953011,1.5567
139,245013.6457573147,1.5685
140,245013.2454865542,1.5803
141,245012.9385156097,1.5921
142,245012.6815225600,1.6039
143,245012.4502956985,1.6158
144,245012.2321343671,1.6276
145,245012.0203003774,1.6394
146,245011.8109539289,1.6511
147,245006.3502849368,1.6654
148,245005.3517385739,1.6744
149,245004.2926084773,1.6833
150,245003.2070217218,1.6922
151,245002.0998141677,1.7011
152,245000.9761140672,1.7100
153,244999.8408815631,1.7190
154,244998.6986448673,1.7279
155,244997.5533689722,1.7368
